token	tag
Animal	NNP
Farm	NNP
by	IN
George	NNP
Orwell	NNP
Chapter	NNP
I	CD
Mr.	NNP
Jones,	NNP
of	IN
the	DT
Manor	NNP
Farm,	NNP
had	VBD
locked	VBN
the	DT
hen-houses	NNS
for	IN
the	DT
night,	NN
but	CC
was	VBD
too	RB
drunk	JJ
to	TO
remember	VB
to	TO
shut	VB
the	DT
pop-holes.	NN
With	IN
the	DT
ring	NN
of	IN
light	NN
from	IN
his	PRP$
lantern	NN
dancing	VBG
from	IN
side	NN
to	IN
side,	NN
he	PRP
lurched	VBD
across	IN
the	DT
yard,	NN
kicked	VBD
off	RP
his	PRP$
boots	NNS
at	IN
the	DT
back	NN
door,	NN
drew	VBD
himself	PRP
a	DT
last	JJ
glass	NN
of	IN
beer	NN
from	IN
the	DT
barrel	NN
in	IN
the	DT
scullery,	NN
and	CC
made	VBD
his	PRP$
way	NN
up	RB
to	IN
bed,	NN
where	WRB
Mrs.	NNP
Jones	NNP
was	VBD
already	RB
snoring.	JJ
As	RB
soon	RB
as	IN
the	DT
light	NN
in	IN
the	DT
bedroom	NN
went	VBD
out	RB
there	EX
was	VBD
a	DT
stirring	NN
and	CC
a	DT
fluttering	VBG
all	RB
through	IN
the	DT
farm	NN
buildings.	NN
Word	NN
had	VBD
gone	VBN
round	RB
during	IN
the	DT
day	NN
that	WRB
old	JJ
Major,	NNP
the	DT
prize	NN
Middle	NNP
White	NNP
boar,	NN
had	VBD
had	VBN
a	DT
strange	JJ
dream	NN
on	IN
the	DT
previous	JJ
night	NN
and	CC
wished	VBD
to	TO
communicate	VB
it	PRP
to	IN
the	DT
other	JJ
animals.	NN
It	PRP
had	VBD
been	VBN
agreed	VBN
that	IN
they	PRP
should	MD
all	DT
meet	VB
in	IN
the	DT
big	JJ
barn	NN
as	RB
soon	RB
as	IN
Mr.	NNP
Jones	NNP
was	VBD
safely	RB
out	IN
of	IN
the	DT
way.	NN
Old	JJ
Major	NNP
(so	-LRB-
he	PRP
was	VBD
always	RB
called,	VBN
though	IN
the	DT
name	NN
under	IN
which	WDT
he	PRP
had	VBD
been	VBN
exhibited	VBN
was	VBD
Willingdon	NNP
Beauty)	NNP
was	VBD
so	RB
highly	RB
regarded	VBN
on	IN
the	DT
farm	NN
that	IN
everyone	NN
was	VBD
quite	RB
ready	JJ
to	TO
lose	VB
an	DT
hour's	NNS
sleep	NN
in	IN
order	NN
to	TO
hear	VB
what	WP
he	PRP
had	VBD
to	TO
say.	VB
At	IN
one	CD
end	NN
of	IN
the	DT
big	JJ
barn,	NN
on	IN
a	DT
sort	NN
of	IN
raised	VBN
platform,	NN
Major	NNP
was	VBD
already	RB
ensconced	VBN
on	IN
his	PRP$
bed	NN
of	IN
straw,	NN
under	IN
a	DT
lantern	NN
which	WDT
hung	VBD
from	IN
a	DT
beam.	NN
He	PRP
was	VBD
twelve	CD
years	NNS
old	JJ
and	CC
had	VBD
lately	RB
grown	VBN
rather	RB
stout,	JJ
but	CC
he	PRP
was	VBD
still	RB
a	DT
majestic-looking	JJ
pig,	NN
with	IN
a	DT
wise	JJ
and	CC
benevolent	JJ
appearance	NN
in	IN
spite	NN
of	IN
the	DT
fact	NN
that	IN
his	PRP$
tushes	NNS
had	VBD
never	RB
been	VBN
cut.	VBN
Before	IN
long	RB
the	DT
other	JJ
animals	NNS
began	VBD
to	TO
arrive	VB
and	CC
make	VB
themselves	PRP
comfortable	JJ
after	IN
their	PRP$
different	JJ
fashions.	NN
First	RB
came	VBD
the	DT
three	CD
dogs,	NN
Bluebell,	NNP
Jessie,	NNP
and	CC
Pincher,	NNP
and	CC
then	RB
the	DT
pigs,	NN
who	WP
settled	VBD
down	RP
in	IN
the	DT
straw	NN
immediately	RB
in	IN
front	NN
of	IN
the	DT
platform.	NN
The	DT
hens	NNS
perched	VBD
themselves	PRP
on	IN
the	DT
window-sills,	NN
the	DT
pigeons	NNS
fluttered	VBD
up	RP
to	IN
the	DT
rafters,	NN
the	DT
sheep	NN
and	CC
cows	NNS
lay	VBD
down	RP
behind	IN
the	DT
pigs	NNS
and	CC
began	VBD
to	TO
chew	VB
the	DT
cud.	NN
The	DT
two	CD
cart-horses,	NN
Boxer	NNP
and	CC
Clover,	NNP
came	VBD
in	RB
together,	RB
walking	VBG
very	RB
slowly	RB
and	CC
setting	VBG
down	RP
their	PRP$
vast	JJ
hairy	JJ
hoofs	NNS
with	IN
great	JJ
care	NN
lest	IN
there	EX
should	MD
be	VB
some	DT
small	JJ
animal	NN
concealed	VBN
in	IN
the	DT
straw.	NN
Clover	NNP
was	VBD
a	DT
stout	JJ
motherly	JJ
mare	NN
approaching	VBG
middle	JJ
life,	NN
who	WP
had	VBD
never	RB
quite	RB
got	VBN
her	PRP$
figure	NN
back	RB
after	IN
her	PRP$
fourth	JJ
foal.	NN
Boxer	NNP
was	VBD
an	DT
enormous	JJ
beast,	NN
nearly	RB
eighteen	CD
hands	NNS
high,	JJ
and	CC
as	RB
strong	JJ
as	IN
any	DT
two	CD
ordinary	JJ
horses	NNS
put	VBN
together.	RP
A	DT
white	JJ
stripe	NN
down	IN
his	PRP$
nose	NN
gave	VBD
him	PRP
a	DT
somewhat	RB
stupid	JJ
appearance,	NN
and	CC
in	IN
fact	NN
he	PRP
was	VBD
not	RB
of	IN
first-rate	JJ
intelligence,	NN
but	CC
he	PRP
was	VBD
universally	RB
respected	VBN
for	IN
his	PRP$
steadiness	NN
of	IN
character	NN
and	CC
tremendous	JJ
powers	NNS
of	IN
work.	NN
After	IN
the	DT
horses	NNS
came	VBD
Muriel,	NNP
the	DT
white	JJ
goat,	NN
and	CC
Benjamin,	NNP
the	DT
donkey.	NN
Benjamin	NNP
was	VBD
the	DT
oldest	JJS
animal	NN
on	IN
the	DT
farm,	NN
and	CC
the	DT
worst	JJS
tempered.	JJ
He	PRP
seldom	RB
talked,	VBD
and	CC
when	WRB
he	PRP
did,	VBD
it	PRP
was	VBD
usually	RB
to	TO
make	VB
some	DT
cynical	JJ
remark--for	IN
instance,	NN
he	PRP
would	MD
say	VB
that	IN
God	NNP
had	VBD
given	VBN
him	PRP
a	DT
tail	NN
to	TO
keep	VB
the	DT
flies	NNS
off,	RB
but	CC
that	IN
he	PRP
would	MD
sooner	RBR
have	VB
had	VBN
no	DT
tail	NN
and	CC
no	DT
flies.	NN
Alone	JJ
among	IN
the	DT
animals	NNS
on	IN
the	DT
farm	NN
he	PRP
never	RB
laughed.	VBD
If	IN
asked	VBN
why,	WRB
he	PRP
would	MD
say	VB
that	IN
he	PRP
saw	VBD
nothing	NN
to	TO
laugh	VB
at.	.
Nevertheless,	RB
without	IN
openly	RB
admitting	VBG
it,	,
he	PRP
was	VBD
devoted	JJ
to	IN
Boxer;	NNP
the	DT
two	CD
of	IN
them	PRP
usually	RB
spent	VBD
their	PRP$
Sundays	NNS
together	RB
in	IN
the	DT
small	JJ
paddock	NN
beyond	IN
the	DT
orchard,	NN
grazing	VBG
side	NN
by	IN
side	NN
and	CC
never	RB
speaking.	VBG
The	DT
two	CD
horses	NNS
had	VBD
just	RB
lain	VBN
down	RP
when	WRB
a	DT
brood	NN
of	IN
ducklings,	NN
which	WDT
had	VBD
lost	VBN
their	PRP$
mother,	NN
filed	VBN
into	IN
the	DT
barn,	NN
cheeping	VBG
feebly	RB
and	CC
wandering	VBG
from	IN
side	NN
to	IN
side	NN
to	TO
find	VB
some	DT
place	NN
where	WRB
they	PRP
would	MD
not	RB
be	VB
trodden	VBN
on.	.
Clover	NNP
made	VBD
a	DT
sort	NN
of	IN
wall	NN
round	IN
them	PRP
with	IN
her	PRP$
great	JJ
foreleg,	NN
and	CC
the	DT
ducklings	NNS
nestled	VBD
down	RP
inside	IN
it	PRP
and	CC
promptly	RB
fell	VBD
asleep.	RB
At	IN
the	DT
last	JJ
moment	NN
Mollie,	NNP
the	DT
foolish,	JJ
pretty	RB
white	JJ
mare	NN
who	WP
drew	VBD
Mr.	NNP
Jones's	NNP
trap,	NN
came	VBD
mincing	VBG
daintily	RB
in,	,
chewing	VBG
at	IN
a	DT
lump	NN
of	IN
sugar.	NN
She	PRP
took	VBD
a	DT
place	NN
near	IN
the	DT
front	NN
and	CC
began	VBD
flirting	VBG
her	PRP$
white	JJ
mane,	NN
hoping	VBG
to	TO
draw	VB
attention	NN
to	IN
the	DT
red	JJ
ribbons	NNS
it	PRP
was	VBD
plaited	VBN
with.	IN
Last	RB
of	IN
all	DT
came	VBD
the	DT
cat,	NN
who	WP
looked	VBD
round,	JJ
as	IN
usual,	NN
for	IN
the	DT
warmest	JJS
place,	NN
and	CC
finally	RB
squeezed	VBD
herself	PRP
in	RP
between	IN
Boxer	NNP
and	CC
Clover;	NNP
there	RB
she	PRP
purred	VBD
contentedly	RB
throughout	IN
Major's	NNP
speech	NN
without	IN
listening	VBG
to	IN
a	DT
word	NN
of	IN
what	WP
he	PRP
was	VBD
saying.	VBN
All	PDT
the	DT
animals	NNS
were	VBD
now	RB
present	JJ
except	IN
Moses,	NNP
the	DT
tame	JJ
raven,	NN
who	WP
slept	VBD
on	IN
a	DT
perch	NN
behind	IN
the	DT
back	JJ
door.	NN
When	WRB
Major	NNP
saw	VBD
that	IN
they	PRP
had	VBD
all	DT
made	VBN
themselves	PRP
comfortable	JJ
and	CC
were	VBD
waiting	VBG
attentively,	RB
he	PRP
cleared	VBD
his	PRP$
throat	NN
and	CC
began:	VBD
"Comrades,	NN
you	PRP
have	VBP
heard	VBN
already	RB
about	IN
the	DT
strange	JJ
dream	NN
that	WDT
I	PRP
had	VBD
last	JJ
night.	NN
But	CC
I	PRP
will	MD
come	VB
to	IN
the	DT
dream	NN
later.	RB
I	PRP
have	VBP
something	NN
else	RB
to	TO
say	VB
first.	.
I	PRP
do	VBP
not	RB
think,	VB
comrades,	NN
that	IN
I	PRP
shall	MD
be	VB
with	IN
you	PRP
for	IN
many	JJ
months	NNS
longer,	RB
and	CC
before	IN
I	PRP
die,	VBP
I	PRP
feel	VBP
it	PRP
my	PRP$
duty	NN
to	TO
pass	VB
on	RP
to	IN
you	PRP
such	JJ
wisdom	NN
as	IN
I	PRP
have	VBP
acquired.	VBN
I	PRP
have	VBP
had	VBN
a	DT
long	JJ
life,	NN
I	PRP
have	VBP
had	VBN
much	JJ
time	NN
for	IN
thought	NN
as	IN
I	PRP
lay	VBD
alone	RB
in	IN
my	PRP$
stall,	NN
and	CC
I	PRP
think	VBP
I	PRP
may	MD
say	VB
that	IN
I	PRP
understand	VBP
the	DT
nature	NN
of	IN
life	NN
on	IN
this	DT
earth	NN
as	RB
well	RB
as	IN
any	DT
animal	NN
now	RB
living.	VBN
It	PRP
is	VBZ
about	IN
this	DT
that	WDT
I	PRP
wish	VBP
to	TO
speak	VB
to	IN
you.	PRP
"Now,	,
comrades,	NN
what	WP
is	VBZ
the	DT
nature	NN
of	IN
this	DT
life	NN
of	IN
ours?	.
Let	VB
us	PRP
face	VB
it:	:
our	PRP$
lives	NNS
are	VBP
miserable,	JJ
laborious,	NN
and	CC
short.	JJ
We	PRP
are	VBP
born,	VBN
we	PRP
are	VBP
given	VBN
just	RB
so	RB
much	JJ
food	NN
as	IN
will	MD
keep	VB
the	DT
breath	NN
in	IN
our	PRP$
bodies,	NN
and	CC
those	DT
of	IN
us	PRP
who	WP
are	VBP
capable	JJ
of	IN
it	PRP
are	VBP
forced	VBN
to	TO
work	VB
to	IN
the	DT
last	JJ
atom	NN
of	IN
our	PRP$
strength;	NN
and	CC
the	DT
very	RB
instant	JJ
that	IN
our	PRP$
usefulness	NN
has	VBZ
come	VBN
to	IN
an	DT
end	NN
we	PRP
are	VBP
slaughtered	VBN
with	IN
hideous	JJ
cruelty.	NN
No	DT
animal	NN
in	IN
England	NNP
knows	VBZ
the	DT
meaning	NN
of	IN
happiness	NN
or	CC
leisure	NN
after	IN
he	PRP
is	VBZ
a	DT
year	NN
old.	JJ
No	DT
animal	NN
in	IN
England	NNP
is	VBZ
free.	JJ
The	DT
life	NN
of	IN
an	DT
animal	NN
is	VBZ
misery	NN
and	CC
slavery:	NN
that	DT
is	VBZ
the	DT
plain	JJ
truth.	NN
"But	``
is	VBZ
this	DT
simply	RB
part	NN
of	IN
the	DT
order	NN
of	IN
nature?	NN
Is	VBZ
it	PRP
because	IN
this	DT
land	NN
of	IN
ours	PRP
is	VBZ
so	RB
poor	JJ
that	IN
it	PRP
cannot	MD
afford	VB
a	DT
decent	JJ
life	NN
to	IN
those	DT
who	WP
dwell	VBP
upon	IN
it?	.
No,	DT
comrades,	NN
a	DT
thousand	CD
times	NNS
no!	NN
The	DT
soil	NN
of	IN
England	NNP
is	VBZ
fertile,	JJ
its	PRP$
climate	NN
is	VBZ
good,	JJ
it	PRP
is	VBZ
capable	JJ
of	IN
affording	VBG
food	NN
in	IN
abundance	NN
to	IN
an	DT
enormously	RB
greater	JJR
number	NN
of	IN
animals	NNS
than	IN
now	RB
inhabit	VB
it.	.
This	DT
single	JJ
farm	NN
of	IN
ours	PRP
would	MD
support	VB
a	DT
dozen	NN
horses,	NN
twenty	CD
cows,	NN
hundreds	NNS
of	IN
sheep--and	CC
all	DT
of	IN
them	PRP
living	VBG
in	IN
a	DT
comfort	NN
and	CC
a	DT
dignity	NN
that	WDT
are	VBP
now	RB
almost	RB
beyond	IN
our	PRP$
imagining.	NN
Why	WRB
then	RB
do	VBP
we	PRP
continue	VB
in	IN
this	DT
miserable	JJ
condition?	NN
Because	IN
nearly	RB
the	DT
whole	NN
of	IN
the	DT
produce	NN
of	IN
our	PRP$
labour	NN
is	VBZ
stolen	VBN
from	IN
us	PRP
by	IN
human	JJ
beings.	NNS
There,	RB
comrades,	NN
is	VBZ
the	DT
answer	NN
to	IN
all	PDT
our	PRP$
problems.	NN
It	PRP
is	VBZ
summed	VBN
up	RP
in	IN
a	DT
single	JJ
word--Man.	NN
Man	NNP
is	VBZ
the	DT
only	JJ
real	JJ
enemy	NN
we	PRP
have.	VBP
Remove	VB
Man	NNP
from	IN
the	DT
scene,	NN
and	CC
the	DT
root	NN
cause	NN
of	IN
hunger	NN
and	CC
overwork	NN
is	VBZ
abolished	VBN
for	IN
ever.	NN
"Man	NNP
is	VBZ
the	DT
only	JJ
creature	NN
that	WDT
consumes	VBZ
without	IN
producing.	NN
He	PRP
does	VBZ
not	RB
give	VB
milk,	NN
he	PRP
does	VBZ
not	RB
lay	VB
eggs,	NN
he	PRP
is	VBZ
too	RB
weak	JJ
to	TO
pull	VB
the	DT
plough,	NN
he	PRP
cannot	MD
run	VB
fast	RB
enough	RB
to	TO
catch	VB
rabbits.	NNS
Yet	RB
he	PRP
is	VBZ
lord	NN
of	IN
all	PDT
the	DT
animals.	NN
He	PRP
sets	VBZ
them	PRP
to	TO
work,	VB
he	PRP
gives	VBZ
back	RP
to	IN
them	PRP
the	DT
bare	JJ
minimum	NN
that	WDT
will	MD
prevent	VB
them	PRP
from	IN
starving,	JJ
and	CC
the	DT
rest	NN
he	PRP
keeps	VBZ
for	IN
himself.	PRP
Our	PRP$
labour	NN
tills	VBZ
the	DT
soil,	NN
our	PRP$
dung	NN
fertilises	VBZ
it,	PRP
and	CC
yet	RB
there	EX
is	VBZ
not	RB
one	CD
of	IN
us	PRP
that	WDT
owns	VBZ
more	JJR
than	IN
his	PRP$
bare	JJ
skin.	NN
You	PRP
cows	NNS
that	WDT
I	PRP
see	VBP
before	IN
me,	PRP
how	WRB
many	JJ
thousands	NNS
of	IN
gallons	NNS
of	IN
milk	NN
have	VBP
you	PRP
given	VBN
during	IN
this	DT
last	JJ
year?	NN
And	CC
what	WP
has	VBZ
happened	VBN
to	IN
that	DT
milk	NN
which	WDT
should	MD
have	VB
been	VBN
breeding	VBG
up	RP
sturdy	JJ
calves?	NN
Every	DT
drop	NN
of	IN
it	PRP
has	VBZ
gone	VBN
down	IN
the	DT
throats	NNS
of	IN
our	PRP$
enemies.	NN
And	CC
you	PRP
hens,	VBP
how	WRB
many	JJ
eggs	NNS
have	VBP
you	PRP
laid	VBN
in	IN
this	DT
last	JJ
year,	NN
and	CC
how	WRB
many	JJ
of	IN
those	DT
eggs	NNS
ever	RB
hatched	VBD
into	IN
chickens?	NN
The	DT
rest	NN
have	VBP
all	RB
gone	VBN
to	IN
market	NN
to	TO
bring	VB
in	RB
money	NN
for	IN
Jones	NNP
and	CC
his	PRP$
men.	NNS
And	CC
you,	NNP
Clover,	NNP
where	WRB
are	VBP
those	DT
four	CD
foals	NNS
you	PRP
bore,	VBD
who	WP
should	MD
have	VB
been	VBN
the	DT
support	NN
and	CC
pleasure	NN
of	IN
your	PRP$
old	JJ
age?	.
Each	DT
was	VBD
sold	VBN
at	IN
a	DT
year	NN
old--you	PRP
will	MD
never	RB
see	VB
one	CD
of	IN
them	PRP
again.	RB
In	IN
return	NN
for	IN
your	PRP$
four	CD
confinements	NNS
and	CC
all	DT
your	PRP$
labour	NN
in	IN
the	DT
fields,	NN
what	WP
have	VBP
you	PRP
ever	RB
had	VBN
except	IN
your	PRP$
bare	JJ
rations	NNS
and	CC
a	DT
stall?	VBN
"And	``
even	RB
the	DT
miserable	JJ
lives	NNS
we	PRP
lead	VBP
are	VBP
not	RB
allowed	VBN
to	TO
reach	VB
their	PRP$
natural	JJ
span.	NN
For	IN
myself	PRP
I	PRP
do	VBP
not	RB
grumble,	VB
for	IN
I	PRP
am	VBP
one	CD
of	IN
the	DT
lucky	JJ
ones.	.
I	PRP
am	VBP
twelve	CD
years	NNS
old	JJ
and	CC
have	VBP
had	VBN
over	IN
four	CD
hundred	CD
children.	NNS
Such	JJ
is	VBZ
the	DT
natural	JJ
life	NN
of	IN
a	DT
pig.	NN
But	CC
no	DT
animal	NN
escapes	VBZ
the	DT
cruel	JJ
knife	NN
in	IN
the	DT
end.	NN
You	PRP
young	JJ
porkers	NNS
who	WP
are	VBP
sitting	VBG
in	IN
front	NN
of	IN
me,	PRP
every	DT
one	CD
of	IN
you	PRP
will	MD
scream	VB
your	PRP$
lives	NNS
out	RP
at	IN
the	DT
block	NN
within	IN
a	DT
year.	NN
To	IN
that	DT
horror	NN
we	PRP
all	DT
must	MD
come--cows,	VB
pigs,	,
hens,	VB
sheep,	NNS
everyone.	.
Even	RB
the	DT
horses	NNS
and	CC
the	DT
dogs	NNS
have	VBP
no	DT
better	JJR
fate.	NN
You,	NNP
Boxer,	NNP
the	DT
very	JJ
day	NN
that	WDT
those	DT
great	JJ
muscles	NNS
of	IN
yours	NNS
lose	VBP
their	PRP$
power,	NN
Jones	NNP
will	MD
sell	VB
you	PRP
to	IN
the	DT
knacker,	NN
who	WP
will	MD
cut	VB
your	PRP$
throat	NN
and	CC
boil	VB
you	PRP
down	RP
for	IN
the	DT
foxhounds.	NN
As	IN
for	IN
the	DT
dogs,	NN
when	WRB
they	PRP
grow	VBP
old	JJ
and	CC
toothless,	JJ
Jones	NNP
ties	VBZ
a	DT
brick	NN
round	IN
their	PRP$
necks	NNS
and	CC
drowns	VBZ
them	PRP
in	IN
the	DT
nearest	JJS
pond.	NN
"Is	``
it	PRP
not	RB
crystal	NN
clear,	RB
then,	RB
comrades,	JJ
that	IN
all	PDT
the	DT
evils	NNS
of	IN
this	DT
life	NN
of	IN
ours	PRP
spring	VBP
from	IN
the	DT
tyranny	NN
of	IN
human	JJ
beings?	NN
Only	RB
get	VB
rid	VBN
of	IN
Man,	NNP
and	CC
the	DT
produce	NN
of	IN
our	PRP$
labour	NN
would	MD
be	VB
our	PRP$
own.	JJ
Almost	RB
overnight	RB
we	PRP
could	MD
become	VB
rich	JJ
and	CC
free.	JJ
What	WP
then	RB
must	MD
we	PRP
do?	.
Why,	WRB
work	NN
night	NN
and	CC
day,	NN
body	NN
and	CC
soul,	NN
for	IN
the	DT
overthrow	NN
of	IN
the	DT
human	JJ
race!	NN
That	DT
is	VBZ
my	PRP$
message	NN
to	IN
you,	PRP
comrades:	JJ
Rebellion!	NNP
I	PRP
do	VBP
not	RB
know	VB
when	WRB
that	DT
Rebellion	NN
will	MD
come,	VB
it	PRP
might	MD
be	VB
in	IN
a	DT
week	NN
or	CC
in	IN
a	DT
hundred	CD
years,	NN
but	CC
I	PRP
know,	VBP
as	RB
surely	RB
as	IN
I	PRP
see	VBP
this	DT
straw	NN
beneath	IN
my	PRP$
feet,	NNS
that	IN
sooner	RBR
or	CC
later	RBR
justice	NN
will	MD
be	VB
done.	VBN
Fix	VB
your	PRP$
eyes	NNS
on	IN
that,	DT
comrades,	NN
throughout	IN
the	DT
short	JJ
remainder	NN
of	IN
your	PRP$
lives!	NN
And	CC
above	IN
all,	RB
pass	VBP
on	IN
this	DT
message	NN
of	IN
mine	NN
to	IN
those	DT
who	WP
come	VBP
after	IN
you,	PRP
so	IN
that	IN
future	JJ
generations	NNS
shall	MD
carry	VB
on	RP
the	DT
struggle	NN
until	IN
it	PRP
is	VBZ
victorious.	JJ
"And	``
remember,	VB
comrades,	NN
your	PRP$
resolution	NN
must	MD
never	RB
falter.	VB
No	DT
argument	NN
must	MD
lead	VB
you	PRP
astray.	.
Never	RB
listen	VB
when	WRB
they	PRP
tell	VBP
you	PRP
that	IN
Man	NNP
and	CC
the	DT
animals	NNS
have	VBP
a	DT
common	JJ
interest,	NN
that	IN
the	DT
prosperity	NN
of	IN
the	DT
one	NN
is	VBZ
the	DT
prosperity	NN
of	IN
the	DT
others.	JJ
It	PRP
is	VBZ
all	DT
lies.	NN
Man	NN
serves	VBZ
the	DT
interests	NNS
of	IN
no	DT
creature	NN
except	IN
himself.	PRP
And	CC
among	IN
us	PRP
animals	NNS
let	VBP
there	EX
be	VB
perfect	JJ
unity,	NN
perfect	JJ
comradeship	NN
in	IN
the	DT
struggle.	NN
All	DT
men	NNS
are	VBP
enemies.	NN
All	DT
animals	NNS
are	VBP
comrades."	''
At	IN
this	DT
moment	NN
there	EX
was	VBD
a	DT
tremendous	JJ
uproar.	NN
While	IN
Major	NNP
was	VBD
speaking	VBG
four	CD
large	JJ
rats	NNS
had	VBD
crept	VBN
out	IN
of	IN
their	PRP$
holes	NNS
and	CC
were	VBD
sitting	VBG
on	IN
their	PRP$
hindquarters,	NN
listening	VBG
to	IN
him.	PRP
The	DT
dogs	NNS
had	VBD
suddenly	RB
caught	VBN
sight	NN
of	IN
them,	PRP
and	CC
it	PRP
was	VBD
only	RB
by	IN
a	DT
swift	JJ
dash	NN
for	IN
their	PRP$
holes	NNS
that	IN
the	DT
rats	NNS
saved	VBD
their	PRP$
lives.	NN
Major	NNP
raised	VBD
his	PRP$
trotter	NN
for	IN
silence.	NN
"Comrades,"	''
he	PRP
said,	VBD
"here	RB
is	VBZ
a	DT
point	NN
that	WDT
must	MD
be	VB
settled.	VBN
The	DT
wild	JJ
creatures,	NN
such	JJ
as	IN
rats	NNS
and	CC
rabbits--are	VBP
they	PRP
our	PRP$
friends	NNS
or	CC
our	PRP$
enemies?	NN
Let	VB
us	PRP
put	VB
it	PRP
to	IN
the	DT
vote.	NN
I	PRP
propose	VBP
this	DT
question	NN
to	IN
the	DT
meeting:	NN
Are	VBP
rats	NNS
comrades?"	JJ
The	DT
vote	NN
was	VBD
taken	VBN
at	IN
once,	RB
and	CC
it	PRP
was	VBD
agreed	VBN
by	IN
an	DT
overwhelming	JJ
majority	NN
that	IN
rats	NNS
were	VBD
comrades.	JJ
There	EX
were	VBD
only	RB
four	CD
dissentients,	NN
the	DT
three	CD
dogs	NNS
and	CC
the	DT
cat,	NN
who	WP
was	VBD
afterwards	RB
discovered	VBN
to	TO
have	VB
voted	VBN
on	IN
both	DT
sides.	NNS
Major	JJ
continued:	:
"I	``
have	VB
little	RB
more	JJR
to	TO
say.	VB
I	PRP
merely	RB
repeat,	VBP
remember	VBP
always	RB
your	PRP$
duty	NN
of	IN
enmity	NN
towards	IN
Man	NNP
and	CC
all	DT
his	PRP$
ways.	NN
Whatever	WDT
goes	VBZ
upon	IN
two	CD
legs	NNS
is	VBZ
an	DT
enemy.	NN
Whatever	WDT
goes	VBZ
upon	IN
four	CD
legs,	NN
or	CC
has	VBZ
wings,	NN
is	VBZ
a	DT
friend.	NN
And	CC
remember	VB
also	RB
that	IN
in	IN
fighting	VBG
against	IN
Man,	NNP
we	PRP
must	MD
not	RB
come	VB
to	TO
resemble	VB
him.	PRP
Even	RB
when	WRB
you	PRP
have	VBP
conquered	VBN
him,	PRP
do	VBP
not	RB
adopt	VB
his	PRP$
vices.	NN
No	DT
animal	NN
must	MD
ever	RB
live	VB
in	IN
a	DT
house,	NN
or	CC
sleep	VB
in	IN
a	DT
bed,	NN
or	CC
wear	VB
clothes,	NN
or	CC
drink	VB
alcohol,	NN
or	CC
smoke	VB
tobacco,	NN
or	CC
touch	VB
money,	NN
or	CC
engage	VB
in	IN
trade.	NN
All	PDT
the	DT
habits	NNS
of	IN
Man	NNP
are	VBP
evil.	JJ
And,	NNP
above	IN
all,	RB
no	DT
animal	NN
must	MD
ever	RB
tyrannise	VB
over	IN
his	PRP$
own	JJ
kind.	NN
Weak	JJ
or	CC
strong,	JJ
clever	JJ
or	CC
simple,	JJ
we	PRP
are	VBP
all	DT
brothers.	NN
No	DT
animal	NN
must	MD
ever	RB
kill	VB
any	DT
other	JJ
animal.	NN
All	DT
animals	NNS
are	VBP
equal.	JJ
"And	``
now,	RB
comrades,	,
I	PRP
will	MD
tell	VB
you	PRP
about	IN
my	PRP$
dream	NN
of	IN
last	JJ
night.	NN
I	PRP
cannot	MD
describe	VB
that	DT
dream	NN
to	IN
you.	PRP
It	PRP
was	VBD
a	DT
dream	NN
of	IN
the	DT
earth	NN
as	IN
it	PRP
will	MD
be	VB
when	WRB
Man	NNP
has	VBZ
vanished.	VBN
But	CC
it	PRP
reminded	VBD
me	PRP
of	IN
something	NN
that	WDT
I	PRP
had	VBD
long	RB
forgotten.	VBN
Many	JJ
years	NNS
ago,	RB
when	WRB
I	PRP
was	VBD
a	DT
little	JJ
pig,	NN
my	PRP$
mother	NN
and	CC
the	DT
other	JJ
sows	NNS
used	VBD
to	TO
sing	VB
an	DT
old	JJ
song	NN
of	IN
which	WDT
