"text","cmp_code","eu_code"
"A New Covenant with the American People",NA,NA
"Two hundred summers ago, this Democratic Party was founded by the man whose burning pen fired the spirit of the American Revolution - who once argued we should overthrow our own government every 20 years to renew our freedom and keep pace with a changing world.","202",NA
"In 1992, the party Thomas Jefferson founded invokes his spirit of revolution anew.","201",NA
"Our land reverberates with a battle cry of frustration that emanates from America's very soul - from the families in our bedrock neighborhoods, from the unsung, workaday heroes of the world's greatest democracy and economy.","605",NA
"America is on the wrong track.","000",NA
"The American people are hurting.","606",NA
"The American Dream of expanding opportunity has faded.","410",NA
"Middle class families are working hard, playing by the rules, but still falling behind.","603",NA
"Poverty has exploded.","606",NA
"Our people are torn by divisions.","606",NA
"The last 12 years have been a nightmare of Republican irresponsibility and neglect.","305",NA
"America's leadership is indifferent at home and uncertain in the world.","305",NA
"Republican mismanagement has disarmed government as an instrument to make our economy work and support the people's most basic values, needs and hopes.","305",NA
"The Republicans brought America a false and fragile prosperity based on borrowing, not income, and so will leave behind a mountain of public debt and a backbreaking annual burden in interest.","305",NA
"It is wrong to borrow to spend on ourselves, leaving our children to pay our debts.","414",NA
"We hear the anguish and the anger of the American people.","606",NA
"We know it is directed not just at the Republican administrations that have had power, but at government itself.","606",NA
"Their anger is justified.","305",NA
"We can no longer afford business as usual -- neither the policies of the last 12 years of tax breaks for the rich, mismanagement, lack of leadership and cuts in services for the middle class and the poor, nor the adoption of new programs and new spending without new thinking.","503",NA
"It is time to listen to the grassroots of America, time to renew the spirit of citizen activism that has always been the touchstone of a free and democratic society.","606",NA
"Therefore we call for a revolution in government - to take power away from entrenched bureaucracies and narrow interests in Washington and put it back in the hands of ordinary people.","303",NA
"We vow to make government more decentralized, more flexible, and more accountable - to reform public institutions and replace public officials who aren't leading with ones who will.","301",NA
"The Revolution of 1992 is about restoring America's economic greatness.","408",NA
"We need to rebuild America by abandoning the something-for-nothing ethic of the last decade and putting people first for a change.","606",NA
"Only a thriving economy, a strong manufacturing base, and growth in creative new enterprise can generate the resources to meet the nation's pressing human and social needs.","408",NA
"An expanding, entrepreneurial economy of high-skill, high-wage jobs is the most important family policy, urban policy, labor policy, minority policy and foreign policy America can have.","408",NA
"The Revolution of 1992 is about putting government back on the side of working men and women - to help those who work hard, pay their bills, play by the rules, don't lobby for tax breaks, do their best to give their kids a good education and to keep them away from drugs, who want a safe neighborhood for their families, the security of decent, productive jobs for themselves, and a dignified life for their parents.","701",NA
"The Revolution of 1992 is about a radical change in the way government operates -","303",NA
