token,id,G1,G2,G3,G4,G5,G6,G7,G8
come,1,5.919352188904691e-07,1.5383540362025528e-06,8.07104965077785e-07,0.9999942578555298,7.881666249004517e-07,4.061018238740325e-07,5.845946126669629e-07,1.025887188498722e-06
together,2,4.6889662184205445e-07,1.080966389163991e-06,6.836652438209689e-07,0.9999949684587723,7.389593264353589e-07,4.1375367822125216e-07,8.162058447788138e-07,8.290941234351656e-07
declare,3,5.62920008968805e-07,2.0382051260976946e-06,4.416725141028758e-07,0.9999929034767364,1.4783397456472881e-06,4.0952038408964324e-07,1.2503650588956527e-06,9.155004257844876e-07
vision,4,3.1964561867684785e-07,7.539675945227785e-07,7.838169613676014e-07,0.9999960704525459,4.722481247983812e-07,3.8963310804478573e-07,7.452834572841551e-07,4.649525893613923e-07
democrat,5,7.059402072267905e-07,1.2118734161607894e-06,5.989935331888403e-07,0.9999921098523407,1.0745583630072295e-06,8.101102142489579e-07,2.190497333734429e-06,1.2981745917888898e-06
mindful,6,4.3213218137901777e-07,9.286460389990657e-07,7.93176704093877e-07,0.9999950020706097,7.960393156587065e-07,3.613237570571361e-07,1.0330550860789526e-06,6.53556306978834e-07
challenge,7,5.049417602546736e-07,1.237008412420932e-06,7.219287395408174e-07,0.9999945108193771,7.294755199606256e-07,5.621396718845264e-07,1.0417888667383527e-06,6.918976520619621e-07
time,8,5.01528101922994e-07,1.1214640528758355e-06,7.428017805238545e-07,0.9999946541045301,7.290464705998829e-07,6.340606447082326e-07,7.645198213780074e-07,8.524745978036409e-07
new,9,4.268193451067435e-07,6.301095311052539e-07,5.423862310994874e-07,0.9999960687939644,4.3877476655154914e-07,6.919129110303918e-07,7.661890644779667e-07,4.350141861986726e-07
profound,10,3.3574792464123365e-07,9.529681229865356e-07,4.6889513279815983e-07,0.9999958359454867,5.857269961847389e-07,2.58230547131508e-07,9.519743774783992e-07,6.105114121542944e-07
november,11,8.828302304886088e-07,1.2814435233619329e-06,4.910021038785264e-07,0.9999940651473745,8.374194411821216e-07,6.634701812456811e-07,8.888463525908693e-07,8.89840792562378e-07
choice,12,5.223543450971783e-07,1.0807066925366121e-06,9.451090714237356e-07,0.9999941348798913,7.047929516298957e-07,6.266184068169614e-07,9.062614823936604e-07,1.0792771585027872e-06
face,13,9.064309847316994e-07,1.434280389774155e-06,9.411210003053899e-07,0.999993116111971,9.675639704116307e-07,7.02993594415229e-07,7.205809698861369e-07,1.2109171194853195e-06
american,14,5.432969792774808e-07,1.2051918068402658e-06,4.530764718860523e-07,0.9999952810261177,5.405457628270663e-07,4.19194945357204e-07,8.755412833751212e-07,6.821266327157545e-07
may,15,9.108798603110342e-07,9.406935367062809e-07,5.249602448779767e-07,0.9999944506453164,1.0142246563719627e-06,5.735971636557904e-07,7.587757943075159e-07,8.262234273964019e-07
impact,16,3.670482518691674e-07,5.770964271362192e-07,4.2428955748849833e-07,0.9999964383731981,4.837881914428956e-07,5.942106622985074e-07,7.350913508585454e-07,3.801023605525269e-07
people,17,3.850639082233592e-07,8.813417683249186e-07,5.796222406014598e-07,0.9999951187742359,7.007334419303719e-07,5.497529742079571e-07,8.631725717672731e-07,9.215388590638268e-07
place,18,5.56063537266513e-07,1.1484621916014028e-06,7.42953596912911e-07,0.9999943306434177,7.415149537640582e-07,6.321635887554682e-07,9.685457674338427e-07,8.796529466322196e-07
