token,id,G1,G2,G3,G4
abandon,1,0.42822477668442616,0.034873937917576266,0.007050391821084203,0.5298508935769134
abbey,2,0.006530935749653681,0.016385733602815675,0.6639204008054032,0.3131629298421275
aberration,3,0.9976970397027456,0.0009249561678833147,0.0010785293497759696,0.00029947477959511187
able,4,0.0033998758767731212,0.014270337923631714,0.01338877464225984,0.9689410115573353
abolished,5,0.0012462041370652766,0.9971238055148031,0.001197969879655244,0.00043202046847649623
abolition,6,0.001236775309065912,0.9977197554166032,0.0007341732372773923,0.00030929603705347143
absence,7,0.9860260911700874,0.008316697958620962,0.0028589188511651455,0.00279829202012659
absolute,8,0.9336981474258035,0.015368361302441092,0.04649168887129029,0.0044418024004651505
absolutely,9,0.33038917450113964,0.018590430612469438,0.1655273631843175,0.48549303170207353
abstraction,10,0.8360561286521081,0.015772799256200242,0.035583309997379756,0.11258776209431198
absurd,11,0.005163345619709862,0.008003420606391842,0.004937484942417217,0.981895748831481
abuse,12,0.0016589862438123983,0.9942425566044419,0.0017235998003904522,0.002374857351355469
academy,13,0.9615098310123963,0.017474394179494947,0.017095985610704217,0.003919789197404372
acceleration,14,0.9972648829786803,0.0009600894227679598,0.0008080702942329156,0.0009669573043186897
accept,15,0.00478426188969717,0.26079539970176885,0.0009946605849459774,0.733425677823588
accompanies,16,0.0034500431994023317,0.005030004298192215,0.006172714975491592,0.9853472375269139
accompaniment,17,0.002643101332366447,0.0029677001879823642,0.9920746004421305,0.002314598037520681
accomplish,18,0.012345705827525479,0.019712140860879405,0.008635355515773697,0.9593067977958215
accord,19,0.7726492659506622,0.14681998552843933,0.017830641450798268,0.06270010707010022
accordingly,20,0.043727558677504275,0.07515001195392566,0.006750602752240099,0.87437182661633
accurate,21,0.992413848035042,0.0033085679612788383,0.002726056775322737,0.0015515272283563547
accuse,22,0.0006346991247722767,0.00803924018537954,0.0008715333932366563,0.9904545272966115
accustom,23,0.5251184652372503,0.3457803497717973,0.029079433672776055,0.10002175131817642
achieve,24,0.5546656982301503,0.05996030140477406,0.01599912960855775,0.3693748707565179
ackermann,25,0.008637391713207803,0.007449042233772143,0.9802421186572248,0.0036714473957952746
acquire,26,0.485990431788124,0.016245328141205717,0.0037147766211556585,0.49404946344951456
acquires,27,0.9540570414703092,0.02565717523121209,0.01632185486930817,0.003963928429170513
across,28,0.007261697457419343,0.012168851298567747,0.5160417913361567,0.4645276599078562
act,29,0.011669219231232562,0.7810025827744189,0.027852936324458094,0.17947526166989033
action,30,0.6184229731973508,0.15001367375755104,0.1262971263320844,0.10526622671301372
activity,31,0.9915098238283075,0.00546912351645697,0.002182863732518763,0.0008381889227167755
adapt,32,0.9530544522201184,0.017365830811145358,0.007662466409646268,0.02191725055909001
adaptation,33,0.06827338675582653,0.8775510431388528,0.043187288776572005,0.01098828132874866
add,34,0.23695918825050438,0.031413320151740115,0.03009027341371537,0.70153721818404
addition,35,0.9878639652438695,0.006111317045407923,0.004241048562021185,0.0017836691487013382
address,36,0.9813462925676854,0.011337858138141095,0.003627773411628868,0.0036880758825448287
adduce,37,0.0176355105218521,0.9677410067581151,0.0017453671165109394,0.012878115603521763
adjoin,38,0.030975172491499458,0.029372505366699414,0.05830964272291418,0.881342679418887
admirable,39,0.0017744721224293705,0.9884564212860998,0.0060378447292734954,0.0037312618621973474
admit,40,0.6185671157391684,0.34287504038680355,0.0021430720597977186,0.03641477181423027
admittedly,41,0.657426792095862,0.06724552066737736,0.18071199868745338,0.09461568854930737
ado,42,0.01969667149222322,0.15135962882857273,0.045653843435969975,0.783289856243234
adopt,43,0.0025554910941010087,0.9908501883868736,0.0011648743547323147,0.005429446164293149
advance,44,0.4596975376529681,0.07188137174734459,0.03648860650958286,0.4319324840901044
advantage,45,0.018460413713096188,0.9464484636928365,0.024286636106317316,0.01080448648775001
advice,46,0.00196877836839866,0.013303965186506441,0.003312420544412333,0.9814148359006826
affectation,47,0.005523406554525216,0.010523135431510396,0.009073143308260893,0.9748803147057035
afford,48,0.5347029502629783,0.12627246690731836,0.08164772402376035,0.2573768588059431
afraid,49,0.0001168500290919883,0.001532505290695235,0.0006717991941889786,0.9976788454860238
afterward,50,0.0009563402279648167,0.9845698484559814,0.004269148558327263,0.010204662757726335
afterwards,51,0.015021001449190115,0.06131815795692169,0.8503940363256529,0.07326680426823534
age,52,0.0050148528530166575,0.008963712040534973,0.9808660806016298,0.005155354504818597
agent,53,0.018850436537258368,0.026157184722744323,0.018250112264720862,0.9367422664752765
ago,54,0.0027989484970770717,0.006371489329049074,0.010576555190010764,0.9802530069838631
agree,55,0.0009255486788269979,0.004869529817500554,0.0003756341682835153,0.993829287335389
agriculture,56,0.0036417185324295527,0.9898816247617284,0.005766690260746342,0.0007099664450957866
ah,57,0.011557480698479531,0.013197443586978707,0.027105460651027355,0.9481396150635144
aid,58,0.0016537782582302582,0.9949329549416183,0.001412380020503621,0.002000886779647753
aim,59,0.013324814727841916,0.020502636403359323,0.9613295665128123,0.004842982355986479
air,60,0.21757513127002923,0.015563291678659436,0.7377474728959912,0.0291141041553201
alacrity,61,0.014522594765642634,0.8110213284635627,0.1345404401770248,0.039915636593770065
alarm,62,0.0066058262749828425,0.4728583892197458,0.5027749672026517,0.017760817302619532
alive,63,0.00042054860907562,0.0025116350520268237,0.0037264480610756886,0.9933413682778218
allegiance,64,0.0010911839440365361,0.994228714180241,0.0016191956059649678,0.0030609062697575383
allow,65,0.0694884522059241,0.5649718574578173,0.006528657509743807,0.3590110328265148
alluvion,66,0.007965871118775112,0.002539625919719965,0.9882121980877475,0.0012823048737574813
almost,67,0.12678896100308892,0.32281274442900987,0.04531760585399817,0.505080688713903
almshouses,68,0.001977399029418394,0.9836434614542242,0.01270372792402292,0.001675411592334419
alone,69,0.3091324061271629,0.01394767871512586,0.008797100516098553,0.6681228146416127
along,70,0.46143460724449087,0.015855783750030727,0.04458370967646477,0.4781258993290137
alongside,71,0.8579182328275187,0.03435876646906294,0.06419046248675611,0.043532538216662545
alps,72,0.002697168451656149,0.003135996761898338,0.9927013659529025,0.0014654688335429536
already,73,0.009449319934758064,0.22031085375978385,0.16663037201776837,0.6036094542876896
also,74,0.5589068637441508,0.2344398509262196,0.14444378985713627,0.06220949547249332
