token,id,G1,G2,G3,G4
metamorphosis,1,0.9580478908662395,2.85406280024814e-05,0.04180550206454625,0.00011806644121195909
one,2,0.07116353341988163,1.1010144367440956e-05,3.7358936909039104e-05,0.928788097498842
morning,3,0.99996666989757,2.5404619506225564e-05,3.7728823941957732e-06,4.1526005296643775e-06
duty,4,0.9997099853364847,1.0672275614594217e-05,0.00026302358660891095,1.631880129168575e-05
civil,5,0.999841737685769,1.2303871328421301e-06,0.00014838508057475968,8.646846523417585e-06
disobedience,6,0.9948522512048233,0.00046212075843151274,0.0046668926013724325,1.8735435372607e-05
heartily,7,0.7977227534344711,0.19592697183340477,7.985915651460528e-05,0.006270415575609658
accept,8,0.00011888978790683246,0.99987221888339,2.0070206573346876e-06,6.884308045899119e-06
motto,9,0.9988595903706436,0.0001546870851964411,0.0009561506663456307,2.9571877814400218e-05
government,10,0.9996806440950435,1.5237473373820335e-05,0.0002698922318961977,3.4226199686467815e-05
best,11,0.9975189408573879,6.892769038248967e-05,0.00025738358831593186,0.002154747863913798
governs,12,0.17366585997404957,0.0002502230408515558,0.8256084476585484,0.0004754693265505928
least,13,0.010538001198087277,3.9598731388298676e-06,0.00023825957000853394,0.9892197793587654
like,14,0.002094164550955951,0.016205603756580124,9.371435124429009e-05,0.9816065173412196
see,15,0.0014756325448705445,0.9976162553116807,0.00019287842207121105,0.0007152337213775195
lecture,16,0.9721492576497274,4.4065251704593656e-05,0.027802074082946018,4.603015622000707e-06
landscape,17,0.999534897435645,8.989190282842547e-08,0.0004581964439759163,6.816228476299907e-06
outline,18,0.9170300292858292,8.997022495599156e-06,0.08291243917761902,4.8534514056108356e-05
gregor,19,0.9998958877505619,6.895905892829567e-06,9.213648660472377e-05,5.079856940425962e-06
samsa,20,0.9995655720147211,8.225073383836073e-06,0.00042194104076950204,4.261871125519419e-06
wake,21,0.998120243546085,0.001686437727271102,0.0001882229993736998,5.095727270255804e-06
sidelight,22,0.98578890317406,2.8919840979764844e-06,0.014203380604808847,4.824237033151522e-06
relativity,23,4.3651989079469944e-05,2.0651330641350112e-09,0.9999563435931463,2.352641150046264e-09
ether,24,0.00018178687072478725,1.0815366803561442e-08,0.9998180876670942,1.1464681411679382e-07
theory,25,1.392125839827748e-06,5.390920129121477e-10,0.9999986013064546,6.028613561006363e-09
relativity,26,3.564557031960908e-05,1.8347617867274101e-09,0.9999643505072509,2.087667741097978e-09
address,27,0.8357012462572366,0.007548562112117266,0.1566646669523391,8.552467830701462e-05
inaugural,28,0.9999418237712899,1.0585972924796207e-07,5.19912034952731e-05,6.079165485436413e-06
lecture,29,0.9810086415374616,8.553985857783873e-06,0.018981574716288314,1.229760392372001e-06
state,30,0.9997323845408911,1.2447225577125278e-06,0.00025178705981109944,1.4583676740097169e-05
act,31,0.9895242705986933,6.696822315751447e-05,0.010295174390425143,0.00011358678772391915
rapidly,32,0.4306831672087386,1.0629665972176392e-05,0.01869234877062406,0.5506138543546651
systematically,33,0.08026538714781578,8.493134659131148e-05,0.04078530620061143,0.8788643753049814
troubled,34,0.9977955081664306,0.0007228798003981986,0.0001680717069762309,0.0013135403261951642
dream,35,0.996982746422362,0.0029595484369068174,2.0001893241470265e-05,3.7703247489745435e-05
find,36,3.351144816876194e-06,0.9999962118072029,3.228550192061985e-08,4.047624783164016e-07
transform,37,0.0695004932859423,0.81577787008686,0.11461654850701265,0.00010508812018515582
bed,38,0.9995700593171108,0.0002641219559759291,0.00014482212120427921,2.0996605708879358e-05
horrible,39,0.7822746871318972,0.21541169174431388,0.0011099188372371436,0.0012037022865517798
hold,40,0.0010886531586452438,0.9989049139858186,2.359876234637559e-06,4.072979301589295e-06
professorship,41,0.9806141316202649,1.7940778756679695e-05,0.019358251282447787,9.676318530498133e-06
direct,42,0.6483067331739,0.0012688618901386427,0.34066076858685596,0.009763636349105454
deliver,43,0.0005791091130739388,0.9993603146196669,2.8294071107162595e-05,3.228219615199288e-05
may,44,0.015426880389304731,2.4156879748660863e-05,0.00032715783164156633,0.9842218048993051
th,45,0.6561603928914803,8.277853494780617e-05,0.3434845438246346,0.00027228474893712653
carry,46,0.0025144866638281862,0.9965460855903268,0.00010024755333276943,0.00083918019251212
finally,47,0.14064010123531548,0.0036690366586411907,5.9162133122007375e-05,0.8556316999729213
amount,48,0.02464584302608931,1.8448516621667202e-05,0.9316843401256608,0.043651368331628214
also,49,0.0005714352284527581,2.6349333922061235e-07,3.192602251809544e-06,0.9994251086759562
government,50,0.99923105594964,1.3988929035630461e-05,0.0006145967389528487,0.00014035838237155148
best,51,0.998280570089496,4.228479525158426e-05,0.00021076893597413764,0.0014663761792783074
governs,52,0.37815855857141656,0.00018347993515881154,0.621551424647039,0.00010653684638569943
men,53,0.9998877711010264,2.05381930939209e-05,2.481058160813743e-05,6.688012427169447e-05
vermin,54,0.9988082184022871,0.000292756760238589,0.0007750498980581345,0.00012397493941614297
lay,55,0.7673185609008097,0.23229246109799756,0.00011143919304280128,0.0002775388081499497
prepare,56,0.012728057160236424,0.9872097178207949,3.271947316765034e-05,2.9505545800837383e-05
kind,57,0.6037372284757796,0.04707118153119716,0.29267087476740233,0.05652071522562079
government,58,0.9997826221996463,1.2686302011146952e-05,0.00018409350686891988,2.059799147373278e-05
back,59,0.9907445183635438,0.008798650920636239,3.999961665183092e-06,0.00045283075415478884
lift,60,0.9967511877513124,0.0025724210747332748,0.0006443663741488459,3.202479980551632e-05
head,61,0.9999789653056117,1.908175082990965e-06,1.7705691147774707e-05,1.4208281575752993e-06
university,62,0.9997922083192623,3.6155476381351355e-07,0.0002011198141559814,6.310311818040078e-06
leyden,63,0.9988569799177692,6.896269037217659e-06,0.0010988749457380776,3.724886745548039e-05
come,64,8.581883129322825e-05,0.9999094696791228,5.507718841731834e-08,4.656412395544793e-06
little,65,0.9884076005403857,0.0010291963519887754,0.00013656100958789495,0.010426642098037474
could,66,4.308972036088115e-06,7.524889295392129e-06,6.052826112894971e-07,0.9999875608560573
see,67,0.0009743257023406853,0.9984101045539087,0.00028686391706629876,0.00032870582668447597
alongside,68,0.9908964826094233,0.00027538890152740606,2.566266558581528e-05,0.008802465823463486
idea,69,0.005716187315825824,0.0002727904808000852,0.9935296408459546,0.0004813813574194797
ponderable,70,2.641651422249802e-05,2.33249947576557e-06,0.9998781574942598,9.309349204197188e-05
practical,71,0.00037784999899659506,7.516778379059894e-07,0.9995672309969016,5.4167326263988785e-05
exercise,72,0.18089349901840437,0.000893346631847879,0.8179426115881192,0.0002705427616284861
chiefly,73,0.1571250693074767,3.034784273520014e-07,0.09227934490276538,0.7505952823113305
natural,74,0.15510079837787547,1.3441524102558951e-06,0.8444457116230855,0.0004521458466288592
history,75,0.9916901005054587,3.131308708680426e-06,0.008079223266731134,0.00022754491910156486
landscape,76,0.9909017511445319,1.2394138441493248e-07,0.009084178091854264,1.3946822229311069e-05
matter,77,0.000708852702318808,1.821903017987298e-05,0.9992513894919156,2.153877558578591e-05
derive,78,0.0003726121695433172,0.002871175592938029,0.9967192445444114,3.696769310709072e-05
abstraction,79,0.0037020585229136736,6.297691560354775e-08,0.9962968680913792,1.0104087914977467e-06
