token,id,G1,G2,G3,G4
a,1,0.4346031520539053,0.39460180933235534,0.16332052136846406,0.007474517245275234
abandoning,2,0.05147159244227512,0.9266588322352748,0.02184524280000535,2.4332522444742233e-05
abbey,3,0.22232824195546363,0.28122942601258605,0.4962327020013138,0.00020963003063650203
aberration,4,0.9730432758183871,0.016769887867081307,0.010157974669169609,2.886164536198689e-05
abide,5,0.05551410109959051,0.934676072767438,0.00962086533649818,0.00018896079647314466
ability,6,0.8862318582602445,0.09773724731108811,0.016021242549136807,9.651879530502331e-06
able,7,0.23912100020966162,0.7062658726702482,0.054612742980372005,3.8413971825662296e-07
abolished,8,0.14294332052840814,0.8288137112278892,0.02822423823747135,1.8730006231388058e-05
abolition,9,0.2599654038092799,0.7120292903860405,0.027854102867136108,0.00015120293754327126
abolitionist,10,0.0992875880019888,0.8568300162928625,0.04381764835541187,6.474734973683012e-05
about,11,0.11394739856275898,0.7247563773486025,0.15942660831215538,0.0018696157764832074
above,12,0.7679001209931777,0.13097186452314571,0.09002468641833761,0.011103328065338787
absence,13,0.908632467675925,0.07397858957861272,0.017353104671372736,3.583807408967506e-05
absolute,14,0.8444548578377488,0.14126790316340837,0.014028565781182644,0.0002486732176601502
absolutely,15,0.3665051374422593,0.42325384060744764,0.20972480348738776,0.0005162184629052451
abstraction,16,0.9584615065306262,0.021522671852860154,0.019814809981073454,0.0002010116354401757
absurd,17,0.17888070159703506,0.7711253496168369,0.049976609809643247,1.7338976484758788e-05
abused,18,0.035148650895588746,0.9474174724855678,0.017420722708627653,1.3153910215659781e-05
academy,19,0.8722331212563527,0.08474744392191284,0.04269213213946057,0.000327302682273968
acceleration,20,0.9434210371222881,0.04746564680557125,0.009027220665593397,8.609540654716458e-05
accept,21,0.2344175175921963,0.7508661893073291,0.014642075644270697,7.421745620390943e-05
accompanies,22,0.13245717205618326,0.7772499606678265,0.0588208261783097,0.031472041097680516
according,23,0.80969900803011,0.17222307240874046,0.01676764378475215,0.0013102757763973983
accordingly,24,0.8568519741757613,0.1290709861329483,0.013987585087847807,8.945460344245551e-05
accurate,25,0.9071528696629793,0.07021242563228032,0.022464803677501366,0.00016990102723895824
accurately,26,0.8977022981609378,0.07461041643402236,0.02742032006344907,0.0002669653415908715
accusation,27,0.06525237684346383,0.9217476726834709,0.012984362242287639,1.5588230777640288e-05
accuse,28,0.025090069488995944,0.9662643868030134,0.00864376543359002,1.7782744006942368e-06
accustomed,29,0.3708885582018602,0.5882548432623521,0.040856032828487945,5.657072997100064e-07
achieved,30,0.8766502827398236,0.09567891929978392,0.027580939703045988,8.985825734638208e-05
acquired,31,0.49264779632649847,0.4419595742927773,0.06537552653963596,1.710284108830376e-05
acquires,32,0.9336620817178812,0.0297246289555503,0.023049192346187432,0.013564096980380889
act,33,0.16332457888035118,0.7960213616476776,0.04042199776268301,0.00023206170928828198
