token,id,G1,G2,G3,G4
metamorphosis,1,0.04205803592830844,0.8554263614769969,0.10234189034740222,0.00017371224729236892
gregor,2,0.046347253296156014,0.9234051103370214,0.030234847337981575,1.2789028840974004e-05
samsa,3,0.03807891245118062,0.9193467535123511,0.04222967711041847,0.000344656926049878
woke,4,0.06068048943926841,0.9324613500007451,0.00684449395711244,1.3666602874151921e-05
troubled,5,0.08172167661927282,0.8970031390629539,0.021269051888496607,6.132429276631621e-06
found,6,0.09721409977217996,0.8577795796815642,0.04427690302538639,0.0007294175208696153
transformed,7,0.061400367058092646,0.8696265677579927,0.06890457416507464,6.84910188400421e-05
bed,8,0.03562427118527827,0.9397666135880776,0.02434515040324945,0.00026396482339481744
horrible,9,0.1477888769395503,0.8122239345586464,0.03998529979572677,1.8887060763880752e-06
inaugural,10,0.03618195678015201,0.9279816393842678,0.03583620672689438,1.9710868563777067e-07
stated,11,0.2800064568594078,0.6345038289229129,0.08545820262544816,3.151159223114027e-05
holding,12,0.08113376723700498,0.8639671345972645,0.05451709454958557,0.00038200361614487135
professorship,13,0.082202482993779,0.6010887603088253,0.3166808216542146,2.7935043181075224e-05
direct,14,0.13436270332242836,0.5442092108991554,0.32121693319266514,0.00021115258575104873
practical,15,0.11625764401628214,0.3885515709332826,0.49509916098335904,9.162406707629321e-05
chiefly,16,0.11148576977844085,0.6399445083394499,0.24694077964989772,0.0016289422322114456
natural,17,0.06975372294575634,0.4311541343178987,0.4978110896439417,0.001281053092403315
history,18,0.09179917260625413,0.6821740901556561,0.22579610937629518,0.000230627861794609
having,19,0.24968963617279494,0.6172735978435133,0.13221186609954202,0.0008248998841497019
course,20,0.1130998572485275,0.6288339462111635,0.25767994545132944,0.0003862510889795926
past,21,0.19266388540681437,0.6952797629518273,0.1117957426537469,0.0002606089876113624
year,22,0.1630509119771047,0.7251458481005326,0.11168190537535523,0.0001213345470075202
laid,23,0.13126335884692006,0.6979223886256266,0.1707465543938888,6.769813356457857e-05
foundational,24,0.09802869337040751,0.11760743899225465,0.7842126605830485,0.00015120705428944934
element,25,0.09547125860953379,0.12936096360208751,0.7740113653236939,0.0011564124646848263
art,26,0.13490885183020287,0.47632945366143753,0.38848128803675464,0.00028040647160483247
sufficiently,27,0.4057868972939078,0.12286413850803721,0.471286584508093,6.237968996192227e-05
invite,28,0.718291936055995,0.1842515422318977,0.09744647035849992,1.005135360738966e-05
enter,29,0.5499979140075995,0.27345234541207775,0.17605712649277222,0.0004926140875506662
real,30,0.2856978339835506,0.19727518436481403,0.5167202871202351,0.0003066945314003745
work,31,0.3404431507066174,0.147083465816171,0.5123869341300081,8.644934720338507e-05
accordingly,32,0.4060522224988982,0.10119933514659635,0.4925954418093911,0.00015300054511429518
propose,33,0.3621174251854933,0.0556789393055918,0.582152792432051,5.084307686389852e-05
following,34,0.2718965294403621,0.23727277262632615,0.4908121795760667,1.8518357245050404e-05
term,35,0.11078232833283688,0.07342835892906623,0.8150454492160889,0.0007438635220079044
give,36,0.4526626903748746,0.12640299012582307,0.4208343285410674,9.999095823477664e-05
practical,37,0.06854005605975094,0.045464012168702064,0.8859509908997154,4.494087183160303e-05
leading,38,0.16854053051046008,0.23092270434740125,0.6005053911663241,3.1373975814533824e-05
elementary,39,0.036826917494668196,0.13463097581709027,0.8279511120368078,0.0005909946514336323
study,40,0.04733682539364897,0.05892775635907686,0.8934277369898961,0.0003076812573781639
branch,41,0.07136619425939918,0.26696681836353464,0.659206911980919,0.0024600753961473523
natural,42,0.03916284152767257,0.10150287132371563,0.8585665110273526,0.0007677761212592023
history,43,0.08783447907808184,0.34039445699009696,0.5715295015608766,0.0002415623709447408
form,44,0.10394287948755623,0.19082443831480247,0.7024123783541071,0.0028203038435343094
kind,45,0.186442353978588,0.3201700890753694,0.49264223562979376,0.0007453213162489552
center,46,0.055538964415004305,0.6328336523468427,0.31074819428732486,0.0008791889508281149
lay,47,0.16063565503671767,0.733594738910653,0.10469994543404498,0.0010696606185843522
lifted,48,0.12264763021817268,0.7962358039884212,0.08111625545525551,3.103381505439057e-07
head,49,0.051820710341625775,0.8848788735082881,0.06308273434677927,0.00021768180330692606
little,50,0.08567210366690886,0.8718880658490801,0.042249729001157754,0.00019010148285334943
see,51,0.22389724180120169,0.6394172629974353,0.1337950979758626,0.0028903972255004524
brown,52,0.0484997040289183,0.9074900502833703,0.043858637397911036,0.00015160828980039233
slightly,53,0.09096750038459733,0.7984524872947291,0.1101498118902222,0.00043020043045132145
domed,54,0.04468428917789186,0.8254564302484153,0.12923526083520362,0.0006240197384892195
divided,55,0.06525544462287357,0.6947777984050459,0.2390847369927572,0.0008820199793232737
arch,56,0.04652635958991144,0.7925149981712555,0.15954003583751417,0.0014186064013190002
stiff,57,0.11683870234278096,0.6407704446952127,0.24233754030295943,5.3312659046947624e-05
sidelight,58,0.06912127913307761,0.46164726363659686,0.46829314089369556,0.0009383163366299049
relativity,59,0.017028697913197163,0.041897726575776936,0.941067208222533,6.367288492889253e-06
ether,60,0.02276801943418372,0.07159909116716286,0.9055395757190396,9.33136796138242e-05
theory,61,0.014332294908751146,0.01755366449393681,0.968097936344414,1.610425289815263e-05
relativity,62,0.01160429449721941,0.01753325824151614,0.9708581547956899,4.292465574518413e-06
address,63,0.09464063411492764,0.07577590781875461,0.8292399857143133,0.00034347235200441834
delivered,64,0.13941929646077775,0.21477473316759774,0.6457959255649407,1.0044806683870938e-05
may,65,0.15076890229504925,0.13307096580987618,0.7139262082225208,0.002233923672553737
university,66,0.05156593471945538,0.13949668554356393,0.808662898047093,0.00027448168988780365
leyden,67,0.06274536677408747,0.15554691312996127,0.7814905472268825,0.0002171728690687955
doe,68,0.10430701623798119,0.21246679937845692,0.6828505824485644,0.00037560193499744946
come,69,0.38570387422068364,0.18560347405889638,0.4286145057701562,7.814595026354495e-05
idea,70,0.09666339613806695,0.04410470681489134,0.8592142936324235,1.7603414618289125e-05
ponderable,71,0.05837390443089954,0.03323109068899732,0.9073639711161349,0.0010310337639682311
is,72,0.005664085270261163,0.006866427374389365,0.05621589841200154,0.931253588943348
derived,73,0.02578536178125145,0.025644122973408255,0.9465432952684558,0.0020272199768844594
abstraction,74,0.012115083892363477,0.017955593859696802,0.9697696043004936,0.00015971794744610814
everyday,75,0.07806069785056714,0.06981027503715877,0.8520346262423387,9.440086993535494e-05
physicist,76,0.01488452429067059,0.029073728963159698,0.9558617303062766,0.00018001643989301608
set,77,0.08835521766561784,0.11216961883157453,0.7994531305984165,2.2032904391046165e-05
idea,78,0.07124023163015787,0.033010942689316335,0.8957388038653101,1.0021815215528349e-05
existence,79,0.044626172611517766,0.03406370943046846,0.9211610857783741,0.00014903217963983876
kind,80,0.09381752518486311,0.056871018289963396,0.8488923382569904,0.0004191182681831321
outset,81,0.1431029583825526,0.08100430328789536,0.7758697324005877,2.3005928964332383e-05
shortly,82,0.1828329907779197,0.350330716637879,0.4668319017510517,4.390833149680901e-06
state,83,0.0781976228569394,0.11605263887077966,0.8049926523744789,0.000757085897801986
position,84,0.0890422353920637,0.11103323267044778,0.7998094765475807,0.0001150553899078385
landscape,85,0.03110240066320628,0.12108540222365362,0.8471288385443756,0.0006833585687643708
painting,86,0.049196758191983055,0.15153499101711015,0.7992148923612624,5.335842964438876e-05
animal,87,0.0650884968408762,0.0950474340024519,0.8395964733618044,0.00026759579486737757
painting,88,0.05273300142931744,0.16256278491775916,0.7846417116723462,6.25019805771236e-05
hold,89,0.32322073592129036,0.17194473174384536,0.5045363587210546,0.0002981736138097561
higher,90,0.07417106371106753,0.07959983859549771,0.8454396110419451,0.0007894866514896501
branch,91,0.06938447599688097,0.19570550869696182,0.7312517931566157,0.0036582221495416543
landscape,92,0.04312892328969844,0.16506858590900375,0.7903964424923868,0.0014060483089108377
painting,93,0.06933382447850645,0.2063649373643026,0.7241884577294385,0.00011278042775239725
is,94,0.0064524832171155575,0.008754819527641395,0.03780348808889245,0.9469892091663505
thoughtful,95,0.23825964995150384,0.1781606038091393,0.5833574353489478,0.00022231089040891409
passionate,96,0.28344001745784764,0.23033409012722844,0.48616843980955443,5.7452605369532516e-05
representation,97,0.055153513329008835,0.050678819560521775,0.8935048827138816,0.0006627843965876088
physical,98,0.07404153973424063,0.05968548148607286,0.8661211096091387,0.0001518691705478619
condition,99,0.20784338622634338,0.10590699214546094,0.6858410433760316,0.0004085782521641381
appointed,100,0.2620841155142168,0.41782792667074564,0.32008794809787294,9.717164572421823e-09
