token,id,G1,G2,G3,G4
metamorphosis,1,0.019852318924987795,0.9579037260124081,0.006500058125610493,0.015743896936993747
gregor,2,0.005024012264138534,0.9873665015288412,0.004528296408759213,0.003081189798261048
samsa,3,0.008189023505752223,0.9791611198969243,0.00637415909369237,0.0062756975036312385
woke,4,0.0016722085755853694,0.9956824002821357,0.0021356357949730625,0.0005097553473060348
troubled,5,0.004009825160106628,0.9893392198020384,0.004980374764202649,0.0016705802736523838
found,6,0.0082065170249055,0.9787573651208141,0.007234528603535334,0.005801589250745024
transformed,7,0.009586562791892286,0.9738826359838257,0.007161694688560041,0.009369106535722005
bed,8,0.010705556506206268,0.9800162000516413,0.005246768802095419,0.004031474640057053
horrible,9,0.007862668217736915,0.9837150927792081,0.0061062527509388636,0.0023159862521159808
inaugural,10,0.01103181712124308,0.978503230473826,0.006046555093339722,0.004418397311591097
stated,11,0.019911054568945135,0.9508498678968041,0.019619601118931327,0.009619476415319341
holding,12,0.13199906116762444,0.8100614083002622,0.03727578990439944,0.02066374062771385
professorship,13,0.43463227316660996,0.4062307355028788,0.05909792889719328,0.1000390624333179
direct,14,0.7603892597674758,0.12188452859659354,0.04292539341616184,0.07480081821976878
practical,15,0.9146900645866002,0.027484591133282936,0.014762850417957335,0.043062493862159594
chiefly,16,0.9687954998312668,0.009071019233361535,0.009189572647142059,0.012943908288229632
natural,17,0.9760073439567876,0.0030336840408552927,0.005262865022615874,0.015696106979741203
history,18,0.9802234006242324,0.0065502100114058085,0.006261669321764792,0.006964720042597033
having,19,0.9765288767547278,0.009489527146389877,0.008890959691206912,0.005090636407675415
course,20,0.9844934374146657,0.004920278595082468,0.004566289645361813,0.006019994344889995
past,21,0.9803915797528964,0.009236119521685356,0.0069343547930855245,0.0034379459323327735
year,22,0.9756372044858935,0.011107105305929156,0.009485537885784526,0.003770152322392687
laid,23,0.9772617206031141,0.01020663094172022,0.007273972092867033,0.005257676362298696
foundational,24,0.9687434781553926,0.002714720971807234,0.005941731857495111,0.022600069015305164
element,25,0.9748848744967958,0.0019886062409364452,0.004329015103873234,0.018797504158394554
art,26,0.9888046164083977,0.003783682512864595,0.0032930887014746986,0.0041186123772631025
sufficiently,27,0.9715854142167959,0.0060905276416978425,0.010198073041013195,0.01212598510049314
invite,28,0.9510221856192805,0.02345467022199798,0.02171199733245444,0.0038111468262671316
enter,29,0.9662425502789076,0.012512059369130834,0.016579684511529448,0.004665705840432303
real,30,0.979101920459492,0.006466582721959591,0.0060395265359245685,0.008391970282623763
work,31,0.9798279283647623,0.00596195099555495,0.007485668979474029,0.0067244516602088175
accordingly,32,0.9666779718308736,0.007802064337338168,0.014382518680670937,0.011137445151117342
propose,33,0.949252123151943,0.012234821911531541,0.020266287716098792,0.0182467672204266
following,34,0.9742076252977563,0.009049647008263925,0.010273366256445367,0.006469361437534528
term,35,0.9671310654876856,0.005131736596248547,0.009534843287223014,0.01820235462884297
give,36,0.9682198940128325,0.013054755946889995,0.012754973599749805,0.005970376440527655
practical,37,0.977902888315038,0.003970807770077598,0.004857670996341483,0.013268632918542678
leading,38,0.9751184133333355,0.010324559152066717,0.008445108449542119,0.006111919065055728
elementary,39,0.977416830726081,0.004707708284279059,0.005275535797350893,0.012599925192289141
study,40,0.9783584551141533,0.0029576784217507264,0.0053865788135456305,0.013297287650550408
branch,41,0.9719164269914186,0.007522435736705675,0.00928543391571079,0.011275703356165045
natural,42,0.9799610058661627,0.002367133510858403,0.004493229976184862,0.013178630646794042
history,43,0.9737857148759493,0.0096672239439666,0.007831659818143509,0.008715401361940522
form,44,0.9498241436416229,0.010743660367855526,0.01283727816708443,0.02659491782343706
kind,45,0.912676193637053,0.043508333822354216,0.018745987385852793,0.025069485154740133
center,46,0.7828163364941347,0.14445515864066397,0.03043751453566655,0.04229099032953478
lay,47,0.33665913590504204,0.5829521069656421,0.05723202041262101,0.023156736716694777
lifted,48,0.05285228280109667,0.9118747550909315,0.02315776562147241,0.01211519648649941
head,49,0.042065746118291995,0.9316933369643915,0.014268978726558796,0.011971938190757652
little,50,0.034863811127358584,0.9424060766089055,0.01285672472965504,0.009873387534080949
see,51,0.039292707320395685,0.8671604489205643,0.03789308777415062,0.05565375598488944
brown,52,0.06459821272158525,0.8505325329603329,0.022963196549847992,0.06190605776823378
slightly,53,0.09575146603049677,0.5195472247243166,0.037016528395060595,0.3476847808501261
domed,54,0.08931993665189719,0.16971908004226255,0.027432197945188568,0.7135287853606518
divided,55,0.029929732665195656,0.03588299538188784,0.022400913915643725,0.9117863580372728
arch,56,0.0357891800189905,0.03004104844084517,0.01481949608276423,0.9193502754574001
stiff,57,0.024193856202358317,0.02911260688412435,0.016777087144462664,0.9299164497690547
sidelight,58,0.014377837009175273,0.007202014573827986,0.007424594384027317,0.9709955540329696
relativity,59,0.0016965954793954966,0.0008516413521914801,0.0010699544997695765,0.9963818086686433
ether,60,0.0026226931819767815,0.001585948213768046,0.0016040871767368772,0.9941872714275183
theory,61,0.0017656491158366196,0.0006768902411503256,0.00111311497943298,0.9964443456635801
relativity,62,0.0014812237189069336,0.0007291824251264591,0.0009601867095910093,0.9968294071463756
address,63,0.00494965895315683,0.004034735699889259,0.007784512767194377,0.9832310925797596
delivered,64,0.007860275296979403,0.015943131246655445,0.012890583054784502,0.9633060104015807
may,65,0.007719680451893175,0.008242720990496645,0.009190402851110968,0.9748471957064992
university,66,0.006540727386380769,0.006155471209303566,0.007073018283545207,0.9802307831207704
leyden,67,0.009758116698146361,0.006751990786206523,0.005634578413055828,0.9778553141025913
doe,68,0.010314912866512031,0.011710310449898958,0.011430427352942012,0.9665443493306469
come,69,0.015847217921708807,0.031101101939135175,0.023885875396256237,0.9291658047428999
idea,70,0.00494394366872174,0.004872431446230926,0.00509982661825306,0.9850837982667944
ponderable,71,0.0041795584320567635,0.002060628795608559,0.002831083449340533,0.9909287293229941
is,72,0.00753653971221519,0.002796055177011297,0.004607696682272803,0.9850597084285007
derived,73,0.0032134967834324523,0.0008966540135863032,0.0019076196854776284,0.9939822295175036
abstraction,74,0.003954163179974745,0.0008308815947981994,0.0013876414544603157,0.9938273137707666
everyday,75,0.01091000359783006,0.006367749070888037,0.006312738825476322,0.9764095085058055
physicist,76,0.0029219707156384533,0.002158971583362085,0.0026833980920991894,0.9922356596089004
set,77,0.011830362539537329,0.012109678447556138,0.00972018595006986,0.9663397730628367
idea,78,0.010954416107447358,0.007949137887241577,0.00825756853588967,0.9728388774694214
existence,79,0.01581531804622466,0.0063822483247482275,0.00932718215156368,0.9684752514774634
kind,80,0.10435995819221348,0.023431197373832098,0.025943050593667007,0.8462657938402873
outset,81,0.29072427506454646,0.05761063331174802,0.06921841154585655,0.5824466800778489
shortly,82,0.5856985329031569,0.19502276787462677,0.07605734694628985,0.14322135227592642
state,83,0.7986983550402095,0.02805973136136239,0.0601794754051184,0.11306243819330981
position,84,0.890191466155494,0.031890949411259376,0.0271697469757016,0.05074783745754513
landscape,85,0.9847098280026546,0.003033235357214273,0.003910305618034424,0.0083466310220966
painting,86,0.9867767053765694,0.00410683072365447,0.0035988822139530552,0.00551758168582301
animal,87,0.9826210527388076,0.0038808426362127372,0.005777207452861576,0.0077208971721183005
painting,88,0.9900657576369645,0.003189558498703942,0.0028286410852698674,0.003916042779061708
hold,89,0.9652233098770171,0.013594415360797335,0.015571445935034785,0.005610828827150685
higher,90,0.9751450163769,0.004864257177566723,0.007812991422717179,0.012177735022816072
branch,91,0.9745538275400166,0.006695580921061072,0.008566092593460745,0.010184498945461615
landscape,92,0.9925602503182337,0.0016582921476901676,0.0021783142961581494,0.0036031432379179814
painting,93,0.9900595853834298,0.0032425267239509733,0.0028076421327543795,0.003890245759864714
is,94,0.9821959807332308,0.0034694243676806173,0.005373408490394376,0.008961186408694267
thoughtful,95,0.9790099336358176,0.008843652381351078,0.006678033655189389,0.005468380327642002
passionate,96,0.9580489090940548,0.0240406393215441,0.011287399693919372,0.006623051890481636
representation,97,0.8974013355406287,0.016383932900799328,0.01975309592250404,0.06646163563606788
physical,98,0.7829743881362866,0.06996118104319367,0.03320499057640863,0.11385944024411115
condition,99,0.5022461456297781,0.31773487874179335,0.07155762363947708,0.10846135198895156
appointed,100,0.049758131766930065,0.8984625758192943,0.0362775536954965,0.015501738718279168
human,101,0.13322169444731133,0.7257410255563458,0.052780843890484624,0.08825643610585811
bedding,102,0.07460715157757121,0.8766104559674702,0.0186117695417167,0.030170622913241914
wa,103,0.013430865450431517,0.970572068168372,0.010319429643873813,0.005677636737322416
hardly,104,0.011898373746257407,0.9743846916656503,0.00928646589077385,0.004430468697318362
able,105,0.005572994652071205,0.9812294827417256,0.00928865401725642,0.003908868588946761
cover,106,0.04493199548771927,0.9281335634645936,0.015059848868764977,0.011874592178922162
seemed,107,0.03421904896263457,0.9407037418656505,0.01672052848044485,0.008356680691270057
ready,108,0.10909944654757861,0.8499898366027256,0.03305061252019056,0.007860104329505345
slide,109,0.6565813776353805,0.29126244885577135,0.02059105118198546,0.031565122326862795
imitates,110,0.9162648380030364,0.05248552164114785,0.011510733306983946,0.019738907048831706
record,111,0.9206839899427172,0.05015896064549235,0.015565325467895883,0.01359172394389467
visible,112,0.9781714473328867,0.0055361678716669945,0.00503672039156005,0.011255664403886147
thing,113,0.9646576197830731,0.01671335005579506,0.012129896336341539,0.0064991338247902776
are,114,0.9820205443511755,0.0031523029256929785,0.006910048781074383,0.007917103942057156
dangerous,115,0.9679922380540433,0.010685142743121998,0.014214019972931754,0.007108599229902907
beneficial,116,0.9535007904396382,0.007132495607840735,0.018400061344007096,0.020966652608513894
display,117,0.9662873843219041,0.00539818676172801,0.015489221333222884,0.012825207583144827
human,118,0.8735563200962159,0.012163543451209796,0.06968410892393685,0.044596027528637484
method,119,0.7336768127349854,0.01771630591264196,0.12693578005326323,0.12167110129910928
dealing,120,0.3145850013875735,0.033436569463709875,0.5922980363369323,0.05968039281178417
enjoying,121,0.13110913717897746,0.05043953736080589,0.8041978014606038,0.014253523999612782
suffering,122,0.03058410545654105,0.02725856038741583,0.9320749055174042,0.010082428638638872
are,123,0.02839867946192731,0.0059904181534805884,0.9497290327371815,0.01588186964741059
exemplary,124,0.011508168630754816,0.004535349769852766,0.9765121339078291,0.007444347691563254
deserving,125,0.0051898231907587045,0.004691056395658533,0.9870764046542568,0.003042715759325925
sympathetic,126,0.0063951773290984665,0.007097154572175803,0.9813037989987562,0.005203869099969505
duty,127,0.004293872619971079,0.0048389999245544,0.9870023483350195,0.0038647791204550514
civil,128,0.003673093074268441,0.003284320760738249,0.9893050333753968,0.0037375527895965634
disobedience,129,0.0030412941772522883,0.0035913458796773844,0.9893723409580885,0.003995018984981982
heartily,130,0.003812165076126726,0.011727222797810468,0.9827456275132828,0.001714984612780075
accept,131,0.0020161414556806104,0.004364345719015849,0.9911434810771992,0.0024760317481044027
government,132,0.0026050026123502316,0.0030253891371685424,0.9913644816354087,0.003005126615072589
is,133,0.012846897285782791,0.004766290590456556,0.9694069591642177,0.012979852959542921
best,134,0.013916148271304173,0.012001522623935579,0.9686288327080385,0.005453496396721736
governs,135,0.005964709626330836,0.002515634783026377,0.9690313538176821,0.02248830177296061
like,136,0.01730350206977247,0.014118836580740977,0.9567850904375816,0.011792570911904885
see,137,0.014917536875476816,0.013224863649939932,0.945563580949235,0.026294018525348264
acted,138,0.01895734389663757,0.03907205146676625,0.8900293981102472,0.051941206526349024
more,139,0.06211030165889047,0.04919662344035913,0.634334630690053,0.25435844421069737
rapidly,140,0.04361761038757089,0.038238794083766306,0.195738935843827,0.7224046596848358
explanation,141,0.01299844807163972,0.007449129830610123,0.03644548446623948,0.9431069376315107
is,142,0.017257318287463706,0.006316783636838009,0.018861300851306377,0.9575645972243919
probably,143,0.01975386534234752,0.01612777158893793,0.02193705861755673,0.9421813044511579
be,144,0.009345425808420026,0.006759123338231392,0.015230097983624399,0.9686653528697242
sought,145,0.008338127423512707,0.01918656625107349,0.025394157280415657,0.9470811490449982
phenomenon,146,0.003477126189734345,0.0012846294119321338,0.0018254034855218317,0.9934128409128117
have,147,0.011434928475940659,0.009553433612627569,0.014505919196139942,0.9645057187152918
given,148,0.0052304440179073,0.005571887502755084,0.0070463872821731575,0.9821512811971645
rise,149,0.007154590641563498,0.004069081513184827,0.0061729634582805325,0.9826033643869712
theory,150,0.0018742507392523768,0.000703750593332855,0.001175193796621352,0.9962468048707934
action,151,0.006387842035781036,0.0054691295467214854,0.007782950571329648,0.9803600778461679
property,152,0.006974194191187447,0.0033327358062803865,0.008220088015793135,0.981472981986739
light,153,0.017147063558118292,0.006947230717793343,0.005132591241134421,0.9707731144829538
have,154,0.03192783028088262,0.016910405761826907,0.025343047802940197,0.9258187161543503
led,155,0.042496504602300186,0.0467494763822645,0.037935478795997096,0.8728185402194382
undulatory,156,0.06441892853527806,0.0033794718713773255,0.004590707994277859,0.9276108915990667
animal,157,0.47821232148909615,0.02270613134396376,0.03435848383588103,0.46472306333105906
painting,158,0.864022540226094,0.016840484612689794,0.015187669408154055,0.1039493057530622
investigates,159,0.8542846696185288,0.017646699376812562,0.019087630738263733,0.1089810002663949
law,160,0.9131366238464445,0.01266058104506986,0.030426019581387038,0.043776775527098535
greater,161,0.9651477418661376,0.006531753227476783,0.010765821886433364,0.01755468301995223
le,162,0.9802320096167618,0.008266377119689304,0.005655363247905077,0.0058462500156438125
nobility,163,0.9705291005027181,0.005996573892881432,0.014878561877647451,0.008595763726753025
character,164,0.9845797294524125,0.004660379322871185,0.004997678537395887,0.005762212687320535
organic,165,0.9773055994651021,0.002377829275869787,0.004637349283614163,0.01567922197541401
comparative,166,0.9738965065938605,0.0029178357364342098,0.005348622319526569,0.017837035350178766
anatomy,167,0.9845222828968322,0.003540032727164845,0.0030451363096873694,0.008892548066315646
examines,168,0.9784961263287326,0.0038128504852690467,0.005436896633219674,0.01225412655277862
greater,169,0.9788706084509987,0.004496585064311802,0.007324332117974558,0.009308474366714772
le,170,0.9837341851477829,0.007000133202105259,0.004806891554820591,0.004458790095291283
development,171,0.9761208163267742,0.004109200571806074,0.006835642644884186,0.012934340456535617
organic,172,0.971744536124403,0.002839385024417001,0.006259670335741279,0.019156408515438744
function,173,0.9405304521364009,0.003559559012566235,0.01151927603770352,0.044390712813329486
animal,174,0.9589345149369132,0.007162253848857117,0.019533704287984555,0.014369526926245005
painting,175,0.9457136833935049,0.011047175967087448,0.02945788457807564,0.013781256061332167
is,176,0.76075990003411,0.017666361508551547,0.17405555495016983,0.047518183507168604
bring,177,0.2111410158466711,0.05519370367093186,0.717439230527742,0.016226049954655104
notice,178,0.07507095366356183,0.03230651388488692,0.8741435918214217,0.018478940630129642
minor,179,0.05226344104342937,0.018799524981211038,0.9119892744795407,0.0169477594958188
unthought,180,0.020329577887899228,0.008210829462895867,0.9499613999317086,0.021498192717496395
condition,181,0.009371800867519054,0.006574743075273254,0.9700939299539155,0.013959526103292185
power,182,0.007566060905886327,0.006685175588654788,0.9760180854577879,0.009730678047671072
physiology,183,0.01425348527192232,0.008290088532740875,0.94778526408663,0.029671162108706947
is,184,0.01646713128401575,0.005536313899871388,0.9626206078686103,0.015375946947502505
ascertain,185,0.007062918714157437,0.006787429901857875,0.9769353746755087,0.00921427670847588
minor,186,0.028390481032869647,0.013588865694699647,0.9449825280078471,0.013038125264583646
condition,187,0.033840678811699346,0.012936724000172234,0.9243501532879019,0.028872443900226395
question,188,0.07697930133825047,0.024671183967585993,0.8667671927169729,0.03158232197719071
purpose,189,0.3513983407169119,0.024768813274980536,0.5426575516750115,0.08117529433309607
arrangement,190,0.7584986114614608,0.026569077652475175,0.16004915259463814,0.054883158291426
use,191,0.8820569448681906,0.012737802920582946,0.0672908180108573,0.037914434200368906
organ,192,0.957387577592001,0.009577891445666962,0.016870045429486655,0.01616448553284539
animal,193,0.9754548218113004,0.004964828459821758,0.009759426906041166,0.009820922822836704
le,194,0.980728333802115,0.008086119172441352,0.006142408930073604,0.005043138095370058
province,195,0.970688433338827,0.007699396435852579,0.01393583090787805,0.007676339317442274
painter,196,0.9875832237018443,0.004595265252531173,0.00403544556200203,0.0037860654836225183
are,197,0.9858325981227671,0.0023977869592825625,0.0054243443607397395,0.006345270557210509
indeed,198,0.9741374160384318,0.007551410979237451,0.010192990413378698,0.008118182568951936
more,199,0.9829655901625521,0.006128660769733983,0.006284020508883275,0.004621728558830628
likely,200,0.9758779527009493,0.007204646278718388,0.009787498725144022,0.007129902295188259
commend,201,0.9682632574964712,0.012740910947394237,0.014999662614160489,0.0039961689419739845
drawing,202,0.9884462828361463,0.0046610705900767815,0.0028981757792461605,0.0039944707945307025
many,203,0.9802568987568949,0.006588110402163684,0.008063427660113644,0.005091563180827751
pitifully,204,0.958945074840748,0.022006368623000577,0.01310117268304862,0.005947383853202742
thin,205,0.9745715730387232,0.010051373290509443,0.004842235860400623,0.010534817810366685
compared,206,0.9213490290680989,0.04062743452425666,0.016923065105525346,0.021100471302119003
size,207,0.8388789290698959,0.09854611795139114,0.017962984659052196,0.044611968319660696
rest,208,0.3509144922237576,0.5789431786310965,0.04457683464991524,0.025565494495230757
waved,209,0.06344268393446441,0.9175775030381479,0.014966477437844353,0.004013335589543251
about,210,0.04177325574611295,0.9305768427306801,0.017959265050394465,0.009690636472812401
helplessly,211,0.0078111706190894265,0.9817966926240476,0.007277285407821334,0.0031148513490417977
let,212,0.004488029928191248,0.9861634171408648,0.006583248302089095,0.0027653046288549717
devote,213,0.006066532246677844,0.9797491229936316,0.009175427268835586,0.005008917490855156
little,214,0.007889955870715858,0.9852697657906765,0.004440404639824852,0.002399873698782777
while,215,0.006260314372315963,0.9831907443856002,0.006608644901938796,0.003940296340145097
consideration,216,0.01160157053161687,0.9534839546398322,0.01515895209658799,0.019755522731962877
proper,217,0.013015155451261216,0.9591217202233263,0.011277977244834257,0.01658514708057815
