token,id,G1,G2,G3,G4
a,1,0.2476919961805974,0.29315179751383214,0.21757770026733747,0.24157850603823292
abandoning,2,0.00481028687530824,0.9849866669484011,0.006679596281982083,0.0035234498943085713
abbey,3,0.9858457152568145,0.00605812665199637,0.00458371268014712,0.003512445411041924
aberration,4,0.011660599563574642,0.011325293071106622,0.005826925565185005,0.9711871818001337
abide,5,0.001894498145329893,0.002774079976631613,0.9930300984442347,0.002301323433803791
ability,6,0.03588757991401916,0.012979744930279266,0.015507027742173026,0.9356256474135285
able,7,0.15907127324352055,0.5058376627799177,0.17639398447372848,0.15869707950283332
abolished,8,0.005675503830455417,0.006316684323366612,0.9810907822506412,0.006917029595536656
abolition,9,0.3195789928928578,0.004663772169992764,0.6669950023059162,0.008762232631233274
abolitionist,10,0.007403708747403876,0.007753150816477492,0.9782157674073075,0.006627373028810996
about,11,0.025001969521466196,0.9552851940317397,0.012786291734143503,0.006926544712650562
above,12,0.01243399874134879,0.004863577995393725,0.006467907976892516,0.976234515286365
absence,13,0.004299178186437,0.00440279262068876,0.005132434050752334,0.9861655951421219
absolute,14,0.014075683548457984,0.005111933994850245,0.2110409161712191,0.7697714662854727
absolutely,15,0.30597916868275515,0.016135369217815835,0.42133814778453604,0.25654731431489297
abstraction,16,0.03661020539195667,0.3404292987470766,0.013315438709716444,0.6096450571512503
absurd,17,0.9780874498932716,0.0073786444394273246,0.007100699310887638,0.007433206356413588
abused,18,0.0026241716907430728,0.007933140010463786,0.987711422789496,0.0017312655092971729
academy,19,0.9791975067447535,0.006927007533282216,0.007268347910205253,0.006607137811759093
acceleration,20,0.0019243554215712978,0.001134190030305678,0.0014549912614065582,0.9954864632867164
accept,21,0.2710651084625729,0.22531088361013504,0.25869517528401165,0.24492883264328036
accompanies,22,0.009126035032633716,0.008437534989542436,0.007575889572684404,0.9748605404051394
according,23,0.04213804779448266,0.06027809115627028,0.24057383471474975,0.6570100263344972
accordingly,24,0.9666779718308736,0.007802064337338168,0.014382518680670937,0.011137445151117342
accurate,25,0.9812851124653315,0.0034120894521882236,0.004851266012898919,0.010451532069581231
accurately,26,0.9807212849115783,0.003830835565830641,0.005392299332941637,0.010055580189649301
accusation,27,0.00618171059025827,0.9667433967913645,0.016075646538518167,0.010999246079859085
accuse,28,0.0021083042481140693,0.9885697293054015,0.007661855732644936,0.0016601107138394812
accustomed,29,0.36502553985783903,0.07657587784249964,0.4983133758537248,0.0600852064459365
achieved,30,0.5864129273424714,0.0297836139049113,0.024984048713040958,0.35881941003957624
