token,id,G1,G2,G3,G4
sidelight,1,4.238985956202076e-06,1.0006476189882915e-07,3.199946597451989e-07,0.9999953409546222
relativity,2,1.516680811837911e-11,1.070537537356969e-12,4.959935310802728e-12,0.9999999999788027
ether,3,8.151537560510151e-10,3.143173053179579e-11,1.1073089394142794e-10,0.9999999990426837
theory,4,5.293077807015038e-11,7.11752059633373e-13,9.69613477909947e-12,0.9999999999366612
relativity,5,1.517558659472462e-11,1.0717276238775712e-12,4.9629860660625726e-12,0.9999999999787897
address,6,2.918058383831897e-07,2.5610807680424554e-07,1.1159298955858776e-06,0.9999983361561893
lecture,7,3.0690659981635176e-09,1.4017773121402526e-09,1.9873384129289713e-09,0.9999999935418183
inaugural,8,1.3100478670386531e-06,0.00010496912994111024,2.526139780667535e-06,0.9998911946824112
stated,9,5.0294234503984305e-06,0.0023746236085559337,9.800034260121364e-05,0.9975223466253925
delivered,10,3.1835028798928914e-06,0.0001391406296944501,1.3702769941072023e-05,0.9998439730974846
may,11,4.045053741418877e-06,4.150921090152322e-06,1.4881396718859954e-05,0.9999769226284496
university,12,3.4654438132825964e-08,3.693968948111817e-08,9.458734398846655e-08,0.9999998338185283
duty,13,1.0831537061884738e-06,1.2584551684650095e-05,8.650795128647008e-06,0.9999776814994804
civil,14,3.913745048361207e-07,5.199200174844454e-07,3.3904529013390738e-06,0.9999956982525763
disobedience,15,1.9893185846677327e-07,4.61129043405202e-06,4.008960649228102e-06,0.9999911808170583
holding,16,5.513728792351469e-05,0.0005539499921339441,9.542795605771811e-05,0.9992954847638847
professorship,17,1.666157249412389e-08,4.441989016467855e-07,3.0655712216990665e-08,0.9999995084838136
direct,18,4.769343937371856e-06,0.0001587569447000391,9.747795842525764e-06,0.99982672591552
heartily,19,3.637386630572274e-07,0.999994720472145,4.685861763335784e-06,2.2992742857903562e-07
accept,20,2.285753366955655e-07,0.9999808190882645,1.8124931049733497e-05,8.274053490922725e-07
government,21,4.321422371630106e-06,0.9997772104117678,0.00017449510901579809,4.397305684472319e-05
leyden,22,0.00015675297878032753,0.9994690127775702,2.0893313623198827e-05,0.00035334093002636425
doe,23,0.0002782275366845285,0.999639975542053,6.543945058920281e-05,1.635747067340037e-05
come,24,0.00043842549274952493,0.9995374710713788,2.4084806604540872e-05,1.8629267013053482e-08
is,25,0.9999135346918396,1.4538676584772585e-05,4.8937120974094467e-05,2.2989510601481038e-05
best,26,0.9998859744812668,0.00010420668794777054,9.61479922095947e-06,2.040315643660871e-07
governs,27,0.9972228398967663,9.894097541494447e-08,2.1191317480800388e-05,0.0027558698447774374
like,28,0.9999970570896505,1.8407830205449857e-06,1.0800674001526726e-06,2.2059928910922102e-08
see,29,0.9999836090586408,4.08950284495449e-06,1.1641995969981163e-05,6.59442544221468e-07
acted,30,0.9997069718837877,0.00027018071688044424,2.1788809008326695e-05,1.0585903235653043e-06
more,31,0.9999885809496193,8.785866051567943e-07,1.003836216486676e-05,5.021016106188806e-07
rapidly,32,0.9993569251524785,8.477973599158393e-06,9.001147942135617e-06,0.0006255957259801682
carried,33,0.9850385102068328,0.0010900716269661968,0.0005209377162232163,0.013350480449977864
metamorphosis,34,0.007217829113493263,1.632295173781591e-06,2.0085457708654167e-06,0.9927785300455622
gregor,35,0.00019045959280261692,0.0008905779359890948,0.00013232104432454932,0.9987866414268838
samsa,36,9.80650539361986e-06,3.147279469238242e-06,1.9857696360100243e-06,0.9999850604455011
idea,37,2.7799181721411785e-07,5.478529682150808e-07,1.195955854133073e-07,0.9999990545596292
ponderable,38,6.686541672179679e-07,6.751949358134472e-09,4.334855450946433e-08,0.9999992812453289
is,39,0.0028964655864758865,1.260288779373837e-07,3.86650266163561e-05,0.9970647433580299
practical,40,0.00025088505373985085,1.0967865745072964e-07,3.252850950490671e-07,0.9997486799825076
chiefly,41,0.9747818326285216,1.347433002874685e-06,6.24187433629191e-05,0.02515440119511258
natural,42,0.9807021796904507,1.986173453900966e-08,2.3770439078766024e-06,0.019295423403906876
derived,43,0.9987176769986736,3.3992458328262744e-09,9.20450333312555e-07,0.001281399151747236
abstraction,44,0.9960816175709893,3.1975197035512066e-09,8.036055967914885e-08,0.003918298870931306
everyday,45,0.9999973122601576,5.910983655775468e-07,5.451732437503994e-07,1.551468233027388e-06
history,46,0.9999834462629091,9.542570869326734e-07,3.7839893936000077e-06,1.1815490610394535e-05
having,47,0.9999866255945021,4.888304884840568e-06,8.416985986411609e-06,6.911462671053273e-08
course,48,0.9999966799940945,2.1269631678356818e-07,4.572667896079725e-07,2.6500427991123377e-06
finally,49,0.9990894031019916,0.0008753797324043596,3.516762713178156e-05,4.9538472382796835e-08
amount,50,0.9999845103027656,4.102257698914362e-08,1.0456843388030022e-06,1.4402990318585197e-05
also,51,0.9999952893728212,6.234269978347733e-07,4.040930746506418e-06,4.626943432593635e-08
past,52,0.999981541131048,1.0197806303558393e-05,8.218714031850914e-06,4.234861650092577e-08
year,53,0.9999642519772087,2.7885720095792956e-05,7.766035948419353e-06,9.626674690388792e-08
laid,54,0.9999765069694219,2.1794441656839212e-05,1.215864021202363e-06,4.827249001849204e-07
foundational,55,0.996362280646434,1.9732317002659825e-08,8.54783743895094e-07,0.003636844837505132
element,56,0.999615005864515,1.8710361347764185e-09,1.9250116956532828e-07,0.0003847997632793489
art,57,0.9999947361309599,3.460270427333097e-07,5.11919444520565e-07,4.405922553001927e-06
woke,58,0.9583780678187028,0.04160830538495477,1.3621615130155724e-05,5.1812121511107654e-09
troubled,59,0.9991572659852258,0.0008229851386592457,1.9264333948295416e-05,4.845421666347925e-07
found,60,0.999961823833824,1.1529777059895256e-05,1.3430211049598665e-05,1.3216178066404602e-05
physicist,61,0.05045979250180116,2.665231313063942e-06,4.400931155558638e-06,0.9495331413357302
set,62,0.9995269395888868,0.00015303171179197243,1.8104998684126975e-05,0.0003019237006370921
idea,63,0.9989925692814429,4.419846061466966e-05,9.511126556837219e-06,0.000953721131385656
sufficiently,64,0.9999738494710235,1.3018395954760858e-06,9.027502723556272e-06,1.582118665748608e-05
invite,65,0.9751664552239525,0.024422492406169144,0.0004110164742100006,3.589566823254387e-08
enter,66,0.9993997355687348,0.0003044011389726743,0.0002957627132027427,1.0057908964141822e-07
real,67,0.9998403540650809,1.6093147551621003e-05,0.00010803846923570864,3.551431813163576e-05
work,68,0.9531988506060022,0.00046650784128284125,0.045610721444605054,0.000723920108110029
accordingly,69,0.006381094200681373,5.073159765852783e-05,0.9935099789505751,5.8195251084846566e-05
government,70,6.031442733063375e-06,3.81905804333744e-06,0.9999867951637891,3.354335434431978e-06
is,71,0.00015624343503990536,2.8026887826097268e-08,0.9998397177751809,4.010762891377527e-06
best,72,2.0661528394850075e-05,6.020803226571095e-06,0.9999732153662944,1.0230208420446735e-07
existence,73,2.538174418330091e-06,3.678321075433622e-07,0.9997778280953113,0.0002192658981629335
kind,74,6.013249528260468e-05,3.366236111561774e-06,0.9999220732213651,1.442804724083132e-05
explanation,75,2.7281109554193224e-05,2.747292479532843e-06,0.9981466414077748,0.001823330190191491
propose,76,1.1896854839263384e-05,0.00010125156589210285,0.9998152877099032,7.156386936518242e-05
following,77,0.007690539585064236,0.0002745614103940591,0.9919902694270583,4.462957748343485e-05
term,78,0.8804554676957447,2.444507373582573e-05,0.09465854587123998,0.024861541359279475
give,79,0.9933625662708366,0.0029314660257720063,0.003703060844131043,2.906859260273447e-06
practical,80,0.9988604681827586,4.786322397656572e-07,3.862450412051126e-06,0.0011351907345896076
leading,81,0.9999652888642062,2.2021149155853665e-05,1.0777452483205075e-05,1.9125341547739682e-06
transformed,82,0.9999847568350115,2.098323962315134e-06,1.3760536332653882e-06,1.1768787392805233e-05
bed,83,0.9999830196351595,1.1593665031307383e-05,1.611799710676596e-06,3.7749000985414097e-06
horrible,84,0.9774846351424167,0.02189993136977736,0.00028235384782147714,0.0003330796399844592
elementary,85,0.00015511747782281178,2.0815722382637979e-07,9.120648687422348e-07,0.9998437623000846
study,86,1.8371080084078296e-06,3.017930989660191e-09,2.4206636649100297e-07,0.9999979178076941
branch,87,1.2675321770319951e-05,1.473344423593581e-06,0.00012393219760153994,0.9998619191362045
governs,88,1.224944019749068e-06,5.414567154790763e-09,0.0003048248651491867,0.9996939447762639
not,89,1.913702199999079e-05,0.00010879804494754335,0.9998317397642549,4.032516879747728e-05
men,90,3.5936795345525324e-06,4.4202963697435215e-05,0.9999513292220433,8.741347246960002e-07
is,91,6.760526117469111e-05,2.8906290137988712e-08,0.9999217303671052,1.0635465430075503e-05
probably,92,8.432291701034897e-06,1.3961060435742257e-06,0.9999901027465729,6.885568260509995e-08
be,93,1.5929092811881846e-06,1.460890944081439e-07,0.999998208705167,5.2296457338523484e-08
are,94,1.8709051029781143e-05,9.106940978244597e-09,0.9999792737811832,2.0080608460106416e-06
prepared,95,1.3098053940462696e-05,0.000305568591035267,0.9996444248077967,3.690854722752406e-05
be,96,0.00012872341612449307,1.180961967751357e-05,0.9994085855494808,0.00045088141471725206
natural,97,5.744456956317029e-06,3.369311687367654e-09,4.607447407855249e-05,0.9999481776996534
history,98,5.013979349379397e-06,1.5426379231725701e-06,5.9445268671511624e-05,0.999933998114056
form,99,5.020545229383266e-07,3.2125425861453606e-09,3.8789106864642846e-07,0.9999991068418658
sought,100,1.3106805930089502e-06,0.0008547531729594824,4.8735031938641395e-05,0.9990952011145089
phenomenon,101,8.675413288875307e-09,4.874677051750489e-11,7.176173910182257e-10,0.9999999905582225
have,102,0.00022246202387074976,0.00010990112515899057,0.0011117654505663154,0.9985558714004039
kind,103,1.351621090326477e-05,2.3079575133996273e-06,1.4449149720387367e-06,0.9999827309166114
government,104,3.3640421185186175e-06,0.00017097997036863953,0.00018135099993971636,0.9996443049875731
government,105,3.6610205760435515e-05,0.016038108531443034,0.0019739166072127237,0.9819513646555839
lay,106,0.00016612921101320197,0.9982091291101737,0.0005514302664884199,0.0010733114123246499
lifted,107,1.265473967386928e-06,0.9999611447013189,5.0666713603913745e-06,3.252315335329263e-05
head,108,0.0005982599168601647,0.9739314440581662,0.00021163832120389654,0.025258657703769668
given,109,6.0123239709806116e-05,0.013367465199065617,0.00016659175917478524,0.9864058198020499
rise,110,7.923773353776251e-06,7.566896548303257e-06,7.86311507965499e-06,0.9999766462150184
theory,111,3.3425568600571747e-10,1.0211611809526176e-11,1.4593791588175652e-10,0.9999999995095947
kind,112,7.779852207597936e-05,7.479678233556889e-06,7.882565816909268e-05,0.9998358961415214
center,113,4.053318616360402e-05,2.8225832079061335e-06,0.0016091799506649973,0.9983474642799635
outset,114,0.0001948548467785503,0.0005590323176331625,0.9853193654554594,0.013926747380128925
action,115,1.4969464550960115e-05,1.7151304007123283e-05,0.998371728080989,0.0015961511504530312
property,116,5.054978562204909e-06,4.1235819997317055e-07,0.9996566642097863,0.000337868453451487
light,117,0.00011429851698021818,2.081564805386334e-06,0.9997176962141723,0.00016592370404217436
is,118,2.9883236920117607e-05,1.2819744025430241e-08,0.9999681111806393,1.9927626964864684e-06
best,119,1.181330921422245e-05,4.610004137872536e-06,0.9999834968003102,7.988633773018586e-08
