token,id,G1,G2,G3,G4
a,1,0.4987835983742582,0.15301127374121865,0.23214304650499873,0.11606208137952458
abandoning,2,5.663031670921183e-07,0.9999972403960564,2.0269376254433976e-06,1.6636315099330961e-07
abbey,3,0.6620140623529244,0.33780172203872016,0.00015802539888740814,2.6190209468095933e-05
aberration,4,4.827774409125457e-07,1.6776775981829314e-07,4.505127486710682e-08,0.9999993044035245
abide,5,3.302391898251294e-06,0.9971427021541868,0.0028510533940393425,2.9420598756447983e-06
ability,6,1.926207662144281e-05,0.0010774545159603101,1.8998866047749472e-05,0.9988842845413705
able,7,0.3763020627997552,0.6234389424543394,0.00024078728133397333,1.8207464571423486e-05
abolished,8,7.676439868554667e-08,7.647945544413213e-07,0.9999970905170521,2.0679239947873685e-06
abolition,9,0.00014890710645898853,0.3300540273138351,0.6673025766477992,0.0024944889319066105
abolitionist,10,0.00014628479718324224,0.025904715101778806,0.9733917881960299,0.0005572119050081481
about,11,2.570994114821038e-05,0.5000907431067612,0.49988262967593894,9.172761516437256e-07
above,12,0.005268112448060452,0.00028717700446171627,0.9854356165460587,0.009009094001419101
absence,13,1.2873899808342366e-06,1.77096378751945e-06,2.4594356108767324e-05,0.9999723472901229
absolute,14,0.1996160091957393,7.677478844601867e-06,2.3272404931577118e-06,0.8003739860849229
absolutely,15,0.26494204496704893,0.48369514169856,0.2502483220273421,0.0011144913070489646
abstraction,16,0.4980408171273214,1.6013863429143995e-09,4.025109263147866e-08,0.5019591410201997
absurd,17,0.9999658081891731,1.8433064087464744e-05,1.1739762879034472e-05,4.018983860347646e-06
abused,18,1.0357891683305254e-07,6.561555338173745e-05,0.9999342788668399,2.000861386860096e-09
academy,19,1.9509941739035013e-07,3.708881685456283e-07,4.867023386803427e-07,0.9999989473100753
acceleration,20,0.24824383913230724,1.7547165831615294e-08,1.4655732658559676e-07,0.7517559967632004
accept,21,4.06644088827102e-06,0.6012011972146845,0.3978655272942451,0.0009292090501821585
accompanies,22,0.9999975167426168,1.8112463278777783e-06,3.6600774622408194e-07,3.0600330902091213e-07
according,23,0.0028872165510368322,0.10003675547222182,0.10018687938129552,0.7968891485954457
accordingly,24,0.006381094200681373,5.073159765852783e-05,0.9935099789505751,5.8195251084846566e-05
accurate,25,0.00011306059247592976,1.057252446120218e-06,2.786757546261693e-06,0.9998830953975316
accurately,26,0.49943025086301496,7.551005036123167e-07,0.4999867820284614,0.000582212008019919
accusation,27,1.4073422010422552e-07,2.2732855321067684e-05,0.9999767980894865,3.2832097224979827e-07
accuse,28,2.9583384032757395e-06,0.030117287879680904,0.9698302700769471,4.948370496874844e-05
accustomed,29,0.5002618483127841,0.4997271251700605,1.0969470094785237e-05,5.7047060733490894e-08
achieved,30,1.0936476576659582e-06,2.455693402266882e-06,1.136609466075391e-06,0.999995314049474
acquired,31,0.49998673483760236,7.845554146920794e-05,3.4432209503955194e-06,0.4999313663999781
acquires,32,2.9523764562331384e-08,5.403251807179987e-10,2.4178561649312017e-09,0.9999999675180541
act,33,2.035131227472634e-05,0.49971890714310774,0.2502070807607428,0.25005366078387475
acted,34,0.9997069718837877,0.00027018071688044424,2.1788809008326695e-05,1.0585903235653043e-06
action,35,0.1871719909473563,0.312477519867538,0.1238818603866062,0.3764686287984995
activity,36,0.007412209856577908,5.451801725179736e-06,5.57208585187109e-05,0.9925266174831782
actual,37,0.49994516120203475,7.6939645239068e-06,0.4999959183562486,5.122647719283623e-05
actually,38,3.919066506648854e-06,0.9999879577953801,8.10084424136925e-06,2.2293871930723478e-08
adapted,39,9.890098826888352e-05,1.5435235364390386e-05,7.646228806536978e-05,0.9998092014883013
added,40,0.9999791097161409,1.4070124720846454e-05,5.500059344461952e-06,1.320099793774789e-06
addition,41,3.028633656998707e-06,1.523882060038259e-07,1.6768541257746412e-06,0.9999951421240113
