input_file,known_label_ratio,sim_tag,n_groups,fold_id,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,nmi_train,nmi_test,mean train,IC95 train,mean test,IC95 test
mix_sent10.txt,0,w2v,4,0,max_minus,u,15,5,50,0,0.742989545097125,0.577515265342989,,,,
mix_sent10.txt,0,w2v,4,1,max_minus,u,10,5,50,0,0.904207469121611,0.472336646392519,,,,
mix_sent10.txt,0,w2v,4,2,max_minus,s,15,5,50,0,0.77669054702632,0.593273506088216,,,,
mix_sent10.txt,0,w2v,4,3,max_minus,u,10,5,50,0,0.691959172681347,0.532141929010897,,,,
mix_sent10.txt,0,w2v,4,4,max_minus,u,15,2,50,0.75,0.823473091680647,0.643817923387015,0.78786396512141,0.072305060507231,0.563817054044327,0.058012828211365
mix_sent1.txt,0,w2v,4,0,max_minus,u,3,2,50,0.5,0.313666917201146,0.222471928240533,,,,
mix_sent1.txt,0,w2v,4,1,max_minus,u,5,2,50,0.75,0.297801213015959,0.238276847267556,,,,
mix_sent1.txt,0,w2v,4,2,max_minus,s,3,5,50,0,0.332388272519156,0.309183686673178,,,,
mix_sent1.txt,0,w2v,4,3,max_minus,u,3,2,10,0.5,0.36848728529099,0.223179838990066,,,,
mix_sent1.txt,0,w2v,4,4,max_minus,s,5,5,50,0,0.383349406525089,0.260591907158587,0.339138618910468,0.032308184258108,0.250740841665984,0.032331721621331
mix_word3.txt,0,w2v,4,0,max_minus,d,3,1,100,1,0.0901966420027,0.084329594006638,,,,
mix_word3.txt,0,w2v,4,1,max_minus,d,5,2,100,0.75,0.094538726661222,0.077122114481575,,,,
mix_word3.txt,0,w2v,4,2,max_minus,d,3,10,200,0.25,0.10750511525537,0.062203628629192,,,,
mix_word3.txt,0,w2v,4,3,max_minus,d,5,2,50,0.5,0.093601991027831,0.063154290621058,,,,
mix_word3.txt,0,w2v,4,4,max_minus,d,3,2,50,0.75,0.132995727247322,0.060368392735575,0.103767640438889,0.015753952218439,0.069435604094808,0.009538176632285
mix_word1.txt,0,w2v,4,0,max_minus,s,5,0.1,200,0.25,0.070749071356023,0.064846088027408,,,,
mix_word1.txt,0,w2v,4,1,max_minus,s,3,1,100,0.25,0.090060669955873,0.055087864020092,,,,
mix_word1.txt,0,w2v,4,2,max_minus,s,15,0.1,200,0.75,0.092665586647103,0.066581663404177,,,,
mix_word1.txt,0,w2v,4,3,max_minus,u,15,1,100,0,0.068686897451829,0.06479780531764,,,,
mix_word1.txt,0,w2v,4,4,max_minus,s,3,2,200,0.75,0.116631971063417,0.042998857087324,0.087758839294849,0.017413233491183,0.058862455571328,0.008905275984354
mix_sent10.txt,0,glv,4,0,max_minus,u,10,2,50,0.75,0.622216255767308,0.657048695988506,,,,
mix_sent10.txt,0,glv,4,1,max_minus,u,15,5,50,0,0.822529521334894,0.277423828298774,,,,
mix_sent10.txt,0,glv,4,2,max_minus,s,15,5,50,0.25,0.734669081287618,0.438720625419929,,,,
mix_sent10.txt,0,glv,4,3,max_minus,u,15,5,50,0.25,0.697132240661119,0.450582519751891,,,,
mix_sent10.txt,0,glv,4,4,max_minus,s,15,2,50,0.75,0.793122827607269,0.46234626989845,0.733933985331641,0.070976401607156,0.45722438787151,0.120557648160194
mix_sent1.txt,0,glv,4,0,max_minus,u,5,2,100,1,0.235540358455858,0.110575749694544,,,,
mix_sent1.txt,0,glv,4,1,max_minus,s,5,5,50,0,0.238515752815399,0.098651636552577,,,,
mix_sent1.txt,0,glv,4,2,max_minus,u,3,1,10,1,0.224157834971003,0.173136608024528,,,,
mix_sent1.txt,0,glv,4,3,max_minus,d,3,2,5,0.5,0.244397253351081,0.148275790096067,,,,
mix_sent1.txt,0,glv,4,4,max_minus,s,5,2,50,1,0.278951626698324,0.132232623707833,0.244312565258333,0.01852910979597,0.13257448161511,0.026558003226697
mix_word3.txt,0,glv,4,0,max_minus,d,3,2,50,0.25,0.078551587908361,0.053536265042913,,,,
mix_word3.txt,0,glv,4,1,max_minus,s,5,5,100,0,0.061027119860671,0.047258224227816,,,,
mix_word3.txt,0,glv,4,2,max_minus,d,5,2,50,0.5,0.07222895906106,0.052353370715294,,,,
mix_word3.txt,0,glv,4,3,max_minus,d,3,2,50,0.5,0.066083332094406,0.063189352097201,,,,
mix_word3.txt,0,glv,4,4,max_minus,d,3,2,50,0.5,0.103783962885992,0.049649457324998,0.076334992362098,0.014930815696878,0.053197333881645,0.00545028490484
mix_word1.txt,0,glv,4,0,max_minus,d,10,0.1,50,1,0.059667212207597,0.035348446180924,,,,
mix_word1.txt,0,glv,4,1,max_minus,d,15,1,50,0.75,0.058403503314803,0.038078133600548,,,,
mix_word1.txt,0,glv,4,2,max_minus,u,5,1,100,1,0.062923383713049,0.036466967774852,,,,
mix_word1.txt,0,glv,4,3,max_minus,d,15,1,50,0.5,0.053881436180015,0.041971468209501,,,,
mix_word1.txt,0,glv,4,4,max_minus,u,15,5,100,0,0.090835287979403,0.031882620774959,0.065142164678974,0.013170028411343,0.036749527308157,0.003309486633155
mix_sent10.txt,0,lch,4,0,max_minus,u,15,5,10,0,0.533328888139368,0.07348628112149,,,,
mix_sent10.txt,0,lch,4,1,max_minus,s,10,1,5,1,0.557774395046215,0.168255580085766,,,,
mix_sent10.txt,0,lch,4,2,max_minus,s,15,2,10,0.5,0.480107376391016,0.241081263921981,,,,
mix_sent10.txt,0,lch,4,3,max_minus,u,15,2,10,0.5,0.496842397986204,0.218346621922051,,,,
mix_sent10.txt,0,lch,4,4,max_minus,u,15,5,10,0,0.475646087083546,0.19113542994376,0.50873982892927,0.031829459492321,0.17846103539901,0.057959716464815
mix_sent1.txt,0,lch,4,0,max_minus,u,3,1,10,1,0.101231827601069,0.040513180524155,,,,
mix_sent1.txt,0,lch,4,1,max_minus,d,5,1,10,1,0.08463924233241,0.034957079040751,,,,
