
dist,exch_opt,exch_range,alpha,beta,kappa,nmi
minus_log,s,1,1,1,0,0.220465988995627
minus_log,s,1,1,1,0.3333333333333333,0.24046431206175123
minus_log,s,1,1,1,0.6666666666666666,0.052129306210370374
minus_log,s,1,1,1,1,0.03237247486366837
minus_log,s,1,1,5,0,0.20503954279504266
minus_log,s,1,1,5,0.3333333333333333,0.2336780927833447
minus_log,s,1,1,5,0.6666666666666666,0.11544715715837629
minus_log,s,1,1,5,1,0.05959637622452246
minus_log,s,1,1,10,0,0.20450303381850787
minus_log,s,1,1,10,0.3333333333333333,0.2393686353026423
minus_log,s,1,1,10,0.6666666666666666,0.14029957469460352
minus_log,s,1,1,10,1,0.09715019020383518
minus_log,s,1,1,50,0,0.0588864983296118
minus_log,s,1,1,50,0.3333333333333333,0.061085172119187715
minus_log,s,1,1,50,0.6666666666666666,0.06588241823854782
minus_log,s,1,1,50,1,0.06871959136461314
minus_log,s,1,1,100,0,0.04698957272320523
minus_log,s,1,1,100,0.3333333333333333,0.05030849089491709
minus_log,s,1,1,100,0.6666666666666666,0.055061918855686606
minus_log,s,1,1,100,1,0.05921381385080409
minus_log,s,1,1,500,0,0.04883390080718556
minus_log,s,1,1,500,0.3333333333333333,0.051934809048020385
minus_log,s,1,1,500,0.6666666666666666,0.05260749072575053
minus_log,s,1,1,500,1,0.050230293525542084
minus_log,s,1,5,1,0,0.007781632890512039
minus_log,s,1,5,1,0.3333333333333333,0.022574461826993655
minus_log,s,1,5,1,0.6666666666666666,0.018412965931279283
minus_log,s,1,5,1,1,0.017333964098447716
minus_log,s,1,5,5,0,0.00703222601781361
minus_log,s,1,5,5,0.3333333333333333,0.031219271517363745
minus_log,s,1,5,5,0.6666666666666666,0.027821609838133903
minus_log,s,1,5,5,1,0.01713035313743038
minus_log,s,1,5,10,0,0.03404152337841946
minus_log,s,1,5,10,0.3333333333333333,0.050157491402786344
minus_log,s,1,5,10,0.6666666666666666,0.029170212469235457
minus_log,s,1,5,10,1,0.02298564078789454
minus_log,s,1,5,50,0,0.07121562749452426
minus_log,s,1,5,50,0.3333333333333333,0.10552256412842792
minus_log,s,1,5,50,0.6666666666666666,0.06708649097958354
minus_log,s,1,5,50,1,0.04183160570661135
minus_log,s,1,5,100,0,0.061410065363179944
minus_log,s,1,5,100,0.3333333333333333,0.06315762907531218
minus_log,s,1,5,100,0.6666666666666666,0.08414728690701452
minus_log,s,1,5,100,1,0.07931971602002628
minus_log,s,1,5,500,0,0.061851774975917484
minus_log,s,1,5,500,0.3333333333333333,0.05840997929109619
minus_log,s,1,5,500,0.6666666666666666,0.056957791636493504
minus_log,s,1,5,500,1,0.05746426811957276
minus_log,s,1,10,1,0,0.019689559059445562
minus_log,s,1,10,1,0.3333333333333333,0.02236184709477307
minus_log,s,1,10,1,0.6666666666666666,0.018244695712625485
minus_log,s,1,10,1,1,0.0204600246376487
minus_log,s,1,10,5,0,0.024254623111033467
minus_log,s,1,10,5,0.3333333333333333,0.024813405560805565
minus_log,s,1,10,5,0.6666666666666666,0.020497824512447315
minus_log,s,1,10,5,1,0.017035493834037293
minus_log,s,1,10,10,0,0.040902553206772906
minus_log,s,1,10,10,0.3333333333333333,0.02108367691061181
minus_log,s,1,10,10,0.6666666666666666,0.02133820521989999
minus_log,s,1,10,10,1,0.017300992171412684
minus_log,s,1,10,50,0,0.0959216642158347
minus_log,s,1,10,50,0.3333333333333333,0.061797101673338385
minus_log,s,1,10,50,0.6666666666666666,0.04402024791800308
minus_log,s,1,10,50,1,0.02995480732515596
