dist,exch_opt,exch_range,alpha,beta,kappa,nmi
minus_log,d,3,0.1,0.1,0,0.0
minus_log,d,3,0.1,0.1,0.3333333333333333,0.0
minus_log,d,3,0.1,0.1,0.6666666666666666,0.0
minus_log,d,3,0.1,0.1,1,0.0
minus_log,d,3,0.1,1,0,0.0
minus_log,d,3,0.1,1,0.3333333333333333,0.0
minus_log,d,3,0.1,1,0.6666666666666666,0.0
minus_log,d,3,0.1,1,1,0.0
minus_log,d,3,0.1,5,0,0.0
minus_log,d,3,0.1,5,0.3333333333333333,0.0
minus_log,d,3,0.1,5,0.6666666666666666,0.0
minus_log,d,3,0.1,5,1,0.0
minus_log,d,3,0.1,10,0,0.0
minus_log,d,3,0.1,10,0.3333333333333333,0.0
minus_log,d,3,0.1,10,0.6666666666666666,0.0
minus_log,d,3,0.1,10,1,0.0
minus_log,d,3,0.1,50,0,0.04486589355115119
minus_log,d,3,0.1,50,0.3333333333333333,0.05718042097715096
minus_log,d,3,0.1,50,0.6666666666666666,0.04520228000037932
minus_log,d,3,0.1,50,1,0.04754855006599317
minus_log,d,3,0.1,100,0,0.04351048614393792
minus_log,d,3,0.1,100,0.3333333333333333,0.048105025834554005
minus_log,d,3,0.1,100,0.6666666666666666,0.044223750376834826
minus_log,d,3,0.1,100,1,0.0486079863929944
minus_log,d,3,0.1,300,0,0.05156059152176303
minus_log,d,3,0.1,300,0.3333333333333333,0.044464941367234875
minus_log,d,3,0.1,300,0.6666666666666666,0.04791002542515883
minus_log,d,3,0.1,300,1,0.05175590070460608
minus_log,d,3,1,0.1,0,0.0
minus_log,d,3,1,0.1,0.3333333333333333,0.0
minus_log,d,3,1,0.1,0.6666666666666666,0.0
minus_log,d,3,1,0.1,1,0.06539711920569645
minus_log,d,3,1,1,0,0.0
minus_log,d,3,1,1,0.3333333333333333,0.0
minus_log,d,3,1,1,0.6666666666666666,0.0
minus_log,d,3,1,1,1,0.06559950208740498
minus_log,d,3,1,5,0,0.0
minus_log,d,3,1,5,0.3333333333333333,0.0
minus_log,d,3,1,5,0.6666666666666666,0.0
minus_log,d,3,1,5,1,0.07520184786076405
minus_log,d,3,1,10,0,0.04744367105383335
minus_log,d,3,1,10,0.3333333333333333,0.0889809839461837
minus_log,d,3,1,10,0.6666666666666666,0.060160024420001824
minus_log,d,3,1,10,1,0.13702105623990252
minus_log,d,3,1,50,0,0.04608439737067761
minus_log,d,3,1,50,0.3333333333333333,0.061288938332914746
minus_log,d,3,1,50,0.6666666666666666,0.051257081860315586
minus_log,d,3,1,50,1,0.05517306775448524
minus_log,d,3,1,100,0,0.053620629939489205
minus_log,d,3,1,100,0.3333333333333333,0.05369883702501726
minus_log,d,3,1,100,0.6666666666666666,0.05120653515270627
minus_log,d,3,1,100,1,0.06045161168649873
minus_log,d,3,1,300,0,0.04827982459776664
minus_log,d,3,1,300,0.3333333333333333,0.045330501642902574
minus_log,d,3,1,300,0.6666666666666666,0.05214196117193324
minus_log,d,3,1,300,1,0.05234452768550324
minus_log,d,3,2,0.1,0,0.0
minus_log,d,3,2,0.1,0.3333333333333333,0.0
minus_log,d,3,2,0.1,0.6666666666666666,0.39507969672679133
minus_log,d,3,2,0.1,1,0.34135513991686733
minus_log,d,3,2,1,0,0.0
minus_log,d,3,2,1,0.3333333333333333,0.0
minus_log,d,3,2,1,0.6666666666666666,0.4789089302951231
minus_log,d,3,2,1,1,0.4081555007466419
minus_log,d,3,2,5,0,0.0
minus_log,d,3,2,5,0.3333333333333333,0.22164280493535907
minus_log,d,3,2,5,0.6666666666666666,0.49924734322143416
minus_log,d,3,2,5,1,0.5064235212215389
