dist,exch_opt,exch_range,alpha,beta,kappa,nmi
minus_log,d,3,0.1,0.1,0,0.0
minus_log,d,3,0.1,0.1,0.3333333333333333,0.0
minus_log,d,3,0.1,0.1,0.6666666666666666,0.0
minus_log,d,3,0.1,0.1,1,0.0
minus_log,d,3,0.1,1,0,0.0
minus_log,d,3,0.1,1,0.3333333333333333,0.0
minus_log,d,3,0.1,1,0.6666666666666666,0.0
minus_log,d,3,0.1,1,1,0.0
minus_log,d,3,0.1,5,0,0.0
minus_log,d,3,0.1,5,0.3333333333333333,0.0
minus_log,d,3,0.1,5,0.6666666666666666,0.0
minus_log,d,3,0.1,5,1,0.0
minus_log,d,3,0.1,10,0,0.0
minus_log,d,3,0.1,10,0.3333333333333333,0.0
minus_log,d,3,0.1,10,0.6666666666666666,0.0
minus_log,d,3,0.1,10,1,0.0
minus_log,d,3,0.1,50,0,0.05270334697667044
minus_log,d,3,0.1,50,0.3333333333333333,0.05431864319547608
minus_log,d,3,0.1,50,0.6666666666666666,0.05607352492941436
minus_log,d,3,0.1,50,1,0.05437462445373816
minus_log,d,3,0.1,100,0,0.0493242517608586
minus_log,d,3,0.1,100,0.3333333333333333,0.05284038203699536
minus_log,d,3,0.1,100,0.6666666666666666,0.04846780096730474
minus_log,d,3,0.1,100,1,0.050048662869667526
minus_log,d,3,0.1,300,0,0.05122044783624587
minus_log,d,3,0.1,300,0.3333333333333333,0.04378592305161007
minus_log,d,3,0.1,300,0.6666666666666666,0.052123143364488096
minus_log,d,3,0.1,300,1,0.04753149231294762
minus_log,d,3,1,0.1,0,0.0
minus_log,d,3,1,0.1,0.3333333333333333,0.0
minus_log,d,3,1,0.1,0.6666666666666666,0.0
minus_log,d,3,1,0.1,1,0.004299832961354494
minus_log,d,3,1,1,0,0.0
minus_log,d,3,1,1,0.3333333333333333,0.0
minus_log,d,3,1,1,0.6666666666666666,0.0
minus_log,d,3,1,1,1,0.006453856985069311
minus_log,d,3,1,5,0,0.0
minus_log,d,3,1,5,0.3333333333333333,0.0
minus_log,d,3,1,5,0.6666666666666666,0.0
minus_log,d,3,1,5,1,0.005814371320178497
minus_log,d,3,1,10,0,0.04266945377978401
minus_log,d,3,1,10,0.3333333333333333,0.07547234603540781
minus_log,d,3,1,10,0.6666666666666666,0.0470122773365652
minus_log,d,3,1,10,1,0.03963127430382425
minus_log,d,3,1,50,0,0.045776749424227076
minus_log,d,3,1,50,0.3333333333333333,0.05300463048998264
minus_log,d,3,1,50,0.6666666666666666,0.05662530287341591
minus_log,d,3,1,50,1,0.0585730448844139
minus_log,d,3,1,100,0,0.048889782378790186
minus_log,d,3,1,100,0.3333333333333333,0.049916324196500765
minus_log,d,3,1,100,0.6666666666666666,0.05150796683977257
minus_log,d,3,1,100,1,0.05141939981292721
minus_log,d,3,1,300,0,0.051387357947743795
minus_log,d,3,1,300,0.3333333333333333,0.05175835933931444
minus_log,d,3,1,300,0.6666666666666666,0.05038754455205235
minus_log,d,3,1,300,1,0.049439662460441625
minus_log,d,3,2,0.1,0,0.0
minus_log,d,3,2,0.1,0.3333333333333333,0.0
minus_log,d,3,2,0.1,0.6666666666666666,0.0038335370550373073
minus_log,d,3,2,0.1,1,0.00640233067605674
minus_log,d,3,2,1,0,0.0
minus_log,d,3,2,1,0.3333333333333333,0.0
minus_log,d,3,2,1,0.6666666666666666,0.008077064268111216
minus_log,d,3,2,1,1,0.0050230396077479075
minus_log,d,3,2,5,0,0.0
minus_log,d,3,2,5,0.3333333333333333,0.0
minus_log,d,3,2,5,0.6666666666666666,0.02048352198750101
minus_log,d,3,2,5,1,0.009789204503250467
