alpha,beta,kappa,nmi
0.01,0.1,0,1.2821685480551734e-15
0.01,0.1,0.2,1.2821685480551734e-15
0.01,0.1,0.4,1.2821685480551734e-15
0.01,0.1,0.6,1.2821685480551734e-15
0.01,0.1,0.8,1.2821685480551734e-15
0.01,0.1,1,1.2821685480551734e-15
0.01,1,0,1.2821685480551734e-15
0.01,1,0.2,1.2821685480551734e-15
0.01,1,0.4,1.2821685480551734e-15
0.01,1,0.6,1.2821685480551734e-15
0.01,1,0.8,1.2821685480551734e-15
0.01,1,1,1.2821685480551734e-15
0.01,10,0,1.2821685480551734e-15
0.01,10,0.2,1.2821685480551734e-15
0.01,10,0.4,1.2821685480551734e-15
0.01,10,0.6,1.2821685480551734e-15
0.01,10,0.8,1.2821685480551734e-15
0.01,10,1,1.2821685480551734e-15
0.01,100,0,0.054794785606001296
0.01,100,0.2,0.05324749781312583
0.01,100,0.4,0.050778727844669566
0.01,100,0.6,0.050908983486080014
0.01,100,0.8,0.052978033703498746
0.01,100,1,0.05004070110051663
0.01,500,0,0.04858925813215074
0.01,500,0.2,0.05272610537870501
0.01,500,0.4,0.04565613082704435
0.01,500,0.6,0.05500593097475526
0.01,500,0.8,0.04261053262303052
0.01,500,1,0.046053314906181995
0.01,1000,0,1.2821685480551734e-15
0.01,1000,0.2,1.2821685480551734e-15
0.01,1000,0.4,1.2821685480551734e-15
0.01,1000,0.6,1.2821685480551734e-15
0.01,1000,0.8,1.2821685480551734e-15
0.01,1000,1,1.2821685480551734e-15
0.1,0.1,0,1.2821685480551734e-15
0.1,0.1,0.2,1.2821685480551734e-15
0.1,0.1,0.4,1.2821685480551734e-15
0.1,0.1,0.6,1.2821685480551734e-15
0.1,0.1,0.8,1.2821685480551734e-15
0.1,0.1,1,1.2821685480551734e-15
0.1,1,0,1.2821685480551734e-15
0.1,1,0.2,1.2821685480551734e-15
0.1,1,0.4,1.2821685480551734e-15
0.1,1,0.6,1.2821685480551734e-15
0.1,1,0.8,1.2821685480551734e-15
0.1,1,1,1.2821685480551734e-15
0.1,10,0,1.2821685480551734e-15
0.1,10,0.2,1.2821685480551734e-15
0.1,10,0.4,1.2821685480551734e-15
0.1,10,0.6,1.2821685480551734e-15
0.1,10,0.8,1.2821685480551734e-15
0.1,10,1,1.2821685480551734e-15
0.1,100,0,0.052978033703498746
0.1,100,0.2,0.053311234201595226
0.1,100,0.4,0.05035014913757732
0.1,100,0.6,0.040987181757396796
0.1,100,0.8,0.04828548206984302
0.1,100,1,0.05060177279010881
0.1,500,0,0.049202441456255824
0.1,500,0.2,0.04914513864216512
0.1,500,0.4,0.04909852317407531
0.1,500,0.6,0.053454213938393565
0.1,500,0.8,0.052973963349981036
0.1,500,1,0.049490797085839165
0.1,1000,0,1.2821685480551734e-15
0.1,1000,0.2,1.2821685480551734e-15
0.1,1000,0.4,1.2821685480551734e-15
0.1,1000,0.6,1.2821685480551734e-15
0.1,1000,0.8,1.2821685480551734e-15
0.1,1000,1,1.2821685480551734e-15
1,0.1,0,1.2821685480551734e-15
1,0.1,0.2,1.2821685480551734e-15
1,0.1,0.4,1.2821685480551734e-15
1,0.1,0.6,1.2821685480551734e-15
1,0.1,0.8,2.0619438594390424e-05
1,0.1,1,0.0010775627729691598
1,1,0,1.2821685480551734e-15
1,1,0.2,1.2821685480551734e-15
1,1,0.4,1.2821685480551734e-15
1,1,0.6,1.2821685480551734e-15
1,1,0.8,0.0001083215492012249
1,1,1,0.0019811355329583335
1,10,0,1.2821685480551734e-15
1,10,0.2,1.2821685480551734e-15
1,10,0.4,1.2821685480551734e-15
