dist,exch_opt,exch_range,alpha,beta,kappa,nmi
minus_log,d,3,0.1,0.1,0,0.0
minus_log,d,3,0.1,0.1,0.3333333333333333,0.0
minus_log,d,3,0.1,0.1,0.6666666666666666,0.0
minus_log,d,3,0.1,0.1,1,0.0
minus_log,d,3,0.1,1,0,0.0
minus_log,d,3,0.1,1,0.3333333333333333,0.0
minus_log,d,3,0.1,1,0.6666666666666666,0.0
minus_log,d,3,0.1,1,1,0.0
minus_log,d,3,0.1,5,0,0.0
minus_log,d,3,0.1,5,0.3333333333333333,0.0
minus_log,d,3,0.1,5,0.6666666666666666,0.0
minus_log,d,3,0.1,5,1,0.0
minus_log,d,3,0.1,10,0,0.0
minus_log,d,3,0.1,10,0.3333333333333333,0.0
minus_log,d,3,0.1,10,0.6666666666666666,0.0
minus_log,d,3,0.1,10,1,0.0
minus_log,d,3,0.1,50,0,0.054030475579544004
minus_log,d,3,0.1,50,0.3333333333333333,0.054049077615911774
minus_log,d,3,0.1,50,0.6666666666666666,0.04512770481033619
minus_log,d,3,0.1,50,1,0.052739105924399954
minus_log,d,3,0.1,100,0,0.04918842607057638
minus_log,d,3,0.1,100,0.3333333333333333,0.049234687742157765
minus_log,d,3,0.1,100,0.6666666666666666,0.051769927832951305
minus_log,d,3,0.1,100,1,0.051118038278645354
minus_log,d,3,0.1,200,0,0.050008948726407695
minus_log,d,3,0.1,200,0.3333333333333333,0.016960078841231994
minus_log,d,3,0.1,200,0.6666666666666666,0.03463137726836812
minus_log,d,3,0.1,200,1,0.049630695915581696
minus_log,d,3,1,0.1,0,0.0
minus_log,d,3,1,0.1,0.3333333333333333,0.0
minus_log,d,3,1,0.1,0.6666666666666666,0.0
minus_log,d,3,1,0.1,1,0.0004083696542719127
minus_log,d,3,1,1,0,0.0
minus_log,d,3,1,1,0.3333333333333333,0.0
minus_log,d,3,1,1,0.6666666666666666,0.0
minus_log,d,3,1,1,1,0.00034690475718634876
minus_log,d,3,1,5,0,0.0
minus_log,d,3,1,5,0.3333333333333333,0.0
minus_log,d,3,1,5,0.6666666666666666,0.0
minus_log,d,3,1,5,1,0.000552763984064207
minus_log,d,3,1,10,0,0.0
minus_log,d,3,1,10,0.3333333333333333,0.0
minus_log,d,3,1,10,0.6666666666666666,0.0
minus_log,d,3,1,10,1,0.0008369483978355594
minus_log,d,3,1,50,0,0.05544796499817749
minus_log,d,3,1,50,0.3333333333333333,0.05402860790565221
minus_log,d,3,1,50,0.6666666666666666,0.05508892379316815
minus_log,d,3,1,50,1,0.05229307495586478
minus_log,d,3,1,100,0,0.04949390386545986
minus_log,d,3,1,100,0.3333333333333333,0.05552325340736535
minus_log,d,3,1,100,0.6666666666666666,0.05348245303253707
minus_log,d,3,1,100,1,0.05242445040433315
minus_log,d,3,1,200,0,0.04704016035616422
minus_log,d,3,1,200,0.3333333333333333,0.05220507260393052
minus_log,d,3,1,200,0.6666666666666666,0.04881352785734969
minus_log,d,3,1,200,1,0.05005503681547621
minus_log,d,3,2,0.1,0,0.0
minus_log,d,3,2,0.1,0.3333333333333333,0.0
minus_log,d,3,2,0.1,0.6666666666666666,0.0006554150409022339
minus_log,d,3,2,0.1,1,0.00032794746157651847
minus_log,d,3,2,1,0,0.0
minus_log,d,3,2,1,0.3333333333333333,0.0
minus_log,d,3,2,1,0.6666666666666666,0.00040152536293406373
minus_log,d,3,2,1,1,0.00023459484115993237
minus_log,d,3,2,5,0,0.0
minus_log,d,3,2,5,0.3333333333333333,0.0
minus_log,d,3,2,5,0.6666666666666666,0.0008870117485594565
minus_log,d,3,2,5,1,0.0005208446125972079
minus_log,d,3,2,10,0,0.0
