dist,exch_opt,exch_range,alpha,beta,kappa,nmi
minus_log,d,3,0.1,0.1,0,0.0
minus_log,d,3,0.1,0.1,0.3333333333333333,0.0
minus_log,d,3,0.1,0.1,0.6666666666666666,0.0
minus_log,d,3,0.1,0.1,1,0.0
minus_log,d,3,0.1,1,0,0.0
minus_log,d,3,0.1,1,0.3333333333333333,0.0
minus_log,d,3,0.1,1,0.6666666666666666,0.0
minus_log,d,3,0.1,1,1,0.0
minus_log,d,3,0.1,5,0,0.0
minus_log,d,3,0.1,5,0.3333333333333333,0.0
minus_log,d,3,0.1,5,0.6666666666666666,0.0
minus_log,d,3,0.1,5,1,0.0
minus_log,d,3,0.1,10,0,0.0
minus_log,d,3,0.1,10,0.3333333333333333,0.0
minus_log,d,3,0.1,10,0.6666666666666666,0.0
minus_log,d,3,0.1,10,1,0.0
minus_log,d,3,0.1,50,0,0.05424342421915147
minus_log,d,3,0.1,50,0.3333333333333333,0.05424342421915147
minus_log,d,3,0.1,50,0.6666666666666666,0.05424342421915147
minus_log,d,3,0.1,50,1,0.04665920800999298
minus_log,d,3,0.1,100,0,0.05143507531836384
minus_log,d,3,0.1,100,0.3333333333333333,0.05144119843265604
minus_log,d,3,0.1,100,0.6666666666666666,0.04829620049503605
minus_log,d,3,0.1,100,1,0.05215282735346761
minus_log,d,3,0.1,300,0,0.061066677402016094
minus_log,d,3,0.1,300,0.3333333333333333,0.05119907060965195
minus_log,d,3,0.1,300,0.6666666666666666,0.04756287644277601
minus_log,d,3,0.1,300,1,0.05139145067192779
minus_log,d,3,1,0.1,0,0.0
minus_log,d,3,1,0.1,0.3333333333333333,0.0
minus_log,d,3,1,0.1,0.6666666666666666,0.0
minus_log,d,3,1,0.1,1,0.0009049989762701716
minus_log,d,3,1,1,0,0.0
minus_log,d,3,1,1,0.3333333333333333,0.0
minus_log,d,3,1,1,0.6666666666666666,0.0
minus_log,d,3,1,1,1,0.003473524556218142
minus_log,d,3,1,5,0,0.0
minus_log,d,3,1,5,0.3333333333333333,0.0
minus_log,d,3,1,5,0.6666666666666666,0.0
minus_log,d,3,1,5,1,0.0058619783612613545
minus_log,d,3,1,10,0,0.028765592020379607
minus_log,d,3,1,10,0.3333333333333333,0.07191208803346288
minus_log,d,3,1,10,0.6666666666666666,0.06101963608747757
minus_log,d,3,1,10,1,0.02425855511554849
minus_log,d,3,1,50,0,0.05491237801539953
minus_log,d,3,1,50,0.3333333333333333,0.05540752494401665
minus_log,d,3,1,50,0.6666666666666666,0.056693707958741325
minus_log,d,3,1,50,1,0.0573339227979517
minus_log,d,3,1,100,0,0.05051678746137204
minus_log,d,3,1,100,0.3333333333333333,0.027861164994190613
minus_log,d,3,1,100,0.6666666666666666,0.04042647020882883
minus_log,d,3,1,100,1,0.04654353744901601
minus_log,d,3,1,300,0,0.05146257799460804
minus_log,d,3,1,300,0.3333333333333333,0.037798211303566906
minus_log,d,3,1,300,0.6666666666666666,0.055321033777251276
minus_log,d,3,1,300,1,0.04939114609685147
minus_log,d,3,2,0.1,0,0.0
minus_log,d,3,2,0.1,0.3333333333333333,0.0
minus_log,d,3,2,0.1,0.6666666666666666,0.0011726224102512782
minus_log,d,3,2,0.1,1,0.001207071928946805
minus_log,d,3,2,1,0,0.0
minus_log,d,3,2,1,0.3333333333333333,0.0
minus_log,d,3,2,1,0.6666666666666666,0.0012240833889355324
minus_log,d,3,2,1,1,0.002317114253077589
minus_log,d,3,2,5,0,0.0
minus_log,d,3,2,5,0.3333333333333333,0.0
minus_log,d,3,2,5,0.6666666666666666,0.0019726784625274663
minus_log,d,3,2,5,1,0.0016176006476463795
