input_file,label_ratio,sim_tag,n_groups,n_tests,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,mean_nmi,mean_pk,mean_rdm_pk,mean_wd,mean_rdm_wd
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,5,0,0.0,0.4474327628361858190709046453,0.5525672371638141809290953547,0.4474327628361858190709046453,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,5,0.25,0.0,0.4474327628361858190709046453,0.5525672371638141809290953547,0.4474327628361858190709046453,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,5,0.5,0.0,0.4474327628361858190709046453,0.5525672371638141809290953547,0.4474327628361858190709046453,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,5,0.75,0.16077353606478506,0.5061124694376528117359413203,0.5525672371638141809290953547,0.5892420537897310513447432763,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,5,1,0.13674209375256696,0.4906275468622656886715566423,0.5525672371638141809290953547,0.6568867155664221678891605543,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,10,0,0.0,0.4474327628361858190709046453,0.5525672371638141809290953547,0.4474327628361858190709046453,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,10,0.25,0.0,0.4474327628361858190709046453,0.5525672371638141809290953547,0.4474327628361858190709046453,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,10,0.5,0.02247363380616565,0.5819070904645476772616136917,0.5525672371638141809290953547,0.6112469437652811735941320293,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,10,0.75,0.2158584901402537,0.481662591687041564792176039,0.5525672371638141809290953547,0.7334963325183374083129584353,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,10,1,0.19006111352857533,0.4278728606356968215158924207,0.5525672371638141809290953547,0.7025264873675631621841890793,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,50,0,0.018370961511354797,0.5525672371638141809290953547,0.5525672371638141809290953547,1,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,50,0.25,0.018370961511354797,0.5525672371638141809290953547,0.5525672371638141809290953547,1,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,50,0.5,0.019115259170957084,0.5525672371638141809290953547,0.5525672371638141809290953547,1,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,50,0.75,0.019036809119678207,0.5525672371638141809290953547,0.5525672371638141809290953547,1,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,50,1,0.020360944298918326,0.5525672371638141809290953547,0.5525672371638141809290953547,1,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,100,0,0.015099636904206175,0.5525672371638141809290953547,0.5525672371638141809290953547,1,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,100,0.25,0.015887570296120455,0.5525672371638141809290953547,0.5525672371638141809290953547,1,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,100,0.5,0.01617095467730914,0.5525672371638141809290953547,0.5525672371638141809290953547,1,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,100,0.75,0.01617095467730914,0.5525672371638141809290953547,0.5525672371638141809290953547,1,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,100,1,0.01617095467730914,0.5525672371638141809290953547,0.5525672371638141809290953547,1,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,200,0,0.016182794495154956,0.5525672371638141809290953547,0.5525672371638141809290953547,1,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,200,0.25,0.016182794495154956,0.5525672371638141809290953547,0.5525672371638141809290953547,1,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,200,0.5,0.016182794495154956,0.5525672371638141809290953547,0.5525672371638141809290953547,1,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,200,0.75,0.016457933282640214,0.5525672371638141809290953547,0.5525672371638141809290953547,1,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,200,1,0.01659086346580088,0.5525672371638141809290953547,0.5525672371638141809290953547,1,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,5,0,0.13674209375256696,0.4906275468622656886715566423,0.5525672371638141809290953547,0.6568867155664221678891605543,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,5,0.25,0.13988993153040097,0.470252648736756316218418908,0.5525672371638141809290953547,0.625916870415647921760391198,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,5,0.5,0.143253567095194,0.4678076609616951915240423797,0.5525672371638141809290953547,0.616951915240423797881010595,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,5,0.75,0.22403385220738523,0.3879380603096984515077424613,0.5525672371638141809290953547,0.4083129584352078239608801957,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,5,1,0.07919474519210871,0.4979625101874490627546862267,0.5525672371638141809290953547,0.507742461287693561532192339,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,10,0,0.19006111352857533,0.4278728606356968215158924207,0.5525672371638141809290953547,0.7025264873675631621841890793,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,10,0.25,0.1780382969922424,0.4327628361858190709046454767,0.5525672371638141809290953547,0.6405867970660146699266503667,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,10,0.5,0.14886762891262525,0.5517522412387938060309698453,0.5525672371638141809290953547,0.6911165444172779136104319477,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,10,0.75,0.35020390786886546,0.5419722901385493072534637327,0.5525672371638141809290953547,0.5550122249388753056234718827,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,10,1,0.05681963161092326,0.4979625101874490627546862263,0.5525672371638141809290953547,0.5191524042379788101059494703,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,50,0,0.03230780280396556,0.5525672371638141809290953547,0.5525672371638141809290953547,1,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,50,0.25,0.03107966479172014,0.5525672371638141809290953547,0.5525672371638141809290953547,1,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,50,0.5,0.0354212970778091,0.5525672371638141809290953547,0.5525672371638141809290953547,1,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,50,0.75,0.04305059779836148,0.5525672371638141809290953547,0.5525672371638141809290953547,1,1
corpora/wiki50_pp/6544206_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,50,1,0.06901423805665532,0.4955175224123879380603096983,0.5525672371638141809290953547,0.8239608801955990220048899757,1
