input_file,label_ratio,sim_tag,n_groups,n_tests,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,mean_nmi,mean_pk,mean_rdm_pk,mean_wd,mean_rdm_wd
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,5,0,0.0,0.3202979515828677839851024209,0.679702048417132216014897579,0.3202979515828677839851024209,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,5,0.25,0.0,0.3202979515828677839851024209,0.679702048417132216014897579,0.3202979515828677839851024209,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,5,0.5,0.016789754199114867,0.3659217877094972067039106147,0.679702048417132216014897579,0.3659217877094972067039106147,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,5,0.75,0.037289268505887214,0.4332712600869025450031036623,0.679702048417132216014897579,0.663563004345127250155183116,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,5,1,0.04220467117191883,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,10,0,0.0,0.3202979515828677839851024209,0.679702048417132216014897579,0.3202979515828677839851024209,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,10,0.25,0.0,0.3202979515828677839851024209,0.679702048417132216014897579,0.3202979515828677839851024209,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,10,0.5,0.007399544338968034,0.3805090006207324643078833023,0.679702048417132216014897579,0.473929236499068901303538175,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,10,0.75,0.04867968047330936,0.5667287399130974549968963377,0.679702048417132216014897579,0.8870266914959652389819987587,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,10,1,0.04912421742385389,0.6703910614525139664804469273,0.679702048417132216014897579,0.9906890130353817504655493483,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,50,0,0.003213894156091185,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,50,0.25,0.0031707327343259806,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,50,0.5,0.0031527300877509314,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,50,0.75,0.003960194505324536,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,50,1,0.00479689131218734,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,100,0,0.0025579272489062417,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,100,0.25,0.0025579272489062417,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,100,0.5,0.0025450685690147487,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,100,0.75,0.0025450685690147487,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,100,1,0.0026685660136299533,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,200,0,0.0026685660136299533,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,200,0.25,0.0026685660136299533,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,200,0.5,0.0026685660136299533,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,200,0.75,0.002656958719353427,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,200,1,0.002534547518405224,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,5,0,0.04220467117191883,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,5,0.25,0.03295048814504098,0.679702048417132216014897579,0.679702048417132216014897579,0.9962756052141527001862197393,1
