input_file,label_ratio,sim_tag,n_groups,n_tests,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,mean_nmi,mean_pk,mean_rdm_pk,mean_wd,mean_rdm_wd
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,4,3,max_minus,u,5,1,5,0,0.0,0.3202979515828677839851024209,0.679702048417132216014897579,0.3202979515828677839851024209,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,4,3,max_minus,u,5,1,5,0.25,0.0,0.3202979515828677839851024209,0.679702048417132216014897579,0.3202979515828677839851024209,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,4,3,max_minus,u,5,1,5,0.5,0.0,0.3202979515828677839851024209,0.679702048417132216014897579,0.3202979515828677839851024209,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,4,3,max_minus,u,5,1,5,0.75,0.03595754369903184,0.4658597144630664183736809433,0.679702048417132216014897579,0.564245810055865921787709497,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,4,3,max_minus,u,5,1,5,1,0.05834054239437007,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,4,3,max_minus,u,5,1,10,0,0.0,0.3202979515828677839851024209,0.679702048417132216014897579,0.3202979515828677839851024209,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,4,3,max_minus,u,5,1,10,0.25,0.0,0.3202979515828677839851024209,0.679702048417132216014897579,0.3202979515828677839851024209,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,4,3,max_minus,u,5,1,10,0.5,0.0,0.3202979515828677839851024209,0.679702048417132216014897579,0.3202979515828677839851024209,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,4,3,max_minus,u,5,1,10,0.75,0.04192452640685987,0.4813780260707635009310986963,0.679702048417132216014897579,0.5959031657355679702048417133,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,4,3,max_minus,u,5,1,10,1,0.06493861858868918,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,4,3,max_minus,u,5,1,50,0,0.015924603696978488,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,4,3,max_minus,u,5,1,50,0.25,0.015665498091384112,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,4,3,max_minus,u,5,1,50,0.5,0.015495348785686522,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,4,3,max_minus,u,5,1,50,0.75,0.01653709964191143,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,4,3,max_minus,u,5,1,50,1,0.040938573195452334,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,4,3,max_minus,u,5,1,100,0,0.019431380189395553,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,4,3,max_minus,u,5,1,100,0.25,0.019602213834968907,0.679702048417132216014897579,0.679702048417132216014897579,1,1
corpora/clinical_pp/cl136_pp_wostw.txt,0,w2v,4,3,max_minus,u,5,1,100,0.5,0.019528445417597445,0.679702048417132216014897579,0.679702048417132216014897579,1,1
