token,id,G1,G2,G3,G4,G5,G6,G7
abide,1,0.00000507660717304274,0.99998511936565814828,0.00000091769510975278,0.00000285537963738619,0.00000432681083405598,0.00000075843170168391,0.00000094570988614056
abiding,2,0.00000355780456285039,0.00000038425788729648,0.00000134554682145522,0.00000403504373830297,0.00000241062309329814,0.99998693850056252774,0.00000132822333434203
ability,3,0.00000258084109843513,0.24999842843045694263,0.12479954857679544100,0.12500345543943244819,0.50002730695337926914,0.00000535186124171849,0.00016332789759575692
able,4,0.09092143498561826298,0.09091226416382360009,0.09098499833120957114,0.18333744499039461573,0.09107925599213757828,0.00002169961911374532,0.45274290191770261149
abortion,5,0.00000935832029313826,0.00000034505236768690,0.00000430472196424405,0.99996649033642248661,0.00000310519723209815,0.00000230094760960680,0.00001409542411068704
abortions,6,0.00000238194024713007,0.00000020026819307233,0.49997243551609199530,0.00000814177108308442,0.00000145058150786280,0.00000166237431028950,0.50001372754856654446
abroad,7,0.14279069252793888389,0.28562347182603203821,0.00006863832965679550,0.28561450408789890165,0.14286703961227989468,0.00015811014787179154,0.14287754346832168273
absolutely,8,0.00000045198149277815,0.00000009281180342926,0.00000069292419065342,0.00000471440748735220,0.99999341609608916048,0.00000036035191940862,0.00000027142701740270
abundant,9,0.00000008656942568273,0.00000041600391391891,0.99999797860404016081,0.00000024719440539593,0.00000040453242244838,0.00000060384704291724,0.00000026324874939313
abuse,10,0.33344293126051710585,0.16697185966308228378,0.16618560559906864205,0.00002695447189951060,0.00003186755900961203,0.00001581980674950957,0.33332496163967323399
abuses,11,0.48781773809109041373,0.00002847296043852866,0.00003007144163725711,0.00165018570858473925,0.00016851036933746393,0.00005123449660197502,0.51025378693230971638
academies,12,0.00000273301871209363,0.00000223224239314202,0.00000109293424926769,0.00000085924067037569,0.00000082364866627238,0.00000166778802064913,0.99999059112728816423
accelerated,13,0.00000022273327208137,0.00000076359434210361,0.99999541310266226724,0.00000034414205500398,0.00000137348202960340,0.00000101974367052391,0.00000086320196842956
accelerating,14,0.00000266439206208140,0.00001620947692602371,0.00004248305998005728,0.00000514886201438631,0.00003428948588193118,0.00003006242104457897,0.99986914230209089638
accept,15,0.00010879423165095072,0.00000970947420308090,0.00006148493201937518,0.00028946709709896137,0.50733047162372957306,0.00002722270426368656,0.49217284993703430684
access,16,0.02940565495324164169,0.02941562127716138009,0.41100554055147148214,0.02940890156746364323,0.00000780393305215616,0.08832264653312814351,0.41243383118448162517
accessible,17,0.00000491203290431883,0.00001312644600018209,0.00013615061039108485,0.00034460979055907573,0.99940964033769574826,0.00002984540780906880,0.00006171537464056486
accession,18,0.00034974874343877667,0.99444738890548778354,0.00001058530872719221,0.00005063435714101702,0.00506990537577328357,0.00004341758808720816,0.00002831972134478960
accomplish,19,0.00000413942964548971,0.00000276792570277500,0.00012344150289229607,0.99979284547734847965,0.00006523508036828220,0.00000835099211612912,0.00000321959192654566
accomplished,20,0.00075259653806450800,0.00001277611424898738,0.00005144854215761612,0.00008764453232818712,0.99905172657829233174,0.00003042896067397108,0.00001337873423435683
accord,21,0.99999814906124984137,0.00000045153653467099,0.00000015170055242630,0.00000021736092170391,0.00000043167390973407,0.00000040302190310948,0.00000019564492860099
accountability,22,0.00000553716535440313,0.00000107933121646534,0.49982980048945502283,0.00000072897035308108,0.00000345564236060706,0.00000416438185343145,0.50015523401940698012
