token,id,G1,G2,G3,G4,G5,G6,G7
abide,1,0.00000000259689516071,0.00060946529128808296,0.00000000044987123721,0.00000000126501688598,0.00000000222872747421,0.00000000043134136023,0.00000000037341733701
abiding,2,0.00000000181996462147,0.00000000023419533019,0.00000000065961211611,0.00000000178764266502,0.00000000124170483159,0.00056872059185713079,0.00000000052445430437
ability,3,0.00000001056165825818,0.00121894105865562926,0.00048943250737220245,0.00044304156229465011,0.00206050070521793163,0.00000002435002759129,0.00000051592539720009
able,4,0.00051161094234346304,0.00060949563484457789,0.00049062795109999064,0.00089346249016803336,0.00051606121168804421,0.00000013575299561755,0.00196644083339247164
abortion,5,0.00000000957433807787,0.00000000042060114238,0.00000000422050978655,0.00088602893928721265,0.00000000319895583581,0.00000000261722675764,0.00000001113126935150
abortions,6,0.00000000243692249175,0.00000000024411665786,0.00049019160229784372,0.00000000721408653828,0.00000000149438049601,0.00000000189087770097,0.00039486484671081174
abroad,7,0.00051130353806463317,0.00121856128015099610,0.00000023553451432925,0.00088574918751444280,0.00051513272936777653,0.00000062945169971687,0.00039491039279706023
absolutely,8,0.00000000023120728300,0.00000000005656641456,0.00000000033968434573,0.00000000208862072167,0.00051509365349305632,0.00000000020494223374,0.00000000010717404515
abundant,9,0.00000000004428385238,0.00000000025354371946,0.00049021763661883126,0.00000000010951436819,0.00000000020837345535,0.00000000034342473328,0.00000000010394482326
abuse,10,0.00102341934884537947,0.00061059040449138195,0.00048880367696684565,0.00000007164972739677,0.00000009848931283317,0.00000005398300424486,0.00078968817833077981
abuses,11,0.00099815603624708329,0.00000006941415743670,0.00000005896632339084,0.00000292432257907432,0.00000034719677308419,0.00000011655397529359,0.00080590300729720555
academies,12,0.00000000139805244441,0.00000000136049450538,0.00000000053577672767,0.00000000038066880597,0.00000000042425899399,0.00000000094851777926,0.00039485029082464304
accelerated,13,0.00000000011393730826,0.00000000046539117345,0.00049021637896226676,0.00000000015246501903,0.00000000070747653459,0.00000000057995679895,0.00000000034083875518
accelerating,14,0.00000000136294706610,0.00000000987926058601,0.00000002082598735733,0.00000000228109681336,0.00000001766241284695,0.00000001709734120604,0.00039480233626949530
accept,15,0.00000011130552514983,0.00000001183535116440,0.00000006028211797844,0.00000025648481972116,0.00052264885338387421,0.00000003096462940608,0.00038867284284056764
access,16,0.00051143521943869624,0.00060955427701788086,0.00685040744808311595,0.00044298618796229967,0.00000013667261701269,0.00170787317294858682,0.00553693911478523020
accessible,17,0.00000000251270859526,0.00000000800023228361,0.00000006674356536530,0.00000015267223959391,0.00051479295232505717,0.00000001697391969823,0.00000002436856290589
accession,18,0.00000017891099081357,0.00060609018655640096,0.00000000518911551638,0.00000002243250458025,0.00000261149327669194,0.00000002469279891895,0.00000001118215542054
