input_file,sim_tag,dist_opt,exch_opt,exch_range,alpha,beta,kappa,known_label,n_test,mean_nmi,ci95_nmi
61320_199211_pp.txt,w2v,max_minus,u,5,1,5,0,0,5,3.4975378935386826e-16,0.0
61320_199211_pp.txt,w2v,max_minus,u,5,1,5,0.25,0,5,3.4975378935386826e-16,0.0
61320_199211_pp.txt,w2v,max_minus,u,5,1,5,0.5,0,5,3.4975378935386826e-16,0.0
61320_199211_pp.txt,w2v,max_minus,u,5,1,5,0.75,0,5,0.0009113245857752377,0.0015976224391138383
61320_199211_pp.txt,w2v,max_minus,u,5,1,5,1,0,5,0.032344426412996674,0.00454998904750049
61320_199211_pp.txt,w2v,max_minus,u,5,1,10,0,0,5,3.4975378935386826e-16,0.0
61320_199211_pp.txt,w2v,max_minus,u,5,1,10,0.25,0,5,3.4975378935386826e-16,0.0
61320_199211_pp.txt,w2v,max_minus,u,5,1,10,0.5,0,5,3.4975378935386826e-16,0.0
61320_199211_pp.txt,w2v,max_minus,u,5,1,10,0.75,0,5,0.009854243559282633,0.015205136128575575
61320_199211_pp.txt,w2v,max_minus,u,5,1,10,1,0,5,0.03577967059179003,0.005795598653078766
61320_199211_pp.txt,w2v,max_minus,u,5,1,50,0,0,5,0.0046341236918155905,0.0009478508536471972
61320_199211_pp.txt,w2v,max_minus,u,5,1,50,0.25,0,5,0.008701293976554458,0.003110114901526325
61320_199211_pp.txt,w2v,max_minus,u,5,1,50,0.5,0,5,0.01045792068927965,0.004449355730511861
61320_199211_pp.txt,w2v,max_minus,u,5,1,50,0.75,0,5,0.017424704271614126,0.004960074143846829
61320_199211_pp.txt,w2v,max_minus,u,5,1,50,1,0,5,0.04395584569670531,0.003985973908412437
61320_199211_pp.txt,w2v,max_minus,u,5,1,100,0,0,5,0.020723463384624143,0.0032783755152080585
61320_199211_pp.txt,w2v,max_minus,u,5,1,100,0.25,0,5,0.020323425499219047,0.0015726694998089315
61320_199211_pp.txt,w2v,max_minus,u,5,1,100,0.5,0,5,0.023010162375153194,0.0016392644255032308
61320_199211_pp.txt,w2v,max_minus,u,5,1,100,0.75,0,5,0.028631205732787275,0.003552979634192401
61320_199211_pp.txt,w2v,max_minus,u,5,1,100,1,0,5,0.04624361434233387,0.0049601627480459895
61320_199211_pp.txt,w2v,max_minus,u,5,1,200,0,0,5,0.016562572901460036,0.0024795898524810926
61320_199211_pp.txt,w2v,max_minus,u,5,1,200,0.25,0,5,0.020109169994152375,0.003103755771512411
61320_199211_pp.txt,w2v,max_minus,u,5,1,200,0.5,0,5,0.02028072997560924,0.0024952528144341905
61320_199211_pp.txt,w2v,max_minus,u,5,1,200,0.75,0,5,0.023513105145397832,0.0030105438038610026
61320_199211_pp.txt,w2v,max_minus,u,5,1,200,1,0,5,0.0237891206592092,0.002562193678514253
61320_199211_pp.txt,w2v,max_minus,u,5,2,5,0,0,5,3.4975378935386826e-16,0.0
61320_199211_pp.txt,w2v,max_minus,u,5,2,5,0.25,0,5,3.4975378935386826e-16,0.0
61320_199211_pp.txt,w2v,max_minus,u,5,2,5,0.5,0,5,0.029775690317308156,0.004698290436093013
61320_199211_pp.txt,w2v,max_minus,u,5,2,5,0.75,0,5,0.03122865283088631,0.005093606683434677
61320_199211_pp.txt,w2v,max_minus,u,5,2,5,1,0,5,0.05236963609250457,0.007344369635106303
61320_199211_pp.txt,w2v,max_minus,u,5,2,10,0,0,5,3.4975378935386826e-16,0.0
61320_199211_pp.txt,w2v,max_minus,u,5,2,10,0.25,0,5,0.004988490628211994,0.008745209653444662
61320_199211_pp.txt,w2v,max_minus,u,5,2,10,0.5,0,5,0.0310243049285576,0.007227430559837919
61320_199211_pp.txt,w2v,max_minus,u,5,2,10,0.75,0,5,0.035325056847263184,0.004576409409629123
61320_199211_pp.txt,w2v,max_minus,u,5,2,10,1,0,5,0.05464968355530588,0.012950187969311766
61320_199211_pp.txt,w2v,max_minus,u,5,2,50,0,0,5,0.008432695280769984,0.0037480405213538926
61320_199211_pp.txt,w2v,max_minus,u,5,2,50,0.25,0,5,0.011593505248754772,0.0022055878760969838
61320_199211_pp.txt,w2v,max_minus,u,5,2,50,0.5,0,5,0.030482074210044445,0.008521286107924736
61320_199211_pp.txt,w2v,max_minus,u,5,2,50,0.75,0,5,0.062258592381032186,0.011624113971887687
61320_199211_pp.txt,w2v,max_minus,u,5,2,50,1,0,5,0.07926863005606975,0.008650637297409164
61320_199211_pp.txt,w2v,max_minus,u,5,2,100,0,0,5,0.019809841805620926,0.0031390241426841907
61320_199211_pp.txt,w2v,max_minus,u,5,2,100,0.25,0,5,0.022074100213194982,0.0036335968101549885
61320_199211_pp.txt,w2v,max_minus,u,5,2,100,0.5,0,5,0.02717562617333836,0.002162835719889365
61320_199211_pp.txt,w2v,max_minus,u,5,2,100,0.75,0,5,0.0743825727535134,0.014978301613219384
61320_199211_pp.txt,w2v,max_minus,u,5,2,100,1,0,5,0.11688524767294459,0.012830171659413777
61320_199211_pp.txt,w2v,max_minus,u,5,2,200,0,0,5,0.02050860969000008,0.0029852404348652824
61320_199211_pp.txt,w2v,max_minus,u,5,2,200,0.25,0,5,0.01935667117626535,0.0036406805983501015
61320_199211_pp.txt,w2v,max_minus,u,5,2,200,0.5,0,5,0.021899959368305237,0.0034142907814551124
61320_199211_pp.txt,w2v,max_minus,u,5,2,200,0.75,0,5,0.02579129848022822,0.002218782353195089
61320_199211_pp.txt,w2v,max_minus,u,5,2,200,1,0,5,0.05077653600939332,0.014368054128192214
61320_199211_pp.txt,w2v,max_minus,u,5,5,5,0,0,5,0.019939758096443584,0.008987931702444014
61320_199211_pp.txt,w2v,max_minus,u,5,5,5,0.25,0,5,0.030395320244992318,0.0026850969264498787
61320_199211_pp.txt,w2v,max_minus,u,5,5,5,0.5,0,5,0.04562042986306683,0.006510314103035308
61320_199211_pp.txt,w2v,max_minus,u,5,5,5,0.75,0,5,0.03175622731133042,0.009487662356428308
61320_199211_pp.txt,w2v,max_minus,u,5,5,5,1,0,5,0.0332904300802658,0.0032505236224956075
61320_199211_pp.txt,w2v,max_minus,u,5,5,10,0,0,5,0.028830231274064772,0.008753007010789427
61320_199211_pp.txt,w2v,max_minus,u,5,5,10,0.25,0,5,0.03578345367491353,0.006774855970384165
61320_199211_pp.txt,w2v,max_minus,u,5,5,10,0.5,0,5,0.05447569570121571,0.006039275490369282
