input_file,sim_tag,dist_opt,exch_opt,exch_range,alpha,beta,kappa,known_label,n_test,mean_nmi,ci95_nmi
61320_201211_pp.txt,w2v,max_minus,u,10,2,10,0,0,5,1.147306309142153e-16,0.0
61320_201211_pp.txt,w2v,max_minus,u,10,2,10,0.33,0,5,1.147306309142153e-16,0.0
61320_201211_pp.txt,w2v,max_minus,u,10,2,10,0.66,0,5,0.027022050179966683,0.003719496939317298
61320_201211_pp.txt,w2v,max_minus,u,10,2,10,1,0,5,0.028660387358022822,0.004178241940572301
61320_201211_pp.txt,w2v,max_minus,u,10,2,50,0,0,5,0.001990669900782885,0.0003077188318731829
61320_201211_pp.txt,w2v,max_minus,u,10,2,50,0.33,0,5,0.0023380632190731026,0.0003080685318747692
61320_201211_pp.txt,w2v,max_minus,u,10,2,50,0.66,0,5,0.014460352870571735,0.005511290003792254
61320_201211_pp.txt,w2v,max_minus,u,10,2,50,1,0,5,0.061777050145242374,0.005892834790340503
61320_201211_pp.txt,w2v,max_minus,u,10,2,100,0,0,5,0.011679133999880088,0.0022684921099311735
61320_201211_pp.txt,w2v,max_minus,u,10,2,100,0.33,0,5,0.015168860482123531,0.0029049205432011126
61320_201211_pp.txt,w2v,max_minus,u,10,2,100,0.66,0,5,0.021283598048939846,0.004367378152246424
61320_201211_pp.txt,w2v,max_minus,u,10,2,100,1,0,5,0.0881159759047409,0.020854627132225054
61320_201211_pp.txt,w2v,max_minus,u,10,2,200,0,0,5,0.013629132028049575,0.00252005735731327
61320_201211_pp.txt,w2v,max_minus,u,10,2,200,0.33,0,5,0.012407191570686428,0.0012662077195361174
61320_201211_pp.txt,w2v,max_minus,u,10,2,200,0.66,0,5,0.017277712354800655,0.003919729564975063
61320_201211_pp.txt,w2v,max_minus,u,10,2,200,1,0,5,0.02514515084981379,0.004277334834701959
61320_201211_pp.txt,w2v,max_minus,u,10,5,10,0,0,5,0.0022604067183074118,0.003962667693882951
61320_201211_pp.txt,w2v,max_minus,u,10,5,10,0.33,0,5,0.022874493555416195,0.0007994377629243237
61320_201211_pp.txt,w2v,max_minus,u,10,5,10,0.66,0,5,0.023272526128293267,0.0026814956762248893
61320_201211_pp.txt,w2v,max_minus,u,10,5,10,1,0,5,0.021649804280596197,0.002845198098042093
61320_201211_pp.txt,w2v,max_minus,u,10,5,50,0,0,5,0.0024710263040731437,0.0003813799171698055
61320_201211_pp.txt,w2v,max_minus,u,10,5,50,0.33,0,5,0.029513826243051683,0.0034619544258210006
61320_201211_pp.txt,w2v,max_minus,u,10,5,50,0.66,0,5,0.0411536815053827,0.007824369861317498
61320_201211_pp.txt,w2v,max_minus,u,10,5,50,1,0,5,0.02931731120785817,0.005006261069126248
61320_201211_pp.txt,w2v,max_minus,u,10,5,100,0,0,5,0.02042264425733195,0.0028299676686688114
61320_201211_pp.txt,w2v,max_minus,u,10,5,100,0.33,0,5,0.09179309754936106,0.023181718312300266
61320_201211_pp.txt,w2v,max_minus,u,10,5,100,0.66,0,5,0.05816681877784742,0.022522120363513025
61320_201211_pp.txt,w2v,max_minus,u,10,5,100,1,0,5,0.032001571582970456,0.0038343250569088127
61320_201211_pp.txt,w2v,max_minus,u,10,5,200,0,0,5,0.016361463588882578,0.004951254834222823
61320_201211_pp.txt,w2v,max_minus,u,10,5,200,0.33,0,5,0.018798581590405525,0.004795812538115335
61320_201211_pp.txt,w2v,max_minus,u,10,5,200,0.66,0,5,0.07359525051120182,0.026047503688408188
61320_201211_pp.txt,w2v,max_minus,u,10,5,200,1,0,5,0.04332617263017378,0.008442696666479326
61320_201211_pp.txt,w2v,max_minus,u,10,10,10,0,0,5,0.021651745183271166,0.0030020672067505136
61320_201211_pp.txt,w2v,max_minus,u,10,10,10,0.33,0,5,0.024935461303899394,0.0066885632116062
61320_201211_pp.txt,w2v,max_minus,u,10,10,10,0.66,0,5,0.023505604049083757,0.0019672869450709615
61320_201211_pp.txt,w2v,max_minus,u,10,10,10,1,0,5,0.01851086978579631,0.0008956088769920016
61320_201211_pp.txt,w2v,max_minus,u,10,10,50,0,0,5,0.021532536530779342,0.004040863328726442
61320_201211_pp.txt,w2v,max_minus,u,10,10,50,0.33,0,5,0.04085969247730929,0.006043722364226636
61320_201211_pp.txt,w2v,max_minus,u,10,10,50,0.66,0,5,0.02679346824600265,0.0029037201647754605
61320_201211_pp.txt,w2v,max_minus,u,10,10,50,1,0,5,0.02134274769545943,0.002536643978275701
61320_201211_pp.txt,w2v,max_minus,u,10,10,100,0,0,5,0.10416338939565206,0.010306494017829638
61320_201211_pp.txt,w2v,max_minus,u,10,10,100,0.33,0,5,0.0542523748979471,0.009852397441779832
61320_201211_pp.txt,w2v,max_minus,u,10,10,100,0.66,0,5,0.029442061779434432,0.003802739501094774
61320_201211_pp.txt,w2v,max_minus,u,10,10,100,1,0,5,0.021960376257559106,0.004618716329231718
61320_201211_pp.txt,w2v,max_minus,u,10,10,200,0,0,5,0.0240485193070337,0.00718415046981524
61320_201211_pp.txt,w2v,max_minus,u,10,10,200,0.33,0,5,0.08536642073184018,0.01327325134096476
61320_201211_pp.txt,w2v,max_minus,u,10,10,200,0.66,0,5,0.037606098683853735,0.007432284634820471
61320_201211_pp.txt,w2v,max_minus,u,10,10,200,1,0,5,0.019241633457441166,0.0015078655963528347
61320_201211_pp.txt,w2v,max_minus,u,10,30,10,0,0,5,0.02182331007420019,0.0040819949804248926
61320_201211_pp.txt,w2v,max_minus,u,10,30,10,0.33,0,5,0.022563909314656478,0.0032309386575837262
61320_201211_pp.txt,w2v,max_minus,u,10,30,10,0.66,0,5,0.01886812081495346,0.0037204853509763634
61320_201211_pp.txt,w2v,max_minus,u,10,30,10,1,0,5,0.017564295057565134,0.0041014776533603095
61320_201211_pp.txt,w2v,max_minus,u,10,30,50,0,0,5,0.027830705120422555,0.0027972284677620462
61320_201211_pp.txt,w2v,max_minus,u,10,30,50,0.33,0,5,0.023276155665829818,0.0032851351926298103
61320_201211_pp.txt,w2v,max_minus,u,10,30,50,0.66,0,5,0.019416055104387257,0.001242473614551846
61320_201211_pp.txt,w2v,max_minus,u,10,30,50,1,0,5,0.016167863120759324,0.003014296715705304
61320_201211_pp.txt,w2v,max_minus,u,10,30,100,0,0,5,0.03491083555643419,0.0080222878344764
61320_201211_pp.txt,w2v,max_minus,u,10,30,100,0.33,0,5,0.02640281526133682,0.004843699317431724
61320_201211_pp.txt,w2v,max_minus,u,10,30,100,0.66,0,5,0.019133579670504573,0.0014274941374241472
61320_201211_pp.txt,w2v,max_minus,u,10,30,100,1,0,5,0.017700156135607457,0.00219997043427348
61320_201211_pp.txt,w2v,max_minus,u,10,30,200,0,0,5,0.06282546764082385,0.011825247643975422
61320_201211_pp.txt,w2v,max_minus,u,10,30,200,0.33,0,5,0.02350046280605228,0.0034030791338089273
61320_201211_pp.txt,w2v,max_minus,u,10,30,200,0.66,0,5,0.021887024530220938,0.002407581404715354
61320_201211_pp.txt,w2v,max_minus,u,10,30,200,1,0,5,0.01885278987879107,0.0036753309815855113
61320_201211_pp.txt,w2v,max_minus,u,15,2,10,0,0,5,1.147306309142153e-16,0.0
61320_201211_pp.txt,w2v,max_minus,u,15,2,10,0.33,0,5,3.2087044837779776e-05,5.625106974801657e-05
61320_201211_pp.txt,w2v,max_minus,u,15,2,10,0.66,0,5,0.03302319153156684,0.00511062146557634
61320_201211_pp.txt,w2v,max_minus,u,15,2,10,1,0,5,0.042142846569395175,0.009598597569591694
61320_201211_pp.txt,w2v,max_minus,u,15,2,50,0,0,5,0.0025592002187304216,0.0003587293481515132
61320_201211_pp.txt,w2v,max_minus,u,15,2,50,0.33,0,5,0.003023460585747573,0.0015791995891803845
61320_201211_pp.txt,w2v,max_minus,u,15,2,50,0.66,0,5,0.01060786869505861,0.0014041327442531528
