dist,exch_opt,exch_range,alpha,beta,kappa,nmi
minus_log,d,3,0.1,0.1,0,0.0
minus_log,d,3,0.1,0.1,0.3333333333333333,0.0
minus_log,d,3,0.1,0.1,0.6666666666666666,0.0
minus_log,d,3,0.1,0.1,1,0.0
minus_log,d,3,0.1,1,0,0.0
minus_log,d,3,0.1,1,0.3333333333333333,0.0
minus_log,d,3,0.1,1,0.6666666666666666,0.0
minus_log,d,3,0.1,1,1,0.0
minus_log,d,3,0.1,5,0,0.0
minus_log,d,3,0.1,5,0.3333333333333333,0.0
minus_log,d,3,0.1,5,0.6666666666666666,0.0
minus_log,d,3,0.1,5,1,0.0
minus_log,d,3,0.1,10,0,0.0
minus_log,d,3,0.1,10,0.3333333333333333,0.0
minus_log,d,3,0.1,10,0.6666666666666666,0.0
minus_log,d,3,0.1,10,1,0.0
minus_log,d,3,0.1,50,0,0.054174138241540847
minus_log,d,3,0.1,50,0.3333333333333333,0.05419301918026618
minus_log,d,3,0.1,50,0.6666666666666666,0.05451689423545048
minus_log,d,3,0.1,50,1,0.0633117328697507
minus_log,d,3,0.1,100,0,0.053588596488125924
minus_log,d,3,0.1,100,0.3333333333333333,0.053065119644326406
minus_log,d,3,0.1,100,0.6666666666666666,0.05063055934687174
minus_log,d,3,0.1,100,1,0.050663904097740485
minus_log,d,3,0.1,300,0,0.049186499430085316
minus_log,d,3,0.1,300,0.3333333333333333,0.0524983240588646
minus_log,d,3,0.1,300,0.6666666666666666,0.05688532988275644
minus_log,d,3,0.1,300,1,0.04580094689573962
minus_log,d,3,1,0.1,0,0.0
minus_log,d,3,1,0.1,0.3333333333333333,0.0
minus_log,d,3,1,0.1,0.6666666666666666,0.0
minus_log,d,3,1,0.1,1,0.044898484266010175
minus_log,d,3,1,1,0,0.0
minus_log,d,3,1,1,0.3333333333333333,0.0
minus_log,d,3,1,1,0.6666666666666666,0.0
minus_log,d,3,1,1,1,0.06641629581983587
minus_log,d,3,1,5,0,0.0
minus_log,d,3,1,5,0.3333333333333333,0.0
minus_log,d,3,1,5,0.6666666666666666,0.0
minus_log,d,3,1,5,1,0.07404154024745725
minus_log,d,3,1,10,0,0.020781542436255865
minus_log,d,3,1,10,0.3333333333333333,0.09268141814502956
minus_log,d,3,1,10,0.6666666666666666,0.06989277831035268
minus_log,d,3,1,10,1,0.12360247849473939
minus_log,d,3,1,50,0,0.056177675829845175
minus_log,d,3,1,50,0.3333333333333333,0.052821838012991444
minus_log,d,3,1,50,0.6666666666666666,0.06170057996485743
minus_log,d,3,1,50,1,0.06480532134445739
minus_log,d,3,1,100,0,0.05462045536511525
minus_log,d,3,1,100,0.3333333333333333,0.05541287430320312
minus_log,d,3,1,100,0.6666666666666666,0.05610874088825848
minus_log,d,3,1,100,1,0.0575073477199648
minus_log,d,3,1,300,0,0.04955414266065882
minus_log,d,3,1,300,0.3333333333333333,0.05418529334581758
minus_log,d,3,1,300,0.6666666666666666,0.035707945787586064
minus_log,d,3,1,300,1,0.05407866462682393
minus_log,d,3,2,0.1,0,0.0
minus_log,d,3,2,0.1,0.3333333333333333,0.0
minus_log,d,3,2,0.1,0.6666666666666666,0.08352917391621752
minus_log,d,3,2,0.1,1,0.06788405986362446
minus_log,d,3,2,1,0,0.0
minus_log,d,3,2,1,0.3333333333333333,0.0
minus_log,d,3,2,1,0.6666666666666666,0.10805263618183873
minus_log,d,3,2,1,1,0.06990287966471953
minus_log,d,3,2,5,0,0.0
minus_log,d,3,2,5,0.3333333333333333,0.1392364770684105
minus_log,d,3,2,5,0.6666666666666666,0.179260965939272
minus_log,d,3,2,5,1,0.0960746701404197
