dist,exch_opt,exch_range,alpha,beta,kappa,nmi
minus_log,d,3,0.1,0.1,0,1.2821685480551734e-15
minus_log,d,3,0.1,0.1,0.3333333333333333,1.2821685480551734e-15
minus_log,d,3,0.1,0.1,0.6666666666666666,1.2821685480551734e-15
minus_log,d,3,0.1,0.1,1,1.2821685480551734e-15
minus_log,d,3,0.1,1,0,1.2821685480551734e-15
minus_log,d,3,0.1,1,0.3333333333333333,1.2821685480551734e-15
minus_log,d,3,0.1,1,0.6666666666666666,1.2821685480551734e-15
minus_log,d,3,0.1,1,1,1.2821685480551734e-15
minus_log,d,3,0.1,5,0,1.2821685480551734e-15
minus_log,d,3,0.1,5,0.3333333333333333,1.2821685480551734e-15
minus_log,d,3,0.1,5,0.6666666666666666,1.2821685480551734e-15
minus_log,d,3,0.1,5,1,1.2821685480551734e-15
minus_log,d,3,0.1,10,0,1.2821685480551734e-15
minus_log,d,3,0.1,10,0.3333333333333333,1.2821685480551734e-15
minus_log,d,3,0.1,10,0.6666666666666666,1.2821685480551734e-15
minus_log,d,3,0.1,10,1,1.2821685480551734e-15
minus_log,d,3,0.1,50,0,0.05379086195132701
minus_log,d,3,0.1,50,0.3333333333333333,0.05441067885112377
minus_log,d,3,0.1,50,0.6666666666666666,0.05461256545145859
minus_log,d,3,0.1,50,1,0.05577939493162112
minus_log,d,3,0.1,100,0,0.052994431753452385
minus_log,d,3,0.1,100,0.3333333333333333,0.05014931863830424
minus_log,d,3,0.1,100,0.6666666666666666,0.048219336770154345
minus_log,d,3,0.1,100,1,0.05503510945385322
minus_log,d,3,0.1,300,0,0.05360457992765241
minus_log,d,3,0.1,300,0.3333333333333333,0.053706633699021636
minus_log,d,3,0.1,300,0.6666666666666666,0.04884598181005582
minus_log,d,3,0.1,300,1,0.04691035128651213
minus_log,d,3,1,0.1,0,1.2821685480551734e-15
minus_log,d,3,1,0.1,0.3333333333333333,1.2821685480551734e-15
minus_log,d,3,1,0.1,0.6666666666666666,1.2821685480551734e-15
minus_log,d,3,1,0.1,1,0.009216509010334783
minus_log,d,3,1,1,0,1.2821685480551734e-15
minus_log,d,3,1,1,0.3333333333333333,1.2821685480551734e-15
minus_log,d,3,1,1,0.6666666666666666,1.2821685480551734e-15
minus_log,d,3,1,1,1,0.01563324053786141
minus_log,d,3,1,5,0,1.2821685480551734e-15
minus_log,d,3,1,5,0.3333333333333333,1.2821685480551734e-15
minus_log,d,3,1,5,0.6666666666666666,1.2821685480551734e-15
minus_log,d,3,1,5,1,0.006746116767698489
minus_log,d,3,1,10,0,0.0462604155747122
minus_log,d,3,1,10,0.3333333333333333,0.09480726926903134
minus_log,d,3,1,10,0.6666666666666666,0.06383212173350156
minus_log,d,3,1,10,1,0.08244453971528673
minus_log,d,3,1,50,0,0.04746550192629423
minus_log,d,3,1,50,0.3333333333333333,0.05350753077099895
minus_log,d,3,1,50,0.6666666666666666,0.06042166211159117
minus_log,d,3,1,50,1,0.07196541289593941
minus_log,d,3,1,100,0,0.05084764945262304
minus_log,d,3,1,100,0.3333333333333333,0.05717427510387949
minus_log,d,3,1,100,0.6666666666666666,0.054569501290696286
minus_log,d,3,1,100,1,0.05902831607163785
minus_log,d,3,1,300,0,0.05324864509427243
minus_log,d,3,1,300,0.3333333333333333,0.049803969295731165
minus_log,d,3,1,300,0.6666666666666666,0.05044373629306451
minus_log,d,3,1,300,1,0.04954599203963983
minus_log,d,3,2,0.1,0,1.2821685480551734e-15
minus_log,d,3,2,0.1,0.3333333333333333,1.2821685480551734e-15
minus_log,d,3,2,0.1,0.6666666666666666,0.004837221210020692
minus_log,d,3,2,0.1,1,0.002559490066550493
minus_log,d,3,2,1,0,1.2821685480551734e-15
minus_log,d,3,2,1,0.3333333333333333,1.2821685480551734e-15
minus_log,d,3,2,1,0.6666666666666666,0.006914375216849703
minus_log,d,3,2,1,1,0.006107761663906446
minus_log,d,3,2,5,0,1.2821685480551734e-15
minus_log,d,3,2,5,0.3333333333333333,1.2821685480551734e-15
minus_log,d,3,2,5,0.6666666666666666,0.015760359467812634
minus_log,d,3,2,5,1,0.006898218475465251
minus_log,d,3,2,10,0,0.1506586947583594
minus_log,d,3,2,10,0.3333333333333333,0.13589329253106297
minus_log,d,3,2,10,0.6666666666666666,0.03729782886805832
minus_log,d,3,2,10,1,0.012670545137218738
