alpha,beta,kappa,nmi
1,1,0,1.2821685480551734e-15
1,1,0.2,1.2821685480551734e-15
1,1,0.4,1.2821685480551734e-15
1,1,0.6,1.2821685480551734e-15
1,1,0.8,9.604329198906755e-06
1,1,1,0.0023040234216432877
1,10,0,1.2821685480551734e-15
1,10,0.2,1.2821685480551734e-15
1,10,0.4,1.2821685480551734e-15
1,10,0.6,1.2821685480551734e-15
1,10,0.8,6.551913638832368e-05
1,10,1,0.10264670938629505
1,100,0,0.05611697973832166
1,100,0.2,0.054995215430394144
1,100,0.4,0.05493093138703646
1,100,0.6,0.05163408945092466
1,100,0.8,0.047786721451139484
1,100,1,0.055124008622120683
1,500,0,0.04993247979170696
1,500,0.2,0.045173667647639665
1,500,0.4,0.05564301753915791
1,500,0.6,0.04652811782270311
1,500,0.8,0.052071128299868
1,500,1,0.05048255457066389
10,1,0,0.002207006382529617
10,1,0.2,0.0015767999181867368
10,1,0.4,0.0006887768654767683
10,1,0.6,0.002414840341079377
10,1,0.8,0.0012448427839891305
10,1,1,0.0012319594918563572
10,10,0,9.584936485895713e-05
10,10,0.2,0.0029638962671872915
10,10,0.4,0.002246564462541413
10,10,0.6,0.0011173502577846264
10,10,0.8,0.0004777034128624061
10,10,1,0.002264738406514376
10,100,0,0.06478827690171916
10,100,0.2,0.039641262453759256
10,100,0.4,0.07170892683202759
10,100,0.6,0.0048695549237619765
10,100,0.8,0.00959806845472358
10,100,1,0.0047340204223293705
10,500,0,0.06218153351080659
10,500,0.2,0.051222771459947386
10,500,0.4,0.053824688670748314
10,500,0.6,0.05095692673129772
10,500,0.8,0.06409632277361077
10,500,1,0.016053348776408304
100,1,0,0.001677321567324815
100,1,0.2,0.0010245561789293182
100,1,0.4,0.0007976633171741445
100,1,0.6,0.0015066278330769821
100,1,0.8,0.0012586153949041426
100,1,1,0.001341611147634707
100,10,0,0.004239464845823022
100,10,0.2,0.0006039397939036654
100,10,0.4,0.0012333224318425325
100,10,0.6,0.0012773937965062235
100,10,0.8,0.0018377816852613135
100,10,1,0.001238073329247734
100,100,0,0.0018255639723126448
100,100,0.2,0.00035645244364979035
100,100,0.4,0.0007224537524168049
100,100,0.6,0.001975709301331585
100,100,0.8,0.0008039672280280628
100,100,1,0.002014422888361703
100,500,0,0.08187090164441174
100,500,0.2,0.012074685098056938
100,500,0.4,0.0027763224458392513
100,500,0.6,0.00340041206943397
100,500,0.8,0.0049369663329706616
100,500,1,0.0016050576703484528
200,1,0,0.00013827290097912244
200,1,0.2,0.0024595068946498357
200,1,0.4,0.0009097156530770847
200,1,0.6,0.001760361623521967
200,1,0.8,0.00044817453066173306
200,1,1,0.0029884330106222214
200,10,0,0.0017063649308996177
200,10,0.2,0.0008660241774679488
200,10,0.4,0.0023731787706431948
200,10,0.6,0.002020464841724088
200,10,0.8,0.0011394040024011872
200,10,1,1.2821685480551734e-15
200,100,0,0.0015606041254658093
200,100,0.2,0.0008776282089260456
200,100,0.4,0.002121681505463669
200,100,0.6,0.0011232353659425794
200,100,0.8,0.0012843228761451528
200,100,1,1.2821685480551734e-15
200,500,0,0.0026682538581776737
200,500,0.2,0.0018481821946057
200,500,0.4,0.0025822241986254543
200,500,0.6,0.0017661363181764075
200,500,0.8,0.001410772512406207
200,500,1,1.2821685480551734e-15
