dist,exch_opt,exch_range,alpha,beta,kappa,nmi
minus_log,d,3,0.1,0.1,0,0.0
minus_log,d,3,0.1,0.1,0.3333333333333333,0.0003019904613891138
minus_log,d,3,0.1,0.1,0.6666666666666666,2.3577346394332277e-05
minus_log,d,3,0.1,0.1,1,0.0007934630137736525
minus_log,d,3,0.1,1,0,0.0
minus_log,d,3,0.1,1,0.3333333333333333,0.0
minus_log,d,3,0.1,1,0.6666666666666666,0.00044739011892324065
minus_log,d,3,0.1,1,1,0.0009651478548114787
minus_log,d,3,0.1,5,0,0.06921031571105339
minus_log,d,3,0.1,5,0.3333333333333333,0.06683208606581227
minus_log,d,3,0.1,5,0.6666666666666666,0.06319346035856788
minus_log,d,3,0.1,5,1,0.055601850784134176
minus_log,d,3,0.1,10,0,0.07792032054988765
minus_log,d,3,0.1,10,0.3333333333333333,0.07782224676157903
minus_log,d,3,0.1,10,0.6666666666666666,0.07794470783462976
minus_log,d,3,0.1,10,1,0.07507549145192673
minus_log,d,3,0.1,50,0,0.05265645502784014
minus_log,d,3,0.1,50,0.3333333333333333,0.04832221061003511
minus_log,d,3,0.1,50,0.6666666666666666,0.049424713466289696
minus_log,d,3,0.1,50,1,0.04706749604667475
minus_log,d,3,0.1,100,0,0.04661327307159983
minus_log,d,3,0.1,100,0.3333333333333333,0.05140783071150796
minus_log,d,3,0.1,100,0.6666666666666666,0.05181920107029265
minus_log,d,3,0.1,100,1,0.049584469856730526
minus_log,d,3,0.1,300,0,0.0525597385508909
minus_log,d,3,0.1,300,0.3333333333333333,0.05774159304353984
minus_log,d,3,0.1,300,0.6666666666666666,0.051976786434429455
minus_log,d,3,0.1,300,1,0.04488322672163462
minus_log,d,3,1,0.1,0,0.0010453125988536286
minus_log,d,3,1,0.1,0.3333333333333333,0.0003509220773816702
minus_log,d,3,1,0.1,0.6666666666666666,0.0002518475152381389
minus_log,d,3,1,0.1,1,0.0003682847186744492
minus_log,d,3,1,1,0,0.000950804577939342
minus_log,d,3,1,1,0.3333333333333333,0.0002738859540921081
minus_log,d,3,1,1,0.6666666666666666,0.00020272459233716913
minus_log,d,3,1,1,1,0.0011733577541427457
minus_log,d,3,1,5,0,0.014369244621392375
minus_log,d,3,1,5,0.3333333333333333,0.0076076441940147125
minus_log,d,3,1,5,0.6666666666666666,0.005112572123056879
minus_log,d,3,1,5,1,0.0039756396716556265
minus_log,d,3,1,10,0,0.05881899477511075
minus_log,d,3,1,10,0.3333333333333333,0.04207364391952264
minus_log,d,3,1,10,0.6666666666666666,0.02468425756281901
minus_log,d,3,1,10,1,0.009741663682783265
minus_log,d,3,1,50,0,0.048646047054375384
minus_log,d,3,1,50,0.3333333333333333,0.051163303882328745
minus_log,d,3,1,50,0.6666666666666666,0.05047894582419533
minus_log,d,3,1,50,1,0.043393713393462506
minus_log,d,3,1,100,0,0.051852470550008085
minus_log,d,3,1,100,0.3333333333333333,0.050700211857794886
minus_log,d,3,1,100,0.6666666666666666,0.05005667920649898
minus_log,d,3,1,100,1,0.043918066156335506
minus_log,d,3,1,300,0,0.04997753845868303
minus_log,d,3,1,300,0.3333333333333333,0.0524704209880053
minus_log,d,3,1,300,0.6666666666666666,0.05252259593215271
minus_log,d,3,1,300,1,0.05038940621657116
minus_log,d,3,2,0.1,0,0.0002976569959513005
minus_log,d,3,2,0.1,0.3333333333333333,0.0003093222598152095
minus_log,d,3,2,0.1,0.6666666666666666,0.0003792551452268214
minus_log,d,3,2,0.1,1,0.0006238460178748625
minus_log,d,3,2,1,0,0.00037402311835973685
minus_log,d,3,2,1,0.3333333333333333,0.0002648439393322948
minus_log,d,3,2,1,0.6666666666666666,0.000537823439494462
minus_log,d,3,2,1,1,0.0002657133420860691
minus_log,d,3,2,5,0,0.0028938769578494153
minus_log,d,3,2,5,0.3333333333333333,0.0016767471163025055
minus_log,d,3,2,5,0.6666666666666666,0.0011249777465812212
minus_log,d,3,2,5,1,0.00039786865714904255
minus_log,d,3,2,10,0,0.03176763588852505
minus_log,d,3,2,10,0.3333333333333333,0.016838243687132045
minus_log,d,3,2,10,0.6666666666666666,0.004899693061460118
minus_log,d,3,2,10,1,0.0011336846951376764
minus_log,d,3,2,50,0,0.0510060209829772
minus_log,d,3,2,50,0.3333333333333333,0.04916146140312555
minus_log,d,3,2,50,0.6666666666666666,0.041506365544090956
minus_log,d,3,2,50,1,0.028585770614792932
minus_log,d,3,2,100,0,0.050032414171389344
minus_log,d,3,2,100,0.3333333333333333,0.04658725799405604
minus_log,d,3,2,100,0.6666666666666666,0.048412938387840554
minus_log,d,3,2,100,1,0.045051510684229634
minus_log,d,3,2,300,0,0.052651169733878886
minus_log,d,3,2,300,0.3333333333333333,0.045690410123450494
minus_log,d,3,2,300,0.6666666666666666,0.0492056143697249
minus_log,d,3,2,300,1,0.053793753558675064
minus_log,d,3,5,0.1,0,0.0004347652692528892
minus_log,d,3,5,0.1,0.3333333333333333,0.0005936987904810725
minus_log,d,3,5,0.1,0.6666666666666666,0.00063051561844375
minus_log,d,3,5,0.1,1,0.0003322408100253877
minus_log,d,3,5,1,0,3.673373494519872e-05
minus_log,d,3,5,1,0.3333333333333333,0.00035464041565442806
minus_log,d,3,5,1,0.6666666666666666,0.0007047822262944436
minus_log,d,3,5,1,1,0.00041587962780213
minus_log,d,3,5,5,0,0.00025651083518041413
minus_log,d,3,5,5,0.3333333333333333,0.0004434276810363458
minus_log,d,3,5,5,0.6666666666666666,0.0005022602992360472
minus_log,d,3,5,5,1,0.0007431685322756552
minus_log,d,3,5,10,0,9.849875688459712e-05
minus_log,d,3,5,10,0.3333333333333333,0.0002404105884381024
minus_log,d,3,5,10,0.6666666666666666,0.00024271202258940744
minus_log,d,3,5,10,1,0.0009165486729522058
minus_log,d,3,5,50,0,0.042745616787304874
minus_log,d,3,5,50,0.3333333333333333,0.02927489165819076
minus_log,d,3,5,50,0.6666666666666666,0.02653241022957548
minus_log,d,3,5,50,1,0.0020042847715927826
minus_log,d,3,5,100,0,0.04588278563684826
minus_log,d,3,5,100,0.3333333333333333,0.047599347348074805
minus_log,d,3,5,100,0.6666666666666666,0.02777059040568318
minus_log,d,3,5,100,1,0.02485007648678146
