token,id,G1,G2,G3,G4,G5
animal,1,4.821620997388092e-06,6.640404010565299e-12,1.1938717830941467e-12,1.9761888819995728e-07,0.9999949807522801
farm,2,5.069949959481622e-08,6.324663191612233e-13,7.165179058374678e-14,3.764030127813688e-07,0.9999995728967834
chapter,3,0.9997587771158498,1.4246403328961515e-10,6.573089087705671e-12,0.0002411344862200108,8.824889307151825e-08
manor,4,1.908297896838847e-09,3.136139616945399e-08,0.9999999594461726,1.1834475860219622e-10,7.165788603020613e-09
farm,5,0.9998252181772926,5.915035138405489e-10,2.1718409920454774e-10,0.00016642541394032312,8.355600079388119e-06
hen,6,4.5178193575721154e-11,0.9999999918722233,7.464109684212322e-09,2.7081360594117423e-11,5.91407564683465e-10
night,7,8.347817293513096e-11,2.430504145670929e-11,1.5065751179338013e-11,1.7273398063433292e-05,0.9999827264790876
ring,8,0.9988493310748519,1.0595677276249292e-05,4.8076733310188995e-06,0.0009135614419623454,0.0002217041325785257
light,9,1.218667238912212e-10,1.654789528960125e-07,0.999999799327284,3.262478942984703e-09,3.180941742321039e-08
lantern,10,0.03234214421519378,1.8794530193530438e-08,7.884367210244493e-10,0.9676543998821847,3.436319654620463e-06
side,11,7.234588351945752e-05,1.4927662496676405e-09,2.182908839803492e-10,0.9999276521078704,2.9755298516753616e-10
side,12,0.004702650071307391,5.2133508749931715e-08,1.850965839008995e-08,2.3136304241314366e-06,0.9952949656551013
yard,13,0.019252971361418764,4.056841217058671e-07,4.160143099828419e-07,1.539264131915811e-05,0.9807308142988304
boot,14,0.10415926923019173,2.2683038973038765e-06,2.750069588020436e-06,4.3813204479765574e-05,0.8957918991918432
back,15,1.278210423137847e-05,2.08845771975729e-09,4.294282019569162e-09,0.999987211511122,1.9069133783083443e-12
door,16,1.4644953497959284e-09,0.9999993473376763,7.192983462786672e-09,6.217975101799136e-07,2.2207334619779863e-08
glass,17,1.1867585767912985e-11,3.082608366418238e-08,0.9999999678954309,1.180533220143e-09,8.608457014612279e-11
beer,18,1.8933836638040525e-12,3.266078088951206e-08,0.9999999671869682,1.4146733361241015e-10,8.890270858451627e-12
barrel,19,1.5805946238566174e-12,0.9999999810168934,1.8786463289949826e-08,1.8785992587519143e-10,7.202854634208404e-12
scullery,20,1.89106077243709e-05,1.2535926496925788e-08,5.647647333727398e-08,0.9999810203474886,3.238713945534758e-11
way,21,0.0016085341772470454,5.151850915204486e-09,2.1900555931557097e-08,2.1675079036873266e-08,0.9983914170952671
bed,22,0.06621983990820997,1.6234073377476354e-06,9.067290967192804e-06,7.63828889802492e-08,0.9337693930105961
light,23,5.600370060195933e-12,0.999999968859753,2.805896702921884e-08,3.0530643222322445e-09,2.2615120559486357e-11
bedroom,24,1.6484424546917344e-10,3.0153725999921617e-09,0.9999999813829459,1.4229466201641566e-08,1.2073709949852693e-09
stirring,25,0.03271590597435025,1.0445579423881145e-05,4.845241280877038e-05,0.9672251931192591,2.914157865176391e-09
farm,26,1.1458331725310397e-08,1.46741099752383e-12,4.568808037543742e-12,5.706018921322162e-09,0.9999999828296131
building,27,1.9757911146925756e-06,0.9999394535834802,7.171572897261206e-08,2.1504206564543258e-05,3.699470311168491e-05
word,28,0.008199616682888294,2.255855367160348e-06,1.8243005516268294e-05,0.9917798822527282,2.2035001673458113e-09
day,29,4.3144585466222295e-10,3.552037111201084e-09,0.9999999290928545,5.961703517375107e-08,7.306627390049837e-09
major,30,1.1149593244028209e-06,0.9990818275263952,4.818814613395043e-08,0.0009035764657815212,1.3432860352716381e-05
prize,31,0.006771017497207758,9.44142428733283e-09,3.451207647286071e-08,3.874076535844978e-08,0.9932288998085261
dream,32,0.004866158021022938,3.304961147436536e-09,1.838755509876041e-08,1.9211493690487902e-08,0.9951338010749672
night,33,0.05924173348955759,2.596175901120697e-10,9.337469262055525e-10,0.9407578778560476,3.8746103033197575e-07
animal,34,5.815061235995624e-10,1.0208421271244961e-13,4.358601138913435e-13,2.700916026716466e-06,0.9999972985019292
barn,35,0.010783118215925452,2.7700719304232873e-10,1.2171217973791738e-09,0.9892168208114627,5.9478482916561825e-08
way,36,0.0002517516149452135,4.551754326203651e-12,6.843661697717571e-11,3.7076911775459074e-11,0.9997482482749895
major,37,1.9398397440512914e-05,0.9870657991456117,2.0635420834583424e-07,0.009182538991020039,0.0037320571117194236
name,38,0.0010859447435347812,2.385846396453857e-07,1.0854619931042519e-06,0.9989127272012055,4.008627015032567e-09
beauty,39,0.0033811462170746055,1.1646150962936875e-07,1.4416254492287583e-07,1.5204993630256676e-08,0.9966185779538773
farm,40,0.9272359681286847,2.304963308708058e-09,9.642335669538289e-10,0.07272990305407806,3.4125548040332594e-05
