token,id,G1,G2,G3,G4,G5
animal,1,nan,nan,nan,nan,nan
farm,2,nan,nan,nan,nan,nan
chapter,3,nan,nan,nan,nan,nan
manor,4,nan,nan,nan,nan,nan
farm,5,nan,nan,nan,nan,nan
hen,6,nan,nan,nan,nan,nan
night,7,nan,nan,nan,nan,nan
ring,8,nan,nan,nan,nan,nan
light,9,nan,nan,nan,nan,nan
lantern,10,nan,nan,nan,nan,nan
side,11,nan,nan,nan,nan,nan
side,12,nan,nan,nan,nan,nan
yard,13,nan,nan,nan,nan,nan
boot,14,nan,nan,nan,nan,nan
back,15,nan,nan,nan,nan,nan
door,16,nan,nan,nan,nan,nan
glass,17,nan,nan,nan,nan,nan
beer,18,nan,nan,nan,nan,nan
barrel,19,nan,nan,nan,nan,nan
scullery,20,nan,nan,nan,nan,nan
way,21,nan,nan,nan,nan,nan
bed,22,nan,nan,nan,nan,nan
light,23,nan,nan,nan,nan,nan
bedroom,24,nan,nan,nan,nan,nan
stirring,25,nan,nan,nan,nan,nan
farm,26,nan,nan,nan,nan,nan
building,27,nan,nan,nan,nan,nan
word,28,nan,nan,nan,nan,nan
day,29,nan,nan,nan,nan,nan
major,30,nan,nan,nan,nan,nan
prize,31,nan,nan,nan,nan,nan
dream,32,nan,nan,nan,nan,nan
night,33,nan,nan,nan,nan,nan
animal,34,nan,nan,nan,nan,nan
barn,35,nan,nan,nan,nan,nan
way,36,nan,nan,nan,nan,nan
major,37,nan,nan,nan,nan,nan
name,38,nan,nan,nan,nan,nan
beauty,39,nan,nan,nan,nan,nan
farm,40,nan,nan,nan,nan,nan
hour,41,nan,nan,nan,nan,nan
sleep,42,nan,nan,nan,nan,nan
order,43,nan,nan,nan,nan,nan
end,44,nan,nan,nan,nan,nan
barn,45,nan,nan,nan,nan,nan
platform,46,nan,nan,nan,nan,nan
major,47,nan,nan,nan,nan,nan
bed,48,nan,nan,nan,nan,nan
straw,49,nan,nan,nan,nan,nan
lantern,50,nan,nan,nan,nan,nan
beam,51,nan,nan,nan,nan,nan
year,52,nan,nan,nan,nan,nan
appearance,53,nan,nan,nan,nan,nan
fact,54,nan,nan,nan,nan,nan
animal,55,nan,nan,nan,nan,nan
dog,56,nan,nan,nan,nan,nan
straw,57,nan,nan,nan,nan,nan
front,58,nan,nan,nan,nan,nan
platform,59,nan,nan,nan,nan,nan
hen,60,nan,nan,nan,nan,nan
window,61,nan,nan,nan,nan,nan
pigeon,62,nan,nan,nan,nan,nan
rafter,63,nan,nan,nan,nan,nan
sheep,64,nan,nan,nan,nan,nan
cow,65,nan,nan,nan,nan,nan
cud,66,nan,nan,nan,nan,nan
cart,67,nan,nan,nan,nan,nan
boxer,68,nan,nan,nan,nan,nan
clover,69,nan,nan,nan,nan,nan
hoof,70,nan,nan,nan,nan,nan
care,71,nan,nan,nan,nan,nan
animal,72,nan,nan,nan,nan,nan
straw,73,nan,nan,nan,nan,nan
clover,74,nan,nan,nan,nan,nan
