Input file: Animal_farm_nouns.txt | Similarity tag: wesim | Exchange matrix option: d | Exchange matrix range: 5 | Number of groups: 3 | Gamma: 2 | Beta: 0.4 | Kappa: 0.7 | Convergence threshold: 1e-05
group;token;id_token;percent
1;death;6156;99.92
1;death;5330;99.92
1;life;202;99.92
1;life;203;99.92
1;life;197;99.92
1;life;192;99.92
1;life;221;99.92
1;desperation;6150;99.92
1;morning;2192;99.92
1;morning;2212;99.92
1;work;2191;99.92
1;work;2197;99.92
1;work;1373;99.92
1;squealer;5946;99.92
1;squealer;5322;99.92
1;squealer;5936;99.92
1;squealer;5933;99.92
1;happiness;216;99.92
1;affair;1868;99.92
1;squealer;5294;99.92
1;story;1863;99.92
1;evening;5331;99.92
1;truth;5926;99.92
1;misfortune;5952;99.92
1;morning;5333;99.92
1;brother;6155;99.92
1;hour;5945;99.92
1;hour;1375;99.92
1;mollie;2190;99.92
1;mollie;2224;99.92
1;mollie;2225;99.92
1;mollie;2205;99.92
1;mollie;2232;99.92
1;mollie;5960;99.92
1;retirement;5927;99.92
1;him;5298;99.92
1;something;2203;99.92
1;something;2211;99.92
1;comrade;200;99.92
1;comrade;5949;99.92
1;comrade;5303;99.92
1;comrade;5325;99.92
1;way;2222;99.92
1;comrade;5964;99.92
1;ambush;2165;99.92
1;breath;206;99.92
1;news;5302;99.92
1;news;5937;99.92
1;cry;5305;99.92
1;battle;2182;99.92
1;drinking;5328;99.92
1;battle;2163;99.92
1;cannibalism;1855;99.92
1;drinking;2198;99.92
1;battle;2161;99.92
1;rumour;2202;99.92
1;rumour;1864;99.92
1;rumour;5316;99.92
1;appetite;2194;99.92
1;behaviour;1371;99.92
1;face;2227;99.92
1;face;2234;99.92
1;lamentation;5306;99.92
1;poison;5318;99.92
1;distress;5951;99.92
1;cruelty;212;99.92
1;throat;291;99.92
1;squealer;5334;99.92
1;year;218;99.92
1;year;2178;99.92
1;year;287;99.92
1;anniversary;2181;99.92
1;anniversary;2186;99.92
1;nature;201;99.92
1;misery;223;99.92
1;nature;196;99.92
1;day;2204;99.92
1;day;2185;99.92
1;thought;194;99.92
1;nature;1860;99.92
1;oclock;5321;99.92
1;help;5931;99.92
1;pain;2193;99.92
1;rebellion;2187;99.92
1;recapture;1932;99.92
1;moment;2235;99.92
1;wisdom;191;99.92
1;year;1870;99.92
1;companion;5930;99.92
1;piece;5301;99.92
1;piece;2176;99.92
1;month;189;99.92
1;time;193;99.92
1;thought;2238;99.92
1;duty;190;99.92
1;time;5929;99.92
1;oclock;5293;99.92
1;stop;6154;99.92
1;body;207;99.92
1;van;6153;99.92
1;october;2180;99.92
1;laborious;204;99.92
1;usefulness;210;99.92
1;sympathy;5947;99.92
1;thousand;284;99.92
1;drumming;6148;99.92
1;honour;2229;99.92
1;men;2219;99.92
1;reflection;2200;99.92
1;alcohol;5329;99.92
1;announcement;5323;99.92
1;boxer;5940;99.92
1;boxer;5956;99.92
1;pace;6159;99.92
1;hand;1931;99.92
1;pilkington;1862;99.92
1;hospital;5957;99.92
1;worker;5953;99.92
1;nose;2223;99.92
1;leader;5315;99.92
1;nose;2231;99.92
1;enemy;292;99.92
1;discussion;2160;99.92
1;door;5308;99.92
1;tiptoe;5311;99.92
1;eye;5313;99.92
1;eye;5296;99.92
1;brute;6157;99.92
1;female;1857;99.92
1;hand;5965;99.92
1;gun;2168;99.92
1;gun;2173;99.92
1;jones;2167;99.92
1;pretext;2196;99.92
1;stalk;2208;99.92
1;boxer;6160;99.92
1;midsummer;2184;99.92
1;law;1859;99.92
1;gun;1930;99.92
1;end;2162;99.92
1;end;211;99.92
1;benjamin;5939;99.92
1;benjamin;5928;99.92
1;man;2230;99.92
1;hoof;6149;99.92
1;hoof;1370;99.92
1;end;1376;99.92
1;mr;2166;99.92
1;mr;2217;99.92
1;face;6161;99.92
1;side;2220;99.92
1;one;5314;99.92
1;strength;209;99.92
1;jones;1929;99.92
1;appearance;5299;99.92
1;leisure;217;99.92
1;appearance;5295;99.92
1;ear;6158;99.92
1;act;5324;99.92
1;once;2179;99.92
1;calf;289;99.92
1;times;1378;99.92
1;concern;5948;99.92
1;frederick;1861;99.92
1;willingdon;5958;99.92
1;earth;198;99.92
1;fly;5942;99.92
1;stall;195;99.92
1;arrangement;5955;99.92
1;tear;5312;99.92
