token,id,G1,G2,G3,G4,G5
animal,1,0.9999999944331143,3.216603772778875e-12,1.174411264645665e-09,4.38411679254318e-09,5.141081950872462e-12
farm,2,1.0615621905258752e-09,3.004690738400708e-12,4.597368747428564e-09,0.9999999942636714,7.439309080205202e-11
george,3,2.424723025544326e-05,0.002301480749962035,8.55429332765817e-08,5.870637932182408e-05,0.9976154800975274
orwell,4,0.2400105849438409,0.0007529505574009079,2.8024906229312534e-06,0.0005394917397863914,0.7586941702683488
chapter,5,5.465670451776589e-07,0.012079823711621819,0.98791773778495,6.476791895470694e-07,1.2442571935336792e-06
mr,6,0.0005053258234963232,0.0009615645047905196,0.9984415523904119,9.150363048210804e-05,5.3650819078105815e-08
jones,7,0.00018796772488320303,0.003437736266750229,1.9367524567211754e-08,1.8218294984443208e-05,0.9963560583458575
manor,8,1.0833918443809524e-07,0.0001567922457288048,0.011188984229335225,0.9699259285386255,0.0187281866471261
farm,9,0.9999999999236788,1.155044542950682e-12,5.1493005329568903e-11,1.67665360946578e-11,6.906655488336231e-12
hen,10,4.4960120852157106e-07,2.329683941902438e-07,5.219209764276973e-06,0.9999940099906238,8.82300092664468e-08
houses,11,9.285796881618928e-06,0.02027673771768723,0.4343687255512866,0.5349436387620916,0.01040161217205313
night,12,7.249100869466034e-06,5.5669094412353046e-08,0.9974418049562063,2.3823119611097173e-07,0.0025506520426338106
pop,13,0.003970153174187858,0.994154548824075,2.997476832587686e-07,0.0002858505909244132,0.0015891476631295252
holes,14,0.15414682252951326,0.7183689161195679,1.4923927863482849e-06,0.12735780858441254,0.00012496037372004937
ring,15,9.678750061228852e-06,1.2936742644787325e-09,0.9999650743811515,2.1634050379237057e-05,3.6115247336789184e-06
light,16,1.2779343778117205e-06,0.9999067738426846,1.5691591784258196e-07,8.717159011506905e-06,8.307414800828888e-05
lantern,17,0.00024120905839986176,2.3415546108763564e-06,0.9990017239159783,0.00073809379293394,1.663167807690088e-05
side,18,3.647530048634538e-07,4.438420236379198e-08,0.9999675232898155,8.168691740686804e-06,2.389888123660788e-05
side,19,8.353977859990146e-07,0.9998862480261023,5.280185446699076e-08,5.274657094735471e-05,6.0117203309936825e-05
yard,20,4.532132578657209e-05,4.529764856956627e-09,0.9948850028033528,0.004980510521950292,8.916081914547971e-05
boot,21,0.0028021661974910357,0.0014443541795088795,0.9957477782726263,3.225609757236515e-09,5.698124764253796e-06
back,22,0.00032368588388941656,0.888887739587997,1.3962688391484611e-05,0.09442569646658673,0.016348915373135296
door,23,0.007128499184562904,0.002127086708382575,1.8522434844031214e-07,0.9907049053369882,3.9323545717914064e-05
glass,24,0.005429184543381451,0.00011541431923110039,0.9944470139604141,1.1236787615063644e-09,8.38605329452648e-06
beer,25,2.176132549525217e-08,1.1104056504636738e-05,0.0005624152495630846,0.9994192697642559,7.1891683509292895e-06
barrel,26,8.461906798325889e-06,2.498630674600105e-05,5.479711265360366e-06,0.9999599453515257,1.126723664679983e-06
scullery,27,0.9774581599236717,7.529105270861551e-06,0.02253326182796863,2.3839802850225808e-08,1.0253032860116927e-06
way,28,3.705051730396594e-05,0.9810469649021168,4.259696714383404e-07,0.00042452715245813966,0.01849103145844976
bed,29,7.296829244186835e-06,0.00032713255064026987,0.9994309423074624,0.00021294440810052016,2.1683904552750223e-05
mr,30,1.599749099672717e-05,1.2202585266584885e-09,0.9994543873757998,2.7062544905387247e-05,0.0005025513680394862
jones,31,5.055704864670829e-06,0.9906611480681752,2.8102240505880235e-07,1.1281006372303851e-05,0.009322234198182873
light,32,4.671812637095386e-06,0.9996385044733903,1.2977727156680625e-07,7.592599466489739e-05,0.0002807679420361336
bedroom,33,0.0001424700054759959,1.2227072618514442e-06,0.9717695008579121,0.0277033100564888,0.00038349637286125694
stirring,34,3.622141570254347e-06,5.635045302005149e-06,0.953750319687406,7.264384706418514e-05,0.04616777927865768
farm,35,0.9999984999422439,1.3689214045192376e-06,3.71369730731499e-08,3.8777802344933946e-08,5.5221576328207016e-08
building,36,0.00019925319033484395,8.539809996102449e-07,0.0009138681032684898,0.022621459297160113,0.9762645654282369
word,37,3.1834383508435134e-06,0.9994782842131659,0.0004730566425332664,4.545733243169098e-05,1.8373518262694694e-08
day,38,3.5512789073483055e-09,0.9999437304453771,5.618895512841414e-05,3.4881684695904925e-08,4.216653102522954e-08
major,39,4.986568577681146e-09,2.8636742345053943e-08,0.00010133952451772396,2.944490595200874e-08,0.9998985974072654
prize,40,1.6969242960442933e-06,2.4727626486429688e-08,0.0003049279369324921,3.35833781458641e-06,0.9996899920733304
middle,41,0.0002285023865300913,0.9921534141028878,0.006459444647718909,0.0011586114034031288,2.7459460092099873e-08
white,42,0.808998082352363,0.15153215667103023,0.012532952715883486,1.0377913183898182e-08,0.026936797882809976
boar,43,1.1764909248645288e-08,5.213203799801629e-07,9.7453355013602e-08,0.9999991956874784,1.7377387725905122e-07
dream,44,6.601667112536207e-05,8.297154228901588e-08,0.01612236708950505,8.195687597054136e-06,0.9838033375802302
night,45,3.651628757261305e-05,0.9952142109974816,0.004739749059061753,9.290777051400446e-06,2.328788325945158e-07
animal,46,2.3303481545919367e-08,1.371100067351902e-09,3.4639008286320677e-10,0.9999999576284015,1.7350626573081754e-08
barn,47,0.9999996125019699,1.2894485983300655e-08,1.7192207430580205e-08,4.574110146170289e-09,3.5283722669416036e-07
mr,48,0.0033167768952485047,0.9168684312869365,0.07444575819251172,0.005357978288166964,1.1055337136150318e-05
jones,49,8.562143041073417e-06,0.9858003308879223,0.014162194967323618,2.618882961175609e-05,2.7231721011776134e-06
way,50,2.964208069715909e-08,3.9984661416537436e-08,0.00039697860932441285,1.8524791297559012e-07,0.9996027665160205
