token,id,G1,G2,G3,G4,G5
remember,1,nan,nan,nan,nan,nan
communicate,2,nan,nan,nan,nan,nan
meet,3,nan,nan,nan,nan,nan
lose,4,nan,nan,nan,nan,nan
hear,5,nan,nan,nan,nan,nan
cut,6,nan,nan,nan,nan,nan
arrive,7,nan,nan,nan,nan,nan
make,8,nan,nan,nan,nan,nan
chew,9,nan,nan,nan,nan,nan
be,10,nan,nan,nan,nan,nan
put,11,nan,nan,nan,nan,nan
make,12,nan,nan,nan,nan,nan
keep,13,nan,nan,nan,nan,nan
have,14,nan,nan,nan,nan,nan
saw,15,nan,nan,nan,nan,nan
laugh,16,nan,nan,nan,nan,nan
find,17,nan,nan,nan,nan,nan
be,18,nan,nan,nan,nan,nan
fell,19,nan,nan,nan,nan,nan
saw,20,nan,nan,nan,nan,nan
have,21,nan,nan,nan,nan,nan
come,22,nan,nan,nan,nan,nan
have,23,nan,nan,nan,nan,nan
think,24,nan,nan,nan,nan,nan
be,25,nan,nan,nan,nan,nan
die,26,nan,nan,nan,nan,nan
feel,27,nan,nan,nan,nan,nan
have,28,nan,nan,nan,nan,nan
have,29,nan,nan,nan,nan,nan
have,30,nan,nan,nan,nan,nan
think,31,nan,nan,nan,nan,nan
understand,32,nan,nan,nan,nan,nan
wish,33,nan,nan,nan,nan,nan
let,34,nan,nan,nan,nan,nan
keep,35,nan,nan,nan,nan,nan
work,36,nan,nan,nan,nan,nan
come,37,nan,nan,nan,nan,nan
know,38,nan,nan,nan,nan,nan
afford,39,nan,nan,nan,nan,nan
dwell,40,nan,nan,nan,nan,nan
support,41,nan,nan,nan,nan,nan
continue,42,nan,nan,nan,nan,nan
have,43,nan,nan,nan,nan,nan
remove,44,nan,nan,nan,nan,nan
give,45,nan,nan,nan,nan,nan
pull,46,nan,nan,nan,nan,nan
run,47,nan,nan,nan,nan,nan
catch,48,nan,nan,nan,nan,nan
work,49,nan,nan,nan,nan,nan
give,50,nan,nan,nan,nan,nan
prevent,51,nan,nan,nan,nan,nan
keep,52,nan,nan,nan,nan,nan
till,53,nan,nan,nan,nan,nan
see,54,nan,nan,nan,nan,nan
have,55,nan,nan,nan,nan,nan
have,56,nan,nan,nan,nan,nan
have,57,nan,nan,nan,nan,nan
have,58,nan,nan,nan,nan,nan
bring,59,nan,nan,nan,nan,nan
bore,60,nan,nan,nan,nan,nan
have,61,nan,nan,nan,nan,nan
see,62,nan,nan,nan,nan,nan
have,63,nan,nan,nan,nan,nan
lead,64,nan,nan,nan,nan,nan
reach,65,nan,nan,nan,nan,nan
grumble,66,nan,nan,nan,nan,nan
have,67,nan,nan,nan,nan,nan
escape,68,nan,nan,nan,nan,nan
come,69,nan,nan,nan,nan,nan
have,70,nan,nan,nan,nan,nan
lose,71,nan,nan,nan,nan,nan
sell,72,nan,nan,nan,nan,nan
cut,73,nan,nan,nan,nan,nan
boil,74,nan,nan,nan,nan,nan
tie,75,nan,nan,nan,nan,nan
get,76,nan,nan,nan,nan,nan
rid,77,nan,nan,nan,nan,nan
be,78,nan,nan,nan,nan,nan
become,79,nan,nan,nan,nan,nan
know,80,nan,nan,nan,nan,nan
come,81,nan,nan,nan,nan,nan
be,82,nan,nan,nan,nan,nan
know,83,nan,nan,nan,nan,nan
see,84,nan,nan,nan,nan,nan
be,85,nan,nan,nan,nan,nan
fix,86,nan,nan,nan,nan,nan
come,87,nan,nan,nan,nan,nan
carry,88,nan,nan,nan,nan,nan
remember,89,nan,nan,nan,nan,nan
falter,90,nan,nan,nan,nan,nan
lead,91,nan,nan,nan,nan,nan
listen,92,nan,nan,nan,nan,nan
tell,93,nan,nan,nan,nan,nan
have,94,nan,nan,nan,nan,nan
let,95,nan,nan,nan,nan,nan
be,96,nan,nan,nan,nan,nan
be,97,nan,nan,nan,nan,nan
let,98,nan,nan,nan,nan,nan
put,99,nan,nan,nan,nan,nan
propose,100,nan,nan,nan,nan,nan
have,101,nan,nan,nan,nan,nan
have,102,nan,nan,nan,nan,nan
repeat,103,nan,nan,nan,nan,nan
remember,104,nan,nan,nan,nan,nan
remember,105,nan,nan,nan,nan,nan
come,106,nan,nan,nan,nan,nan
resemble,107,nan,nan,nan,nan,nan
have,108,nan,nan,nan,nan,nan
adopt,109,nan,nan,nan,nan,nan
sleep,110,nan,nan,nan,nan,nan
wear,111,nan,nan,nan,nan,nan
drink,112,nan,nan,nan,nan,nan
smoke,113,nan,nan,nan,nan,nan
touch,114,nan,nan,nan,nan,nan
kill,115,nan,nan,nan,nan,nan
tell,116,nan,nan,nan,nan,nan
describe,117,nan,nan,nan,nan,nan
be,118,nan,nan,nan,nan,nan
sing,119,nan,nan,nan,nan,nan
have,120,nan,nan,nan,nan,nan
sing,121,nan,nan,nan,nan,nan
have,122,nan,nan,nan,nan,nan
sing,123,nan,nan,nan,nan,nan
sing,124,nan,nan,nan,nan,nan
be,125,nan,nan,nan,nan,nan
be,126,nan,nan,nan,nan,nan
spur,127,nan,nan,nan,nan,nan
crack,128,nan,nan,nan,nan,nan
hay,129,nan,nan,nan,nan,nan
be,130,nan,nan,nan,nan,nan
blow,131,nan,nan,nan,nan,nan
die,132,nan,nan,nan,nan,nan
spread,133,nan,nan,nan,nan,nan
burst,134,nan,nan,nan,nan,nan
have,135,nan,nan,nan,nan,nan
let,136,nan,nan,nan,nan,nan
fly,137,nan,nan,nan,nan,nan
know,138,nan,nan,nan,nan,nan
take,139,nan,nan,nan,nan,nan
be,140,nan,nan,nan,nan,nan
saw,141,nan,nan,nan,nan,nan
fell,142,nan,nan,nan,nan,nan
have,143,nan,nan,nan,nan,nan
turn,144,nan,nan,nan,nan,nan
feed,145,nan,nan,nan,nan,nan
starve,146,nan,nan,nan,nan,nan
care,147,nan,nan,nan,nan,nan
happen,148,nan,nan,nan,nan,nan
make,149,nan,nan,nan,nan,nan
work,150,nan,nan,nan,nan,nan
see,151,nan,nan,nan,nan,nan
be,152,nan,nan,nan,nan,nan
have,153,nan,nan,nan,nan,nan
have,154,nan,nan,nan,nan,nan
be,155,nan,nan,nan,nan,nan
wear,156,nan,nan,nan,nan,nan
understand,157,nan,nan,nan,nan,nan
sound,158,nan,nan,nan,nan,nan
put,159,nan,nan,nan,nan,nan
know,160,nan,nan,nan,nan,nan
argue,161,nan,nan,nan,nan,nan
become,162,nan,nan,nan,nan,nan
lounge,163,nan,nan,nan,nan,nan
come,164,nan,nan,nan,nan,nan
feed,165,nan,nan,nan,nan,nan
sleep,166,nan,nan,nan,nan,nan
stand,167,nan,nan,nan,nan,nan
store,168,nan,nan,nan,nan,nan
shed,169,nan,nan,nan,nan,nan
help,170,nan,nan,nan,nan,nan
store,171,nan,nan,nan,nan,nan
shed,172,nan,nan,nan,nan,nan
bear,173,nan,nan,nan,nan,nan
defend,174,nan,nan,nan,nan,nan
saw,175,nan,nan,nan,nan,nan
believe,176,nan,nan,nan,nan,nan
gallop,177,nan,nan,nan,nan,nan
make,178,nan,nan,nan,nan,nan
wipe,179,nan,nan,nan,nan,nan
saw,180,nan,nan,nan,nan,nan
