Input file: The_WW_of_Oz_all.txt | Similarity tag: wesim | Neighbourhood range: 20 | Number of groups: 5 | Alpha: 1 | Beta: 10 | Kappa: 1 | Convergence threshold: 1e-05
group;token;id_token;percent
1;made;3213;98.85
1;is;1460;98.8
1;great;10201;98.65
1;great;11173;98.64
1;entirely;11520;98.64
1;so;8468;98.63
1;were;1031;98.63
1;went;5463;98.63
1;tear;12973;98.63
1;sent;16393;98.63
1;away;17221;98.62
1;neck;6792;98.62
1;tried;10649;98.62
1;been;2025;98.62
1;nothing;17989;98.62
1;had;13148;98.61
1;did;8055;98.61
1;pleased;3212;98.61
1;say;8469;98.61
1;sun;856;98.61
1;star;854;98.61
1;cross;17213;98.6
1;men;858;98.6
1;sure;8276;98.6
1;quite;19243;98.6
1;west;1454;98.6
1;drawn;7908;98.6
1;deep;6437;98.6
1;covered;11519;98.6
1;fierce;19109;98.59
1;wolf;11174;98.59
1;led;6648;98.59
1;seen;10324;98.59
1;hand;14340;98.59
1;plum;6338;98.59
1;year;14000;98.59
1;munchkins;2183;98.58
1;sunshine;4620;98.58
1;carried;16705;98.58
1;said;10824;98.58
1;caught;10645;98.58
1;little;1058;98.58
1;have;6800;98.58
1;had;4764;98.58
1;scarecrow;10207;98.58
1;long;19245;98.58
1;drawer;16091;98.58
1;said;10198;98.57
1;replied;13851;98.57
1;know;6797;98.57
1;none;2447;98.57
1;said;6445;98.57
1;city;6650;98.57
1;body;19266;98.57
1;lovely;10325;98.56
1;traveller;18883;98.56
1;squirrel;3520;98.56
1;tin;7904;98.56
1;grass;8143;98.56
1;henry;20431;98.56
1;sit;7906;98.56
1;cottage;3464;98.55
1;scarecrow;13310;98.55
1;dorothy;13147;98.55
1;change;17833;98.55
1;emerald;6649;98.54
1;sleep;8693;98.54
1;lion;4743;98.54
1;get;16189;98.53
1;solemn;249;98.53
1;having;4088;98.53
1;man;16188;98.52
1;trouble;14406;98.51
1;scarecrow;2358;98.51
1;spoke;251;98.51
1;went;10914;98.51
1;scarecrow;2448;98.51
1;sharp;4741;98.51
1;uncle;227;98.5
