token,id,G1,G2,G3,G4,G5
chapter,1,nan,nan,nan,nan,nan
midst,2,nan,nan,nan,nan,nan
prairie,3,nan,nan,nan,nan,nan
uncle,4,nan,nan,nan,nan,nan
henry,5,nan,nan,nan,nan,nan
farmer,6,nan,nan,nan,nan,nan
aunt,7,nan,nan,nan,nan,nan
em,8,nan,nan,nan,nan,nan
farmer,9,nan,nan,nan,nan,nan
wife,10,nan,nan,nan,nan,nan
house,11,nan,nan,nan,nan,nan
lumber,12,nan,nan,nan,nan,nan
wagon,13,nan,nan,nan,nan,nan
mile,14,nan,nan,nan,nan,nan
wall,15,nan,nan,nan,nan,nan
floor,16,nan,nan,nan,nan,nan
roof,17,nan,nan,nan,nan,nan
room,18,nan,nan,nan,nan,nan
room,19,nan,nan,nan,nan,nan
cooking,20,nan,nan,nan,nan,nan
stove,21,nan,nan,nan,nan,nan
cupboard,22,nan,nan,nan,nan,nan
dish,23,nan,nan,nan,nan,nan
table,24,nan,nan,nan,nan,nan
chair,25,nan,nan,nan,nan,nan
bed,26,nan,nan,nan,nan,nan
uncle,27,nan,nan,nan,nan,nan
henry,28,nan,nan,nan,nan,nan
aunt,29,nan,nan,nan,nan,nan
em,30,nan,nan,nan,nan,nan
bed,31,nan,nan,nan,nan,nan
corner,32,nan,nan,nan,nan,nan
bed,33,nan,nan,nan,nan,nan
corner,34,nan,nan,nan,nan,nan
hole,35,nan,nan,nan,nan,nan
cyclone,36,nan,nan,nan,nan,nan
family,37,nan,nan,nan,nan,nan
case,38,nan,nan,nan,nan,nan
whirlwind,39,nan,nan,nan,nan,nan
building,40,nan,nan,nan,nan,nan
trap,41,nan,nan,nan,nan,nan
door,42,nan,nan,nan,nan,nan
floor,43,nan,nan,nan,nan,nan
ladder,44,nan,nan,nan,nan,nan
hole,45,nan,nan,nan,nan,nan
doorway,46,nan,nan,nan,nan,nan
nothing,47,nan,nan,nan,nan,nan
prairie,48,nan,nan,nan,nan,nan
side,49,nan,nan,nan,nan,nan
tree,50,nan,nan,nan,nan,nan
house,51,nan,nan,nan,nan,nan
sweep,52,nan,nan,nan,nan,nan
edge,53,nan,nan,nan,nan,nan
sky,54,nan,nan,nan,nan,nan
direction,55,nan,nan,nan,nan,nan
sun,56,nan,nan,nan,nan,nan
land,57,nan,nan,nan,nan,nan
mass,58,nan,nan,nan,nan,nan
crack,59,nan,nan,nan,nan,nan
grass,60,nan,nan,nan,nan,nan
sun,61,nan,nan,nan,nan,nan
top,62,nan,nan,nan,nan,nan
blade,63,nan,nan,nan,nan,nan
color,64,nan,nan,nan,nan,nan
house,65,nan,nan,nan,nan,nan
sun,66,nan,nan,nan,nan,nan
paint,67,nan,nan,nan,nan,nan
rain,68,nan,nan,nan,nan,nan
house,69,nan,nan,nan,nan,nan
aunt,70,nan,nan,nan,nan,nan
em,71,nan,nan,nan,nan,nan
wife,72,nan,nan,nan,nan,nan
sun,73,nan,nan,nan,nan,nan
wind,74,nan,nan,nan,nan,nan
sparkle,75,nan,nan,nan,nan,nan
