token,id,G1,G2,G3
chapter,1,0.014373317275160108,0.96717249672387,0.01845418600096997
i,2,0.01451662690365769,0.9668957548726345,0.018587618223707775
dorothy,3,0.014767969711588653,0.9663563703766842,0.018875659911727266
midst,4,0.015193245296893459,0.9655787094620134,0.019228045241093124
kansa,5,0.016420572263944975,0.9634190405150234,0.020160387221031764
prairie,6,0.019025483687778223,0.9588428732513172,0.02213164306090444
uncle,7,0.02576408456469365,0.9477368466151441,0.026499068820162244
henry,8,0.04146495241756075,0.9242219224637193,0.03431312511871991
farmer,9,0.08431320936278386,0.8667716372426116,0.04891515339460444
aunt,10,0.20217465242075155,0.7274053378953562,0.07042000968389237
em,11,0.44187419634122915,0.47568353963668125,0.0824422640220896
farmer,12,0.7075820128031192,0.22404755353943223,0.06837043365744856
wife,13,0.8613877003965119,0.09302017580391798,0.04559212379957017
house,14,0.9239655196404782,0.045349515848152736,0.0306849645113689
lumber,15,0.9498076929168633,0.027505021748428404,0.022687285334708287
wagon,16,0.961190204792035,0.02013884117315039,0.018670954034814627
mile,17,0.9660677715018305,0.017131693840237508,0.016800534657931923
wall,18,0.9684190784071767,0.015775946347644388,0.015804975245178907
floor,19,0.9694762563056667,0.015122208713340198,0.015401534980993076
roof,20,0.9699236033516851,0.014889749539553758,0.015186647108761
room,21,0.9702089707258842,0.014705628803759314,0.015085400470356582
room,22,0.9703122177665802,0.014650510936653696,0.015037271296766196
cooking,23,0.9704537894999854,0.014593434160997395,0.014952776339017093
stove,24,0.9704347327562859,0.014628172225798654,0.014937095017915642
cupboard,25,0.9706018196290762,0.014502591865749054,0.014895588505174624
dish,26,0.9704113395917978,0.014615517284803911,0.014973143123398449
table,27,0.9704227092864648,0.01461010261566564,0.014967188097869498
chair,28,0.9706628696576629,0.0144908284483437,0.014846301893993266
bed,29,0.9705221913785821,0.014561884615017244,0.014915924006400537
uncle,30,0.9706580496240258,0.014470471299400035,0.014871479076574228
henry,31,0.9705458103585916,0.014562574416040669,0.014891615225367773
aunt,32,0.9706667859628554,0.014437711226263373,0.014895502810881386
em,33,0.9705400749967357,0.014560312186246423,0.014899612817017972
bed,34,0.9705114229745825,0.014567650851000438,0.014920926174416947
corner,35,0.9703584218783396,0.014691683592404197,0.01494989452925624
dorothy,36,0.9704829450100728,0.014546338291781293,0.01497071669814593
bed,37,0.9704972254645634,0.014575195001488362,0.014927579533948208
corner,38,0.9703456361050906,0.014698515779708664,0.014955848115200693
garret,39,0.970414517125481,0.014616739075679721,0.014968743798839144
cellar,40,0.9703354238006564,0.01464055698015783,0.015024019219185634
hole,41,0.9704308199670533,0.014648666883285637,0.014920513149661125
ground,42,0.9703189545180183,0.014713294759836706,0.014967750722145031
cyclone,43,0.9702807734860455,0.014732939164195569,0.014986287349758959
cellar,44,0.9701657770379379,0.014730295397167945,0.015103927564894192
family,45,0.970040742938808,0.014804206959468241,0.015155050101723772
case,46,0.9696817580131637,0.015032387549552691,0.015285854437283633
whirlwind,47,0.9686190764624116,0.01565280941318997,0.015728114124398458
building,48,0.9659464063031434,0.01717938083476889,0.016874212862087574
path,49,0.960966001655643,0.020330749502705966,0.018703248841650925
trap,50,0.950275230833322,0.027263197012744364,0.022461572153933563
