token,id,G1,G2,G3,G4,G5
chapter,1,1.0696764658714563e-39,5.463986433751196e-22,6.189430968564314e-40,0.9999908419004147,9.158099585271572e-06
midst,2,7.440357887891938e-07,3.439632282985603e-37,0.9999992559642112,2.3172600833694455e-36,3.654589547776224e-34
prairie,3,0.9999999472459503,7.555929115810516e-35,5.275404976392617e-08,3.278369531747589e-34,3.393197151014864e-33
uncle,4,2.412763211526619e-40,2.6986153680985984e-19,1.5212163874339838e-40,0.9999986676588968,1.3323411032200544e-06
henry,5,1.7053013676793026e-06,1.5619844308300405e-30,0.9999982946986323,2.0877632228008774e-34,3.518162496323923e-33
farmer,6,3.1974773519676446e-31,0.9999999999945917,9.935836487013514e-32,1.0726176723818405e-12,4.335728380493923e-12
aunt,7,2.95950762901246e-33,0.999999999999912,8.356389662036327e-34,1.6878283582495403e-14,7.121434094143729e-14
em,8,5.3736092422395865e-43,2.2926082648490054e-14,1.3547181422610504e-43,0.999995438416413,4.56158356389828e-06
farmer,9,1.4303346126296513e-30,0.9999999999077042,3.822057751633021e-31,1.6866843216506734e-11,7.542908432380291e-11
wife,10,2.0442273522543093e-06,3.8372293776454107e-31,0.9999979557726477,2.190553199975929e-33,2.0410560241727824e-32
house,11,1.4093004981986823e-07,3.224615202398614e-16,1.2892581141694713e-07,0.9999997287948347,1.3493037304647491e-09
lumber,12,0.49064922318319176,3.768941441023753e-05,0.0002337054674013288,0.50907827490495,1.1070300465883147e-06
wagon,13,5.742130502766811e-33,1.372606574567937e-16,1.2560701404333447e-32,2.51421397602951e-09,0.9999999974857859
mile,14,5.851193285209821e-39,1.8687931501404483e-22,1.730334857497461e-38,0.9999999982286439,1.7713560765743341e-09
wall,15,5.002088208669041e-07,3.850903567756525e-33,0.9999994997911792,5.533364034071791e-32,4.3095767127460714e-32
floor,16,0.9999996850146353,3.465169501695284e-32,3.149853646235518e-07,2.51273243810891e-31,5.742708388811386e-32
roof,17,9.721538478137217e-20,2.7152085241827204e-09,6.706371405018909e-19,0.9856264693101207,0.014373527974671002
room,18,1.712408887449678e-39,5.185472161176997e-21,7.43139914273358e-39,0.9999999970906845,2.909315426617069e-09
room,19,6.693993484333762e-37,2.9668541659555874e-19,1.2367241250867315e-36,4.108344928415247e-09,0.999999995891655
cooking,20,1.489496725562334e-36,5.90129244975193e-20,1.0025891363418356e-36,0.9999999929309747,7.069025236235916e-09
stove,21,8.687968233313496e-41,4.2228249807763284e-24,2.431376360444213e-41,0.9999999939088735,6.091126474436125e-09
cupboard,22,3.942615289509792e-06,2.5516971296202326e-35,0.9999960573847104,6.068777846559796e-31,3.95977367557147e-31
dish,23,7.32765943923247e-35,1.5217332881626058e-16,1.4375849821526674e-35,4.809443992993387e-11,0.9999999999519055
table,24,2.2449814555354886e-27,3.4765719875823695e-06,5.987611557058916e-28,0.9999958257691723,6.976588401020898e-07
chair,25,1.4800307755573467e-42,1.252367519811292e-24,4.957160538909919e-43,0.9999999683961975,3.160380243223989e-08
bed,26,1.0867698188375733e-30,5.421169638459217e-15,3.11252156543706e-31,0.9999999905404842,9.459510410699543e-09
uncle,27,1.484884802182472e-41,5.3613241826242514e-21,2.836703342725407e-42,5.47988657152602e-10,0.9999999994520113
henry,28,4.194330975713769e-06,1.1138831153009653e-31,0.9999958056690242,2.505882141012938e-31,1.3762108626124803e-31
aunt,29,6.847688871808304e-30,0.9999999951548748,1.5864406449330426e-30,3.484572408371651e-09,1.3605528198839622e-09
em,30,6.946327610158368e-45,3.753933348505375e-18,2.910173185059924e-45,0.9999993056565404,6.943434596070469e-07
bed,31,3.14853450181016e-30,4.873963727519641e-09,2.758646444848739e-30,0.9999999750595554,2.006648089713082e-08
corner,32,9.564250642657803e-32,0.9999999993911507,1.2673744356961017e-31,5.005488955579622e-10,1.0830041031818178e-10
bed,33,2.6323260873500083e-28,1.1500746905451463e-06,4.178222110097402e-28,2.0542227395979825e-09,0.9999988478710866
corner,34,9.541159943285912e-31,0.9999999928726109,1.3027375532154688e-30,4.979313428185107e-09,2.148075845068188e-09
hole,35,2.7716335613414433e-42,3.49738809135204e-19,2.579622829371363e-42,0.9999995586168523,4.4138314768911475e-07
cyclone,36,2.608333640904201e-33,7.867528407658965e-17,1.5797716064385773e-33,0.9999999692954814,3.0704518423769877e-08
family,37,1.3359539439518412e-32,5.714290235062106e-15,6.352451764127612e-33,0.999999445942347,5.540576472586686e-07
case,38,1.0234890025688677e-06,2.829414720672989e-30,0.9999989765109975,1.7873149827379967e-26,2.854973773047148e-26
whirlwind,39,4.797276270183052e-43,2.404157821954627e-23,1.5327823960681508e-42,6.080049024306793e-11,0.9999999999391994
building,40,1.8902297651346846e-21,6.96283622796905e-05,5.259047196364439e-20,0.9999293183501806,1.0532875398116479e-06
trap,41,0.99999276449075,2.1489134229243646e-30,7.235509249943063e-06,3.4123875796165186e-26,2.082457933493948e-26
door,42,1.171090546646283e-07,9.13964408884281e-19,8.43683643774405e-05,0.9999155077684084,6.758159436439053e-09
floor,43,0.9999724773730309,1.588634717900862e-34,2.7522626969120855e-05,7.276852899435139e-32,4.075654756500156e-30
ladder,44,2.4977561793638504e-39,6.89699469286789e-22,5.232038658901457e-37,0.9999950064776209,4.993522379082302e-06
hole,45,6.545001325155956e-40,7.5224530482763895e-22,2.4700532844702467e-38,0.9999881254932669,1.1874506733031704e-05
doorway,46,0.9999997409171701,9.242722956233867e-35,2.5908282991424454e-07,4.608881983641076e-32,7.32034930463768e-31
