token,id,G1,G2,G3,G4,G5
be,1,nan,nan,nan,nan,nan
see,2,nan,nan,nan,nan,nan
be,3,nan,nan,nan,nan,nan
press,4,nan,nan,nan,nan,nan
find,5,nan,nan,nan,nan,nan
laugh,6,nan,nan,nan,nan,nan
know,7,nan,nan,nan,nan,nan
laugh,8,nan,nan,nan,nan,nan
see,9,nan,nan,nan,nan,nan
saw,10,nan,nan,nan,nan,nan
look,11,nan,nan,nan,nan,nan
run,12,nan,nan,nan,nan,nan
get,13,nan,nan,nan,nan,nan
follow,14,nan,nan,nan,nan,nan
felt,15,nan,nan,nan,nan,nan
felt,16,nan,nan,nan,nan,nan
see,17,nan,nan,nan,nan,nan
happen,18,nan,nan,nan,nan,nan
fell,19,nan,nan,nan,nan,nan
saw,20,nan,nan,nan,nan,nan
fall,21,nan,nan,nan,nan,nan
happen,22,nan,nan,nan,nan,nan
felt,23,nan,nan,nan,nan,nan
be,24,nan,nan,nan,nan,nan
fell,25,nan,nan,nan,nan,nan
wait,26,nan,nan,nan,nan,nan
see,27,nan,nan,nan,nan,nan
bring,28,nan,nan,nan,nan,nan
fell,29,nan,nan,nan,nan,nan
have,30,nan,nan,nan,nan,nan
hurt,31,nan,nan,nan,nan,nan
catch,32,nan,nan,nan,nan,nan
wonder,33,nan,nan,nan,nan,nan
put,34,nan,nan,nan,nan,nan
saw,35,nan,nan,nan,nan,nan
come,36,nan,nan,nan,nan,nan
mean,37,nan,nan,nan,nan,nan
answer,38,nan,nan,nan,nan,nan
be,39,nan,nan,nan,nan,nan
have,40,nan,nan,nan,nan,nan
see,41,nan,nan,nan,nan,nan
have,42,nan,nan,nan,nan,nan
be,43,nan,nan,nan,nan,nan
saw,44,nan,nan,nan,nan,nan
love,45,nan,nan,nan,nan,nan
have,46,nan,nan,nan,nan,nan
know,47,nan,nan,nan,nan,nan
be,48,nan,nan,nan,nan,nan
have,49,nan,nan,nan,nan,nan
think,50,nan,nan,nan,nan,nan
know,51,nan,nan,nan,nan,nan
have,52,nan,nan,nan,nan,nan
account,53,nan,nan,nan,nan,nan
believe,54,nan,nan,nan,nan,nan
see,55,nan,nan,nan,nan,nan
cut,56,nan,nan,nan,nan,nan
have,57,nan,nan,nan,nan,nan
ask,58,nan,nan,nan,nan,nan
laugh,59,nan,nan,nan,nan,nan
have,60,nan,nan,nan,nan,nan
wear,61,nan,nan,nan,nan,nan
get,62,nan,nan,nan,nan,nan
worry,63,nan,nan,nan,nan,nan
help,64,nan,nan,nan,nan,nan
find,65,nan,nan,nan,nan,nan
have,66,nan,nan,nan,nan,nan
make,67,nan,nan,nan,nan,nan
surround,68,nan,nan,nan,nan,nan
have,69,nan,nan,nan,nan,nan
sob,70,nan,nan,nan,nan,nan
felt,71,nan,nan,nan,nan,nan
grieve,72,nan,nan,nan,nan,nan
let,73,nan,nan,nan,nan,nan
read,74,nan,nan,nan,nan,nan
help,75,nan,nan,nan,nan,nan
have,76,nan,nan,nan,nan,nan
get,77,nan,nan,nan,nan,nan
walk,78,nan,nan,nan,nan,nan
use,79,nan,nan,nan,nan,nan
know,80,nan,nan,nan,nan,nan
keep,81,nan,nan,nan,nan,nan
look,82,nan,nan,nan,nan,nan
give,83,nan,nan,nan,nan,nan
injure,84,nan,nan,nan,nan,nan
miss,85,nan,nan,nan,nan,nan
get,86,nan,nan,nan,nan,nan
be,87,nan,nan,nan,nan,nan
ask,88,nan,nan,nan,nan,nan
help,89,nan,nan,nan,nan,nan
be,90,nan,nan,nan,nan,nan
disappear,91,nan,nan,nan,nan,nan
feel,92,nan,nan,nan,nan,nan
cut,93,nan,nan,nan,nan,nan
spread,94,nan,nan,nan,nan,nan
bark,95,nan,nan,nan,nan,nan
get,96,nan,nan,nan,nan,nan
saw,97,nan,nan,nan,nan,nan
help,98,nan,nan,nan,nan,nan
be,99,nan,nan,nan,nan,nan
show,100,nan,nan,nan,nan,nan
saw,101,nan,nan,nan,nan,nan
wonder,102,nan,nan,nan,nan,nan
be,103,nan,nan,nan,nan,nan
take,104,nan,nan,nan,nan,nan
wear,105,nan,nan,nan,nan,nan
come,106,nan,nan,nan,nan,nan
ask,107,nan,nan,nan,nan,nan
get,108,nan,nan,nan,nan,nan
put,109,nan,nan,nan,nan,nan
take,110,nan,nan,nan,nan,nan
find,111,nan,nan,nan,nan,nan
feel,112,nan,nan,nan,nan,nan
think,113,nan,nan,nan,nan,nan
see,114,nan,nan,nan,nan,nan
raise,115,nan,nan,nan,nan,nan
look,116,nan,nan,nan,nan,nan
bow,117,nan,nan,nan,nan,nan
wonder,118,nan,nan,nan,nan,nan
eat,119,nan,nan,nan,nan,nan
dance,120,nan,nan,nan,nan,nan
saw,121,nan,nan,nan,nan,nan
be,122,nan,nan,nan,nan,nan
wear,123,nan,nan,nan,nan,nan
have,124,nan,nan,nan,nan,nan
have,125,nan,nan,nan,nan,nan
wear,126,nan,nan,nan,nan,nan
wear,127,nan,nan,nan,nan,nan
know,128,nan,nan,nan,nan,nan
know,129,nan,nan,nan,nan,nan
think,130,nan,nan,nan,nan,nan
come,131,nan,nan,nan,nan,nan
know,132,nan,nan,nan,nan,nan
have,133,nan,nan,nan,nan,nan
keep,134,nan,nan,nan,nan,nan
have,135,nan,nan,nan,nan,nan
take,136,nan,nan,nan,nan,nan
reach,137,nan,nan,nan,nan,nan
help,138,nan,nan,nan,nan,nan
get,139,nan,nan,nan,nan,nan
turn,140,nan,nan,nan,nan,nan
stop,141,nan,nan,nan,nan,nan
rest,142,nan,nan,nan,nan,nan
saw,143,nan,nan,nan,nan,nan
keep,144,nan,nan,nan,nan,nan
represent,145,nan,nan,nan,nan,nan
see,146,nan,nan,nan,nan,nan
wink,147,nan,nan,nan,nan,nan
have,148,nan,nan,nan,nan,nan
thank,149,nan,nan,nan,nan,nan
get,150,nan,nan,nan,nan,nan
take,151,nan,nan,nan,nan,nan
be,152,nan,nan,nan,nan,nan
thank,153,nan,nan,nan,nan,nan
feel,154,nan,nan,nan,nan,nan
hear,155,nan,nan,nan,nan,nan
see,156,nan,nan,nan,nan,nan
bow,157,nan,nan,nan,nan,nan
walk,158,nan,nan,nan,nan,nan
ask,159,nan,nan,nan,nan,nan
send,160,nan,nan,nan,nan,nan
know,161,nan,nan,nan,nan,nan
know,162,nan,nan,nan,nan,nan
see,163,nan,nan,nan,nan,nan
have,164,nan,nan,nan,nan,nan
think,165,nan,nan,nan,nan,nan
give,166,nan,nan,nan,nan,nan
come,167,nan,nan,nan,nan,nan
give,168,nan,nan,nan,nan,nan
be,169,nan,nan,nan,nan,nan
see,170,nan,nan,nan,nan,nan
mind,171,nan,nan,nan,nan,nan
get,172,nan,nan,nan,nan,nan
hurt,173,nan,nan,nan,nan,nan
feel,174,nan,nan,nan,nan,nan
stay,175,nan,nan,nan,nan,nan
know,176,nan,nan,nan,nan,nan
understand,177,nan,nan,nan,nan,nan
feel,178,nan,nan,nan,nan,nan
come,179,nan,nan,nan,nan,nan
