input_file,label_ratio,sim_tag,n_groups,n_tests,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,mean_nmi
corpora/manifesto_pp/61320_199211_pp_wostw.txt,0,w2v,7,4,max_minus,u,5,1,5,0,5.832218850964727e-16
corpora/manifesto_pp/61320_199211_pp_wostw.txt,0,w2v,7,4,max_minus,u,5,1,5,0.25,5.832218850964727e-16
corpora/manifesto_pp/61320_199211_pp_wostw.txt,0,w2v,7,4,max_minus,u,5,1,5,0.5,5.832218850964727e-16
corpora/manifesto_pp/61320_199211_pp_wostw.txt,0,w2v,7,4,max_minus,u,5,1,5,0.75,0.006893851595241014
corpora/manifesto_pp/61320_199211_pp_wostw.txt,0,w2v,7,4,max_minus,u,5,1,5,1,0.03447855913033827
corpora/manifesto_pp/61320_199211_pp_wostw.txt,0,w2v,7,4,max_minus,u,5,1,10,0,5.832218850964727e-16
corpora/manifesto_pp/61320_199211_pp_wostw.txt,0,w2v,7,4,max_minus,u,5,1,10,0.25,5.832218850964727e-16
corpora/manifesto_pp/61320_199211_pp_wostw.txt,0,w2v,7,4,max_minus,u,5,1,10,0.5,5.832218850964727e-16
corpora/manifesto_pp/61320_199211_pp_wostw.txt,0,w2v,7,4,max_minus,u,5,1,10,0.75,0.007702568832689566
corpora/manifesto_pp/61320_199211_pp_wostw.txt,0,w2v,7,4,max_minus,u,5,1,10,1,0.03588938797122136
corpora/manifesto_pp/61320_199211_pp_wostw.txt,0,w2v,7,4,max_minus,u,5,1,50,0,0.012389216996353104
corpora/manifesto_pp/61320_199211_pp_wostw.txt,0,w2v,7,4,max_minus,u,5,1,50,0.25,0.014496491049006716
corpora/manifesto_pp/61320_199211_pp_wostw.txt,0,w2v,7,4,max_minus,u,5,1,50,0.5,0.014123224635494688
corpora/manifesto_pp/61320_199211_pp_wostw.txt,0,w2v,7,4,max_minus,u,5,1,50,0.75,0.025971830233596397
corpora/manifesto_pp/61320_199211_pp_wostw.txt,0,w2v,7,4,max_minus,u,5,1,50,1,0.05131938755220052
corpora/manifesto_pp/61320_199211_pp_wostw.txt,0,w2v,7,4,max_minus,u,5,1,100,0,0.0226655835339976
corpora/manifesto_pp/61320_199211_pp_wostw.txt,0,w2v,7,4,max_minus,u,5,1,100,0.25,0.025683149885619087
corpora/manifesto_pp/61320_199211_pp_wostw.txt,0,w2v,7,4,max_minus,u,5,1,100,0.5,0.029328836698987715
corpora/manifesto_pp/61320_199211_pp_wostw.txt,0,w2v,7,4,max_minus,u,5,1,100,0.75,0.035472955301213444
