file,n_token,n_type,n_sent,n_groups,mean_seq_len,mean_seq_sent_len
100_pp_wostw.txt,5026,2266,107,15,314.125,6.6875
10_pp_wostw.txt,1985,1059,46,11,180.45454545454547,4.181818181818182
11_pp_wostw.txt,3422,1698,76,11,311.09090909090907,6.909090909090909
12_pp_wostw.txt,4844,1989,96,13,372.61538461538464,7.384615384615385
13_pp_wostw.txt,4690,2115,76,13,360.7692307692308,5.846153846153846
14_pp_wostw.txt,1737,1069,46,12,144.75,3.8333333333333335
15_pp_wostw.txt,1257,703,42,7,179.57142857142858,6.0
16_pp_wostw.txt,4625,1989,81,16,289.0625,5.0625
17_pp_wostw.txt,3879,1788,77,13,298.38461538461536,5.923076923076923
18_pp_wostw.txt,2057,1139,41,11,187.0,3.727272727272727
19_pp_wostw.txt,3344,1600,83,11,304.0,7.545454545454546
1_pp_wostw.txt,3049,1581,69,10,304.9,6.9
20_pp_wostw.txt,2816,1385,63,14,201.14285714285714,4.5
21_pp_wostw.txt,873,552,32,10,87.3,3.2
22_pp_wostw.txt,5439,2363,101,11,494.45454545454544,9.181818181818182
23_pp_wostw.txt,4749,2183,103,11,431.72727272727275,9.363636363636363
24_pp_wostw.txt,443,302,13,7,63.285714285714285,1.8571428571428572
25_pp_wostw.txt,4388,1917,81,11,398.90909090909093,7.363636363636363
26_pp_wostw.txt,4445,2057,105,13,341.9230769230769,8.076923076923077
27_pp_wostw.txt,3301,1670,59,15,220.06666666666666,3.933333333333333
28_pp_wostw.txt,3544,1783,79,15,221.5,4.9375
29_pp_wostw.txt,2605,1266,64,13,173.66666666666666,4.266666666666667
2_pp_wostw.txt,3582,1728,69,15,210.7058823529412,4.0588235294117645
30_pp_wostw.txt,5597,2255,99,13,399.7857142857143,7.071428571428571
31_pp_wostw.txt,3395,1685,75,14,242.5,5.357142857142857
32_pp_wostw.txt,6565,2829,163,14,468.92857142857144,11.642857142857142
33_pp_wostw.txt,4219,2088,92,14,281.26666666666665,6.133333333333334
34_pp_wostw.txt,4893,2378,88,14,326.2,5.866666666666666
35_pp_wostw.txt,3202,1476,59,10,320.2,5.9
36_pp_wostw.txt,2273,1137,69,16,126.27777777777777,3.8333333333333335
37_pp_wostw.txt,2404,1371,60,16,150.25,3.75
38_pp_wostw.txt,2791,1444,39,11,253.72727272727272,3.5454545454545454
39_pp_wostw.txt,3468,1770,58,15,231.2,3.8666666666666667
3_pp_wostw.txt,2904,1587,55,14,207.42857142857142,3.9285714285714284
40_pp_wostw.txt,2565,1299,47,15,171.0,3.1333333333333333
41_pp_wostw.txt,3327,1660,79,16,207.9375,4.9375
42_pp_wostw.txt,2591,1274,42,13,199.30769230769232,3.230769230769231
43_pp_wostw.txt,895,567,34,9,99.44444444444444,3.7777777777777777
44_pp_wostw.txt,3006,1588,68,14,214.71428571428572,4.857142857142857
45_pp_wostw.txt,751,506,17,8,93.875,2.125
46_pp_wostw.txt,3285,1492,88,13,252.69230769230768,6.769230769230769
