file,n_token,n_type,n_sent,n_groups,mean_seq_len,mean_seq_sent_len
10037144_pp_wostw.txt,496,325,33,7,70.85714285714286,4.714285714285714
1057453_pp_wostw.txt,362,240,37,6,60.333333333333336,6.166666666666667
10648433_pp_wostw.txt,219,133,23,3,73.0,7.666666666666667
1064845_pp_wostw.txt,336,264,26,4,84.0,6.5
109461_pp_wostw.txt,155,88,22,3,51.666666666666664,7.333333333333333
111174_pp_wostw.txt,538,327,53,4,134.5,13.25
1198312_pp_wostw.txt,196,149,16,4,49.0,4.0
123319_pp_wostw.txt,276,137,40,5,55.2,8.0
12720971_pp_wostw.txt,216,142,15,3,72.0,5.0
1276536_pp_wostw.txt,984,449,97,7,140.57142857142858,13.857142857142858
149766_pp_wostw.txt,644,370,50,10,64.4,5.0
1928841_pp_wostw.txt,715,458,66,6,119.16666666666667,11.0
2025011_pp_wostw.txt,606,417,40,8,75.75,5.0
2070518_pp_wostw.txt,3839,1574,385,59,65.0677966101695,6.52542372881356
2640796_pp_wostw.txt,454,283,43,6,75.66666666666667,7.166666666666667
2651177_pp_wostw.txt,228,135,18,4,57.0,4.5
28187_pp_wostw.txt,2175,880,170,19,114.47368421052632,8.947368421052632
2842974_pp_wostw.txt,291,188,35,9,32.333333333333336,3.888888888888889
2917712_pp_wostw.txt,1559,632,132,6,259.8333333333333,22.0
2952485_pp_wostw.txt,885,599,69,6,147.5,11.5
31444_pp_wostw.txt,546,341,37,4,136.5,9.25
32431_pp_wostw.txt,2111,1048,197,22,95.95454545454545,8.954545454545455
3275069_pp_wostw.txt,228,123,24,3,76.0,8.0
3384438_pp_wostw.txt,129,110,12,3,43.0,4.0
338825_pp_wostw.txt,3182,1677,233,37,86.0,6.297297297297297
3475652_pp_wostw.txt,1186,550,113,11,107.81818181818181,10.272727272727273
380143_pp_wostw.txt,689,450,50,6,114.83333333333333,8.333333333333334
3881783_pp_wostw.txt,291,165,27,3,97.0,9.0
4074782_pp_wostw.txt,119,93,12,3,39.666666666666664,4.0
426889_pp_wostw.txt,840,404,71,6,140.0,11.833333333333334
44426_pp_wostw.txt,290,133,22,4,72.5,5.5
4823815_pp_wostw.txt,365,283,27,4,91.25,6.75
5160544_pp_wostw.txt,519,334,50,8,64.875,6.25
582816_pp_wostw.txt,303,228,31,6,50.5,5.166666666666667
599217_pp_wostw.txt,557,304,44,3,185.66666666666666,14.666666666666666
6146176_pp_wostw.txt,1253,665,89,8,156.625,11.125
6261767_pp_wostw.txt,345,199,33,6,57.5,5.5
6540154_pp_wostw.txt,91,86,10,4,22.75,2.5
6544206_pp_wostw.txt,457,275,32,5,91.4,6.4
7150404_pp_wostw.txt,340,192,26,4,85.0,6.5
7370490_pp_wostw.txt,73,44,6,3,24.333333333333332,2.0
7445232_pp_wostw.txt,132,86,12,3,44.0,4.0
751683_pp_wostw.txt,316,177,19,3,105.33333333333333,6.333333333333333
7674758_pp_wostw.txt,188,147,18,3,62.666666666666664,6.0
8718322_pp_wostw.txt,1319,627,122,13,101.46153846153847,9.384615384615385
910628_pp_wostw.txt,495,362,35,4,123.75,8.75
9387798_pp_wostw.txt,696,403,50,7,99.42857142857143,7.142857142857143
961796_pp_wostw.txt,1136,693,76,5,227.2,15.2
9652769_pp_wostw.txt,291,161,21,4,72.75,5.25
988580_pp_wostw.txt,1749,715,149,10,174.9,14.9
Mean_values,455.5,283.0,36.0,5.0,80.0,6.63771186440678
