dist,exch_opt,exch_range,alpha,beta,kappa,nmi
minus_log,d,3,0.1,0.1,0,0.0
minus_log,d,3,0.1,0.1,0.3333333333333333,0.0
minus_log,d,3,0.1,0.1,0.6666666666666666,0.0
minus_log,d,3,0.1,0.1,1,0.0
minus_log,d,3,0.1,1,0,0.0
minus_log,d,3,0.1,1,0.3333333333333333,0.0
minus_log,d,3,0.1,1,0.6666666666666666,0.0
minus_log,d,3,0.1,1,1,0.0
minus_log,d,3,0.1,5,0,0.0
minus_log,d,3,0.1,5,0.3333333333333333,0.0
minus_log,d,3,0.1,5,0.6666666666666666,0.0
minus_log,d,3,0.1,5,1,0.0
minus_log,d,3,0.1,10,0,0.0
minus_log,d,3,0.1,10,0.3333333333333333,0.0
minus_log,d,3,0.1,10,0.6666666666666666,0.0
minus_log,d,3,0.1,10,1,0.0
minus_log,d,3,0.1,50,0,0.05267785615706484
minus_log,d,3,0.1,50,0.3333333333333333,0.049897412219150776
minus_log,d,3,0.1,50,0.6666666666666666,0.0548740161726367
minus_log,d,3,0.1,50,1,0.05430467884375767
minus_log,d,3,0.1,100,0,0.05194726824961483
minus_log,d,3,0.1,100,0.3333333333333333,0.05137053838532378
minus_log,d,3,0.1,100,0.6666666666666666,0.05137053838532378
minus_log,d,3,0.1,100,1,0.05234949932828197
minus_log,d,3,0.1,300,0,0.0513354698755755
minus_log,d,3,0.1,300,0.3333333333333333,0.05151776317940957
minus_log,d,3,0.1,300,0.6666666666666666,0.05263269780974953
minus_log,d,3,0.1,300,1,0.0525422449098926
minus_log,d,3,1,0.1,0,0.0
minus_log,d,3,1,0.1,0.3333333333333333,0.0
minus_log,d,3,1,0.1,0.6666666666666666,0.0
minus_log,d,3,1,0.1,1,0.007501476287520041
minus_log,d,3,1,1,0,0.0
minus_log,d,3,1,1,0.3333333333333333,0.0
minus_log,d,3,1,1,0.6666666666666666,0.0
minus_log,d,3,1,1,1,0.0071023456178239104
minus_log,d,3,1,5,0,0.0
minus_log,d,3,1,5,0.3333333333333333,0.0
minus_log,d,3,1,5,0.6666666666666666,0.0
minus_log,d,3,1,5,1,0.012582583313409052
minus_log,d,3,1,10,0,0.03213600748122639
minus_log,d,3,1,10,0.3333333333333333,0.07269954667207597
minus_log,d,3,1,10,0.6666666666666666,0.04489863636598075
minus_log,d,3,1,10,1,0.03277508993923944
minus_log,d,3,1,50,0,0.052868814186824514
minus_log,d,3,1,50,0.3333333333333333,0.04476607333195648
minus_log,d,3,1,50,0.6666666666666666,0.050260593017681744
minus_log,d,3,1,50,1,0.06040955422972428
minus_log,d,3,1,100,0,0.051357967670490584
minus_log,d,3,1,100,0.3333333333333333,0.051824167859805086
minus_log,d,3,1,100,0.6666666666666666,0.052589514241935115
minus_log,d,3,1,100,1,0.05724275905678632
minus_log,d,3,1,300,0,0.04417635922109731
minus_log,d,3,1,300,0.3333333333333333,0.0513310524772553
minus_log,d,3,1,300,0.6666666666666666,0.044771966505316604
minus_log,d,3,1,300,1,0.044465100290122524
minus_log,d,3,2,0.1,0,0.0
minus_log,d,3,2,0.1,0.3333333333333333,0.0
minus_log,d,3,2,0.1,0.6666666666666666,0.017366899013337676
minus_log,d,3,2,0.1,1,0.01581080424227876
minus_log,d,3,2,1,0,0.0
minus_log,d,3,2,1,0.3333333333333333,0.0
minus_log,d,3,2,1,0.6666666666666666,0.022607886931269396
minus_log,d,3,2,1,1,0.024203350128549215
minus_log,d,3,2,5,0,0.0
minus_log,d,3,2,5,0.3333333333333333,0.0
minus_log,d,3,2,5,0.6666666666666666,0.034447768137520006
minus_log,d,3,2,5,1,0.03402124806031343
