input_file,known_label_ratio,sim_tag,n_groups,fold_id,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,nmi_train,nmi_test,,
61320_199211_pp.txt,0,w2v,8,0,max_minus,u,15,5,50,0.25,0.310246588604765,0.299276145205905,,
61320_199211_pp.txt,0,w2v,7,1,max_minus,u,15,5,50,0.25,0.304318634422008,0.344981357288813,0.322128751247359,0.04479110784125
61320_200411_pp.txt,0,w2v,8,0,max_minus,u,15,30,200,0,0.273523408744214,0.170850890212621,,
61320_200411_pp.txt,0,w2v,7,1,max_minus,u,15,2,100,1,0.196260649192087,0.184757897505511,0.177804393859066,0.013628867147032
61320_201211_pp.txt,0,w2v,8,0,max_minus,u,15,10,100,0.25,0.19019637879753,0.059964452022529,,
61320_201211_pp.txt,0,w2v,8,1,max_minus,u,15,5,50,0.5,0.107348021773126,0.155426068898076,0.107695260460303,0.093552384538036
61320_201611_pp.txt,0,w2v,7,0,max_minus,u,15,5,50,0.25,0.206637273049633,0.099353138360772,,
61320_201611_pp.txt,0,w2v,7,1,max_minus,u,15,10,50,0,0.129033714143866,0.237002414567235,0.168177776464003,0.134896290682333
61620_200411_pp.txt,0,w2v,8,0,max_minus,u,15,2,50,0.75,0.170407984908675,0.185084752016676,,
61620_200411_pp.txt,0,w2v,8,1,max_minus,u,15,10,50,0,0.196137962361568,0.174017235593238,0.179550993804957,0.010846166094969
61620_200811_pp.txt,0,w2v,8,0,max_minus,u,15,10,50,0,0.197641558423731,0.197760492643716,,
61620_200811_pp.txt,0,w2v,7,1,max_minus,u,15,5,200,0.75,0.190774971584025,0.137480623781499,0.167620558212608,0.059074271484973
61620_201211_pp.txt,0,w2v,8,0,max_minus,u,15,2,50,0.5,0.168434661346835,0.11768392146976,,
61620_201211_pp.txt,0,w2v,8,1,max_minus,u,15,5,50,0.25,0.189494536515572,0.132809475783271,0.125246698626516,0.014823043227241
61620_201611_pp.txt,0,w2v,8,0,max_minus,u,15,5,50,0,0.153657426145232,0.153756492500317,,
61620_201611_pp.txt,0,w2v,7,1,max_minus,u,15,5,50,0,0.189654707791938,0.143980718335418,0.148868605417868,0.0095802586816
,,,,,,,,,,,,,0.174636629761585,0.03491026120272
