input_file,label_ratio,sim_tag,n_groups,n_tests,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,mean_nmi
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,5,0,0.0
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,5,0.25,0.0
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,5,0.5,0.0
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,5,0.75,0.0045383091469086085
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,5,1,0.0106658992875948
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,10,0,0.0
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,10,0.25,0.0
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,10,0.5,0.0
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,10,0.75,0.005800659100502003
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,10,1,0.011000784951538946
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,50,0,0.009351737346386177
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,50,0.25,0.010990758461016307
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,50,0.5,0.011515184414611771
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,50,0.75,0.0190323780308914
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,50,1,0.03714099539000575
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,100,0,0.023489088410877535
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,100,0.25,0.025487981589067565
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,100,0.5,0.026677978792908133
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,100,0.75,0.030871750029386802
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,100,1,0.04920562062536885
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,200,0,0.025678223459272186
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,200,0.25,0.02624783312138752
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,200,0.5,0.027103986396633792
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,200,0.75,0.02926283992057017
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,1,200,1,0.030411692391952905
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,2,5,0,0.0
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,2,5,0.25,0.002228924626925663
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,2,5,0.5,0.010807273007119277
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,2,5,0.75,0.010294631459707297
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,2,5,1,0.016293301647080385
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,2,10,0,0.0
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,2,10,0.25,0.0
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,2,10,0.5,0.0124935434168355
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,2,10,0.75,0.014561730005533319
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,2,10,1,0.01906966341828242
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,2,50,0,0.008733942078978879
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,2,50,0.25,0.010778631207428108
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,glv,7,3,max_minus,u,5,2,50,0.5,0.019444053887568695
