input_file,label_ratio,sim_tag,n_groups,n_tests,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,mean_nmi
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,5,0,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,5,0.25,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,5,0.5,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,5,0.75,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,5,1,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,10,0,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,10,0.25,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,10,0.5,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,10,0.75,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,10,1,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,50,0,0.008007923300838203
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,50,0.25,0.007936405540596738
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,50,0.5,0.011614199135218689
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,50,0.75,0.012184315638141485
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,50,1,0.012105051523604879
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,100,0,0.02456998619523099
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,100,0.25,0.024569892341694054
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,100,0.5,0.024656420902248788
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,100,0.75,0.025534688029605124
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,100,1,0.026037644562549676
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,200,0,0.023362741983915514
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,200,0.25,0.023410250300102475
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,200,0.5,0.023445961204546298
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,200,0.75,0.02357518923139069
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,0.1,200,1,0.02693905924601943
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,5,0,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,5,0.25,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,5,0.5,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,5,0.75,0.023809500996819388
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,5,1,0.07697609644604934
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,10,0,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,10,0.25,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,10,0.5,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,10,0.75,0.001747063784958834
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,10,1,0.08454296523313841
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,50,0,0.008978643224932444
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,50,0.25,0.011521740859980747
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,50,0.5,0.01711505761983517
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,50,0.75,0.026028615989261563
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,50,1,0.08568149105420549
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,100,0,0.02549091414477676
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,100,0.25,0.02449062073481001
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,100,0.5,0.028592439183014934
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,100,0.75,0.03335917781853754
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,100,1,0.04492050342015005
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,200,0,0.024475566512623614
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,200,0.25,0.027340208640668984
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,200,0.5,0.02639065264824054
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,200,0.75,0.02899364711367942
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,1,200,1,0.02921387217581825
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,2,5,0,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,15,2,5,0.25,0.0
