input_file,label_ratio,sim_tag,n_groups,n_tests,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,mean_nmi
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,5,0,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,5,0.25,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,5,0.5,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,5,0.75,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,5,1,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,10,0,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,10,0.25,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,10,0.5,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,10,0.75,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,10,1,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,50,0,0.006302600968675864
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,50,0.25,0.006478079742216602
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,50,0.5,0.0077839122077307836
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,50,0.75,0.007811011178755221
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,50,1,0.008311062401823765
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,100,0,0.024617401636328026
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,100,0.25,0.024859065446842372
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,100,0.5,0.02342804446873976
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,100,0.75,0.023410792495324174
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,100,1,0.023911577949638874
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,200,0,0.02612188465949568
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,200,0.25,0.026140214911694094
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,200,0.5,0.02634591929240355
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,200,0.75,0.026232926281921864
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,0.1,200,1,0.026051603232881294
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,5,0,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,5,0.25,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,5,0.5,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,5,0.75,0.004971264819430975
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,5,1,0.02961155467609165
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,10,0,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,10,0.25,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,10,0.5,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,10,0.75,0.0018946670290517049
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,10,1,0.034096556722796
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,50,0,0.01034026255199751
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,50,0.25,0.014647019945951967
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,50,0.5,0.018964912653765237
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,50,0.75,0.03408994860379335
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,50,1,0.06969941935485609
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,100,0,0.03063571853587355
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,100,0.25,0.02638639951486704
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,100,0.5,0.02840963222990119
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,100,0.75,0.03211257967756861
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,100,1,0.05669479407895516
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,200,0,0.02629948596665425
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,200,0.25,0.02449691484173222
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,200,0.5,0.025044590845488393
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,200,0.75,0.026391259326158188
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,1,200,1,0.035626458160513734
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,5,0,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,5,0.25,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,5,0.5,0.02612892343815408
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,5,0.75,0.03741528354280583
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,5,1,0.045517986170934756
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,10,0,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,10,0.25,0.0
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,10,0.5,0.031117945644026684
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,10,0.75,0.03975412295814578
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,10,1,0.057137798987620086
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,50,0,0.011162305259064108
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,50,0.25,0.022002161502881746
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,50,0.5,0.0430509615825688
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,50,0.75,0.08313089441485909
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,50,1,0.10295009821070378
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,100,0,0.030094775168777874
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,100,0.25,0.032393961987806315
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,100,0.5,0.03546138881644977
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,100,0.75,0.06475339370492333
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,100,1,0.16620997271195595
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,200,0,0.027119549494979623
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,200,0.25,0.02683605411217453
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,200,0.5,0.031123456500110797
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,200,0.75,0.04123481012646524
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,2,200,1,0.06067182621335809
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,5,0,0.010992047290369561
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,5,0.25,0.03060817261747721
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,5,0.5,0.05270559352705154
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,5,0.75,0.03460765219429985
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,5,1,0.031139233090908363
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,10,0,0.022383311128672142
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,10,0.25,0.042288064616759886
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,10,0.5,0.05392208806385953
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,10,0.75,0.04200681033457443
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,10,1,0.03267753550966454
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,50,0,0.03676168290956474
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,50,0.25,0.07458204294376385
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,50,0.5,0.12962728957015393
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,50,0.75,0.05973642151483982
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,50,1,0.05088702815704682
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,100,0,0.048875048131281296
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,100,0.25,0.078501199742281
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,100,0.5,0.13238899306785776
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,100,0.75,0.07251499637439354
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,100,1,0.059796547369490916
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,200,0,0.027229567573823305
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,200,0.25,0.033518552670107324
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,200,0.5,0.04708618305486681
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,200,0.75,0.12610019552256
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,5,200,1,0.08273648674128846
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,10,5,0,0.03311973083850677
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,10,5,0.25,0.03852948536344241
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,10,5,0.5,0.03540298167616374
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,10,5,0.75,0.033901477068239476
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,10,5,1,0.03074689016077739
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,10,10,0,0.04200073568990043
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,10,10,0.25,0.04568988307699621
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,10,10,0.5,0.04225914194019479
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,10,10,0.75,0.032311053989634415
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,10,10,1,0.02928294661797021
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,10,50,0,0.1942990435497499
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,10,50,0.25,0.08122999282363418
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,10,50,0.5,0.05373173826013278
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,10,50,0.75,0.03867387067499748
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,10,50,1,0.028299636110994026
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,10,100,0,0.1282826192143747
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,10,100,0.25,0.12496339910423941
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,10,100,0.5,0.06673864370231614
corpora/61320_199211_pp_wostw.txt,0,w2v,7,3,max_minus,u,5,10,100,0.75,0.050175036051852064
