input_file,label_ratio,sim_tag,n_groups,n_tests,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,mean_nmi
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,5,0,1.1365906569433366e-15
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,5,0.25,1.1365906569433366e-15
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,5,0.5,1.1365906569433366e-15
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,5,0.75,0.007094719795466699
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,5,1,0.03673404546413837
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,10,0,1.1365906569433366e-15
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,10,0.25,1.1365906569433366e-15
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,10,0.5,1.1365906569433366e-15
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,10,0.75,0.011768069306446199
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,10,1,0.04144579699778579
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,50,0,0.01467917038710354
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,50,0.25,0.014205082568081428
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,50,0.5,0.014088918521787152
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,50,0.75,0.02447960586144497
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,50,1,0.06412181922647307
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,100,0,0.01783861368125503
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,100,0.25,0.0183777293099448
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,100,0.5,0.019945755079026208
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,100,0.75,0.024087070104683764
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,100,1,0.03170025349104157
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,200,0,0.02509118799536923
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,200,0.25,0.026591612905439124
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,200,0.5,0.021194815484908324
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,200,0.75,0.02194895526755132
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,1,200,1,0.0266214062913749
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,2,5,0,1.1365906569433366e-15
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,2,5,0.25,1.1365906569433366e-15
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,2,5,0.5,0.03894695990375732
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,2,5,0.75,0.042940726113007366
